ParName   Value   Gradient
SR_parm[1]      10.2312  2.59541e-05
recdev_early(-28)    0.0415753 -1.30104e-06
recdev_early(-27)     0.045613  2.13419e-05
recdev_early(-26)     0.050047  2.76391e-05
recdev_early(-25)    0.0549128   1.8085e-05
recdev_early(-24)    0.0602554 -1.49657e-06
recdev_early(-23)    0.0661171 -2.02918e-05
recdev_early(-22)    0.0725579  -2.6442e-05
recdev_early(-21)    0.0796255 -1.46179e-05
recdev_early(-20)    0.0873878   6.3363e-06
recdev_early(-19)    0.0958938  1.48974e-05
recdev_early(-18)     0.105199 -3.69194e-06
recdev_early(-17)     0.115374 -3.02659e-05
recdev_early(-16)     0.126493 -1.78682e-05
recdev_early(-15)     0.138603   3.7818e-05
recdev_early(-14)     0.151748  5.01204e-05
recdev_early(-13)     0.165962 -2.04513e-05
recdev_early(-12)      0.18125  -2.5711e-05
recdev_early(-11)     0.197562  3.53419e-05
recdev_early(-10)     0.214776 -6.38425e-05
recdev_early(-9)     0.232703 -4.03767e-05
recdev_early(-8)     0.250951 -2.18969e-05
recdev_early(-7)     0.268961  2.48109e-05
recdev_early(-6)      0.28591  1.31047e-05
recdev_early(-5)     0.300696  2.82413e-05
recdev_early(-4)     0.311934 -4.03152e-05
recdev_early(-3)     0.318064  2.12609e-05
recdev_early(-2)     0.317238  1.29805e-05
recdev_early(-1)     0.307515 -4.90656e-05
recdev_early(0)     0.287227 -1.36243e-05
recdev1(1)     0.352325  1.05919e-05
recdev1(2)     0.303034 -3.65291e-05
recdev1(3)     0.243067  8.17721e-06
recdev1(4)     0.175051  1.61556e-05
recdev1(5)     0.101981  2.21962e-05
recdev1(6)    0.0269171  3.92589e-05
recdev1(7)   -0.0466892 -1.05209e-05
recdev1(8)    -0.114473  3.87283e-06
recdev1(9)    -0.174468  8.86538e-06
recdev1(10)    -0.224517 -2.19535e-05
recdev1(11)    -0.262826  7.09004e-06
recdev1(12)    -0.288279 -7.15662e-06
recdev1(13)    -0.300572  1.74159e-05
recdev1(14)    -0.299488  9.87191e-06
recdev1(15)    -0.281547 -6.38969e-08
recdev1(16)    -0.233135 -2.96864e-05
recdev1(17)    -0.127434 -1.17456e-05
recdev1(18)    0.0391382  4.45433e-05
recdev1(19)      0.12684 -3.19743e-05
recdev1(20)   -0.0638318  1.12018e-05
recdev1(21)    -0.524987  9.78972e-06
recdev1(22)    -0.419057     6.42e-06
recdev1(23)     0.567204  1.10491e-06
recdev1(24)    0.0610479 -2.41751e-06
recdev1(25)     0.642926 -5.85533e-07
recdev1(26)    0.0931426   8.1094e-06
recdev1(27)    -0.103451 -7.02873e-06
recdev1(28)     0.399548  2.25772e-06
recdev1(29)     0.174567 -9.97965e-07
recdev1(30)    -0.418094  3.42738e-06
recdev1(31)    0.0624928 -4.13515e-06
recdev1(32)    -0.201073 -8.46141e-07
recdev1(33)    -0.732227  1.54091e-05
recdev1(34)    -0.720426 -3.12234e-06
recdev1(35)     -1.03494 -1.13369e-05
recdev1(36)    0.0929464  3.16153e-06
recdev1(37)     0.245092  1.66645e-06
recdev1(38)   -0.0975338 -8.97046e-06
recdev1(39)     0.652523   1.7407e-06
recdev1(40)      1.12616  6.83329e-06
recdev1(41)    -0.606416 -3.91028e-05
recdev1(42)    -0.328155  1.57711e-06
recdev1(43)     0.306399 -2.49528e-07
recdev1(44)    -0.534388   9.5297e-06
recdev1(45)    -0.263606 -1.44846e-05
recdev1(46)     0.386322  8.11996e-06
recdev1(47)    -0.189002 -3.29286e-06
recdev1(48)     -0.52943 -7.44859e-06
recdev1(49)   -0.0588854  4.08082e-06
recdev1(50)   -0.0716326 -7.57041e-06
recdev1(51)    -0.291616 -3.23414e-06
recdev1(52)     0.123107  1.94603e-06
recdev1(53)    0.0690306 -1.15693e-06
recdev1(54)     0.102596 -1.20767e-06
recdev1(55)    0.0777016  5.61044e-06
recdev1(56)     0.149364 -1.24407e-06
recdev1(57)     0.673329   9.9066e-07
recdev1(58)     0.194482 -8.71156e-06
recdev1(59)    -0.686411  1.44692e-05
recdev1(60)     0.750623  -3.1893e-06
recdev1(61)      0.87309  2.40119e-06
recdev1(62)    0.0568999   2.9355e-06
recdev1(63)    -0.112248 -3.64532e-06
recdev1(64)     0.310185  -1.3461e-07
recdev1(65)     0.915766  1.31553e-06
recdev1(66)     -0.26114  -2.3616e-06
recdev1(67)      1.61338 -2.14157e-06
recdev1(68)     0.780062  3.75675e-06
recdev1(69)    -0.102169 -2.71439e-06
recdev1(70)   -0.0463317  8.76292e-07
recdev1(71)    -0.381353 -4.07101e-06
recdev1(72)    0.0319032   5.3233e-07
recdev1(73)    -0.501171  5.05663e-07
recdev1(74)    -0.371385 -2.20766e-06
recdev1(75)    -0.231067 -1.86343e-06
recdev1(76)     0.241252  1.44286e-06
recdev1(77)    -0.884004  7.80159e-08
recdev1(78)    -0.611158 -2.78002e-06
recdev1(79)    -0.521044  1.76164e-06
recdev1(80)     0.739148  2.39382e-06
recdev1(81)   -0.0993454 -2.30459e-06
recdev1(82)     0.173879 -4.25293e-06
recdev1(83)    -0.670169  7.03317e-06
recdev1(84)    -0.170824 -3.25224e-06
recdev1(85)      0.87373  6.97734e-07
recdev1(86)    0.0321418 -1.13688e-06
recdev1(87)     -0.18138  8.79568e-07
recdev1(88)    0.0525357  2.05993e-06
recdev1(89)    -0.226828  -1.1756e-06
recdev1(90)    -0.750189 -6.47482e-06
recdev1(91)     0.235107 -2.56879e-06
recdev1(92)    -0.805551 -1.72481e-06
recdev1(93)    -0.299568  1.53527e-07
recdev1(94)     0.324555  1.16647e-06
recdev1(95)      1.44123  7.19047e-07
recdev1(96)     0.441688  1.41503e-06
Fcast_recruitments(97)     0.201838 -1.09341e-06
Fcast_recruitments(98)     0.232799  6.65096e-07
Fcast_recruitments(99)     0.419724  4.29068e-07
Fcast_recruitments(100)   -0.0509459 -7.12914e-06
Fcast_recruitments(101)            0            0
selparm[1]      40.3756  2.73272e-06
selparm[3]      4.94342 -9.92763e-06
