ParName   Value   Gradient
SR_parm[1]      14.0215 -1.32623e-06
recdev_early(-28)    0.0320864  1.20697e-05
recdev_early(-27)    0.0351146   4.7454e-06
recdev_early(-26)    0.0384192 -2.38306e-06
recdev_early(-25)    0.0420217 -7.91582e-06
recdev_early(-24)    0.0459426 -1.02912e-05
recdev_early(-23)    0.0502054  -8.3837e-06
recdev_early(-22)     0.054832 -2.42328e-06
recdev_early(-21)    0.0598385  5.12007e-06
recdev_early(-20)    0.0652415  9.66919e-06
recdev_early(-19)     0.071046  6.82404e-06
recdev_early(-18)    0.0772493 -3.10657e-06
recdev_early(-17)     0.083845 -1.20424e-05
recdev_early(-16)    0.0908036 -9.18147e-06
recdev_early(-15)    0.0980681    4.502e-06
recdev_early(-14)      0.10555  1.06008e-05
recdev_early(-13)     0.113123 -1.07683e-06
recdev_early(-12)     0.120592  -7.8587e-06
recdev_early(-11)     0.127696  2.92676e-06
recdev_early(-10)     0.134092  1.56278e-06
recdev_early(-9)     0.139352 -6.62656e-06
recdev_early(-8)      0.14298 -3.17038e-07
recdev_early(-7)       0.1445 -1.67565e-06
recdev_early(-6)     0.143597  6.01266e-07
recdev_early(-5)     0.140245 -4.31141e-06
recdev_early(-4)     0.134634 -3.74374e-06
recdev_early(-3)     0.125628  3.33627e-06
recdev_early(-2)      0.11312 -8.03542e-06
recdev_early(-1)    0.0953155  8.58388e-06
recdev_early(0)    0.0706997 -4.93755e-07
recdev1(1)      4.86811  -6.9668e-06
recdev1(2)    0.0241766 -8.49245e-07
recdev1(3)   -0.0260967  5.15956e-06
recdev1(4)   -0.0846785  7.39452e-06
recdev1(5)    -0.152216  1.21382e-06
recdev1(6)    -0.228358   6.4753e-07
recdev1(7)    -0.309749 -4.99699e-06
recdev1(8)    -0.393019  5.01215e-06
recdev1(9)    -0.475909 -5.23697e-06
recdev1(10)    -0.556269   8.8956e-07
recdev1(11)    -0.631493  1.16586e-06
recdev1(12)    -0.698183   4.6509e-06
recdev1(13)    -0.751752  3.33836e-06
recdev1(14)    -0.785785 -8.03631e-06
recdev1(15)     -0.79108  1.26146e-05
recdev1(16)    -0.754393 -1.23605e-05
recdev1(17)    -0.657746  4.17026e-06
recdev1(18)    -0.484582 -1.54994e-06
recdev1(19)    -0.264352   1.2145e-05
recdev1(20)    -0.163243  3.04244e-06
recdev1(21)    -0.108894 -2.17517e-05
recdev1(22)     0.742771 -4.49574e-07
recdev1(23)     0.317291  7.65174e-06
recdev1(24)      0.52144 -6.43715e-06
recdev1(25)     0.505118  1.43291e-06
recdev1(26)    -0.337894  1.14251e-06
recdev1(27)    0.0715488   3.8676e-06
recdev1(28)    0.0152046 -1.00384e-05
recdev1(29)    -0.699041 -2.79237e-06
recdev1(30)    -0.253865   1.0949e-05
recdev1(31)    -0.379603 -1.57843e-05
recdev1(32)    -0.649177   1.1568e-05
recdev1(33)     -1.05398  1.72275e-06
recdev1(34)    -0.976653 -1.42077e-05
recdev1(35)    -0.592811  3.75995e-06
recdev1(36)     0.780169 -1.93035e-07
recdev1(37)     0.324284 -6.99414e-06
recdev1(38)     0.396207  8.75062e-06
recdev1(39)      1.32606 -4.35562e-06
recdev1(40)     0.476606  2.39038e-06
recdev1(41)    -0.907848  2.59841e-06
recdev1(42)    -0.472985 -4.22658e-06
recdev1(43)   -0.0818673  4.92063e-06
recdev1(44)    -0.502142 -1.97026e-06
recdev1(45)     0.631139 -4.09507e-06
recdev1(46)     0.378612  2.02595e-06
recdev1(47)    -0.347988  1.50308e-06
recdev1(48)    -0.341445 -2.45186e-06
recdev1(49)     0.686603  6.36359e-06
recdev1(50)    -0.142087  -6.4576e-06
recdev1(51)     0.512637 -1.69809e-06
recdev1(52)     0.691571  7.33227e-06
recdev1(53)     0.748035  -4.1014e-06
recdev1(54)     0.486777   3.6637e-06
recdev1(55)     0.159281   5.7665e-06
recdev1(56)      1.42264   8.8628e-08
recdev1(57)     0.893832 -4.88428e-07
recdev1(58)    -0.349451  2.35978e-06
recdev1(59)    -0.369474 -3.47447e-07
recdev1(60)      1.90299  8.03509e-07
recdev1(61)     0.459924  3.89838e-06
recdev1(62)     -0.02347  1.55197e-07
recdev1(63)  -0.00836962 -9.06808e-06
recdev1(64)      1.30347  7.88986e-07
recdev1(65)      1.19829  1.96336e-06
recdev1(66)     0.993525 -2.96039e-06
recdev1(67)      1.82108  1.74201e-06
recdev1(68)    -0.915653  2.92757e-06
recdev1(69)    -0.901166 -9.30342e-07
recdev1(70)     -0.41857  7.37027e-06
