ParName   Value   Gradient
recdev_early(-28)    0.0041973 -4.04446e-06
recdev_early(-27)   0.00459295 -4.28773e-06
recdev_early(-26)    0.0050263  -4.5247e-06
recdev_early(-25)   0.00549992 -4.74957e-06
recdev_early(-24)   0.00601825 -4.95418e-06
recdev_early(-23)   0.00658394 -5.12943e-06
recdev_early(-22)   0.00720468 -5.26139e-06
recdev_early(-21)    0.0078836 -5.33679e-06
recdev_early(-20)   0.00862961 -5.33586e-06
recdev_early(-19)    0.0094456 -5.24017e-06
recdev_early(-18)    0.0103365 -5.02829e-06
recdev_early(-17)    0.0113107 -4.67478e-06
recdev_early(-16)    0.0123783 -4.15173e-06
recdev_early(-15)    0.0135452  -3.4358e-06
recdev_early(-14)    0.0148214 -2.50443e-06
recdev_early(-13)    0.0162205 -1.33998e-06
recdev_early(-12)     0.017751  5.74918e-08
recdev_early(-11)    0.0194255  1.66971e-06
recdev_early(-10)    0.0212629  3.45332e-06
recdev_early(-9)    0.0232806  5.32271e-06
recdev_early(-8)    0.0254963  7.14004e-06
recdev_early(-7)     0.027936  8.71863e-06
recdev_early(-6)     0.030634  9.81933e-06
recdev_early(-5)     0.033636  1.01752e-05
recdev_early(-4)    0.0370148  9.54647e-06
recdev_early(-3)    0.0408842  7.80744e-06
recdev_early(-2)    0.0453962  5.11504e-06
recdev_early(-1)    0.0507347  2.19495e-06
recdev_early(0)    0.0571184  6.00398e-07
recdev1(1)  -0.00541148  3.17252e-06
recdev1(2)   0.00331482  5.03709e-06
recdev1(3)    0.0140134  2.24541e-06
recdev1(4)    0.0272044  3.52329e-06
recdev1(5)     0.043516  1.17596e-05
recdev1(6)    0.0636645  1.40268e-06
recdev1(7)    0.0883866 -2.70021e-07
recdev1(8)     0.118222   2.4868e-05
recdev1(9)     0.152992  -1.9182e-05
recdev1(10)     0.190712 -8.00949e-07
recdev1(11)      0.22543 -8.03753e-06
recdev1(12)     0.244522 -4.03613e-06
recdev1(13)     0.229496 -1.06753e-06
recdev1(14)     0.167837  1.54345e-06
recdev1(15)     0.068845 -1.35631e-05
recdev1(16)   -0.0371541 -4.16419e-06
recdev1(17)     -0.11115 -1.34252e-05
