ParName   Value   Gradient
SR_parm[1]      10.0367     0.009422
recdev_early(-28)   -0.0340521  4.10275e-06
recdev_early(-27)   -0.0365958  4.41687e-06
recdev_early(-26)    -0.039315   4.7714e-06
recdev_early(-25)   -0.0422193  5.16769e-06
recdev_early(-24)   -0.0453177  5.60505e-06
recdev_early(-23)   -0.0486199  6.08033e-06
recdev_early(-22)   -0.0521328  6.58774e-06
recdev_early(-21)   -0.0558651  7.11919e-06
recdev_early(-20)   -0.0598222  7.66516e-06
recdev_early(-19)   -0.0640109  8.21635e-06
recdev_early(-18)   -0.0684353  8.76599e-06
recdev_early(-17)   -0.0730962  9.31254e-06
recdev_early(-16)   -0.0779907  9.86233e-06
recdev_early(-15)   -0.0831142  1.04309e-05
recdev_early(-14)   -0.0896332  1.11774e-05
recdev_early(-13)   -0.0965024  1.20433e-05
recdev_early(-12)    -0.103706  1.30767e-05
recdev_early(-11)    -0.111214  1.42954e-05
recdev_early(-10)    -0.118987  1.56647e-05
recdev_early(-9)    -0.126966  1.70931e-05
recdev_early(-8)    -0.135077  1.84574e-05
recdev_early(-7)    -0.143222  1.96558e-05
recdev_early(-6)    -0.151284  2.06656e-05
recdev_early(-5)    -0.159129  2.15713e-05
recdev_early(-4)    -0.166613  2.25413e-05
recdev_early(-3)    -0.173593  2.37669e-05
recdev_early(-2)    -0.179901    2.539e-05
recdev_early(-1)    -0.185275  2.74364e-05
recdev_early(0)    -0.189333  2.97978e-05
recdev1(1)    -0.227218 -4.60806e-05
recdev1(2)    -0.226716 -4.41568e-05
recdev1(3)    -0.223099 -4.23779e-05
recdev1(4)    -0.215369 -4.06899e-05
recdev1(5)    -0.202227 -3.86044e-05
recdev1(6)    -0.181978 -3.54177e-05
recdev1(7)    -0.152375 -3.19191e-05
recdev1(8)    -0.110397 -2.78674e-05
recdev1(9)   -0.0518986 -1.97633e-05
recdev1(10)    0.0289002 -1.46229e-05
recdev1(11)     0.140192  -4.9915e-06
recdev1(12)     0.294083  9.77369e-06
recdev1(13)     0.511219  3.82846e-05
recdev1(14)     0.897687   9.7886e-05
recdev1(15)     0.797901   9.3126e-05
recdev1(16)     0.402521  4.28302e-05
recdev1(17)      0.11422   1.7096e-05
recdev1(18)   -0.0964936  5.65177e-06
recdev1(19)    -0.231294 -2.24674e-06
recdev1(20)    -0.322205 -2.95085e-06
recdev1(21)    -0.422563 -9.24229e-06
recdev1(22)    -0.395857 -3.23797e-07
recdev1(23)     0.413712  8.84358e-05
recdev1(24)     0.720311  0.000157535
recdev1(25)     0.616799  0.000145343
recdev1(26)      0.58146  0.000141581
recdev1(27)    -0.191357  3.12338e-05
recdev1(28)      0.42969  0.000127546
recdev1(29)     0.363107  0.000118402
recdev1(30)    -0.332865  2.82577e-05
recdev1(31)     0.154308   9.0677e-05
recdev1(32)    -0.161201  5.13343e-05
recdev1(33)    -0.819486 -1.16826e-05
recdev1(34)     -1.08153 -2.16863e-05
recdev1(35)      -1.0359 -2.65236e-05
recdev1(36)   -0.0044984   7.2749e-05
recdev1(37)     0.454223  0.000156277
recdev1(38)    0.0346732   7.6798e-05
recdev1(39)     0.310657  0.000124033
recdev1(40)      1.67741  0.000646628
recdev1(41)    -0.569798   8.5238e-06
recdev1(42)     -0.54627  7.71582e-06
recdev1(43)     0.150317  7.69929e-05
recdev1(44)    0.0230452   5.9602e-05
recdev1(45)    -0.184883   3.4901e-05
recdev1(46)     0.511237  0.000131453
recdev1(47)    0.0198888  5.22504e-05
recdev1(48)    -0.643602   -1.539e-05
recdev1(49)   -0.0017017  3.46583e-05
recdev1(50)    0.0372579  3.46708e-05
recdev1(51)    -0.360312  -1.0931e-05
recdev1(52)     0.193782   3.2957e-05
recdev1(53)     0.327613  3.50555e-05
recdev1(54)    -0.065145 -7.19501e-06
recdev1(55)     0.125889 -1.13275e-06
recdev1(56)     0.245877 -4.83801e-06
recdev1(57)     0.888408  4.37135e-05
recdev1(58)     0.146256  -2.4556e-05
recdev1(59)    -0.760171 -5.83148e-05
recdev1(60)      0.56628 -1.53942e-05
recdev1(61)      1.26524  2.69801e-05
recdev1(62)   -0.0273284 -5.08583e-05
recdev1(63)     -0.28399 -5.78481e-05
recdev1(64)    -0.175626 -5.83634e-05
recdev1(65)      1.13211 -2.42496e-05
recdev1(66)     -0.76551 -6.18234e-05
recdev1(67)      1.72229  4.21708e-06
recdev1(68)      1.37046 -2.07521e-05
recdev1(69)    -0.332162 -6.39175e-05
recdev1(70)     -0.18072 -6.51418e-05
recdev1(71)      -0.5642 -6.79232e-05
recdev1(72)  -0.00920331 -6.72625e-05
recdev1(73)    -0.539068 -7.07426e-05
recdev1(74)    -0.544695 -7.67956e-05
recdev1(75)    -0.343383 -7.26411e-05
recdev1(76)     0.257584 -7.77631e-05
recdev1(77)    -0.918726 -7.04202e-05
recdev1(78)     -1.00254 -7.90929e-05
recdev1(79)    -0.859692 -7.19866e-05
recdev1(80)     0.691133 -8.27736e-05
recdev1(81)     0.203721 -7.98787e-05
recdev1(82)   -0.0667233 -7.89487e-05
recdev1(83)    -0.927859 -7.62131e-05
recdev1(84)    -0.837221 -7.46398e-05
recdev1(85)      1.01853 -8.54011e-05
recdev1(86)     0.281567 -8.07234e-05
recdev1(87)    -0.207558 -7.99987e-05
recdev1(88)    -0.420124 -7.96934e-05
recdev1(89)    -0.511965 -7.97226e-05
recdev1(90)    -0.719448 -7.81164e-05
recdev1(91)   -0.0218289 -8.39406e-05
recdev1(92)    -0.636744 -7.84954e-05
recdev1(93)    -0.644808 -7.81641e-05
recdev1(94)    -0.574921 -7.96263e-05
recdev1(95)      1.66755 -9.67866e-05
recdev1(96)     0.145336 -7.89654e-05
Fcast_recruitments(97)     0.125216 -2.23222e-06
Fcast_recruitments(98)      0.16208   -6.041e-07
Fcast_recruitments(99)     0.316036  1.17616e-06
Fcast_recruitments(100)   -0.0852427  2.02447e-07
Fcast_recruitments(101)            0            0
selparm[1]      43.8848   0.00104766
selparm[3]      5.18501  -0.00205144
