ParName   Value   Gradient
SR_parm[1]      10.2724 -2.55912e-05
recdev_early(-28)    0.0161103  6.40201e-06
recdev_early(-27)    0.0173783  6.71815e-06
recdev_early(-26)    0.0187487  7.00945e-06
recdev_early(-25)     0.020222  7.26207e-06
recdev_early(-24)    0.0218133  7.46142e-06
recdev_early(-23)    0.0235262  7.58881e-06
recdev_early(-22)    0.0253688  7.62413e-06
recdev_early(-21)    0.0273506  7.54524e-06
recdev_early(-20)    0.0294813  7.32943e-06
recdev_early(-19)    0.0317682  6.95494e-06
recdev_early(-18)    0.0342227  6.40305e-06
recdev_early(-17)    0.0368497  5.66323e-06
recdev_early(-16)    0.0396567  4.73531e-06
recdev_early(-15)    0.0426524  3.63433e-06
recdev_early(-14)    0.0465352  2.13899e-06
recdev_early(-13)    0.0507346  5.52165e-07
recdev_early(-12)    0.0552624 -9.63887e-07
recdev_early(-11)    0.0601264 -2.20417e-06
recdev_early(-10)      0.06533 -2.95686e-06
recdev_early(-9)    0.0708659 -3.06691e-06
recdev_early(-8)    0.0767182 -2.52066e-06
recdev_early(-7)    0.0828503   -1.515e-06
recdev_early(-6)    0.0892189 -4.63209e-07
recdev_early(-5)    0.0957661   1.3764e-07
recdev_early(-4)     0.102445 -1.37821e-08
recdev_early(-3)     0.109225 -6.46808e-07
recdev_early(-2)     0.116062 -6.11444e-07
recdev_early(-1)     0.122839  2.06866e-06
recdev_early(0)     0.129326  9.30538e-06
recdev1(1)     0.157076  9.06666e-06
recdev1(2)     0.161781  2.89482e-06
recdev1(3)     0.164807 -3.59493e-06
recdev1(4)     0.165433 -4.27971e-06
recdev1(5)     0.162844  3.72035e-06
recdev1(6)      0.15624  1.31016e-05
recdev1(7)     0.145011  1.11566e-05
recdev1(8)     0.129008   3.9575e-06
recdev1(9)     0.108852  3.64935e-06
recdev1(10)    0.0862566 -2.46872e-06
recdev1(11)    0.0642771 -4.25622e-06
recdev1(12)    0.0474395  2.36502e-06
recdev1(13)    0.0416803  4.55891e-06
recdev1(14)    0.0539465   4.2028e-06
recdev1(15)    0.0909771 -3.03645e-06
recdev1(16)     0.155583 -4.04704e-06
recdev1(17)     0.234919 -1.21705e-06
recdev1(18)     0.276271 -2.43729e-06
recdev1(19)      0.21881 -4.42931e-06
recdev1(20)     0.107809 -8.02619e-06
recdev1(21)   -0.0826254 -1.54908e-06
recdev1(22)    -0.287749  8.33565e-06
recdev1(23)    0.0930808 -5.15256e-06
recdev1(24)      0.14338 -9.65137e-06
recdev1(25)     0.289015  2.14165e-05
recdev1(26)     0.907142  -1.7096e-05
recdev1(27)    -0.798663  5.19766e-06
recdev1(28)     0.153253  2.18642e-05
recdev1(29)    -0.287078  -8.6577e-05
recdev1(30)    -0.297647  3.50805e-05
recdev1(31)     -0.17056  2.59447e-05
recdev1(32)    -0.283522 -2.49555e-05
recdev1(33)    -0.845095 -3.79598e-05
recdev1(34)    -0.801592   3.9728e-05
recdev1(35)     -1.09061  1.55034e-05
recdev1(36)    -0.201397 -2.00138e-05
recdev1(37)   -0.0746236  4.49135e-05
recdev1(38)    0.0406151 -8.37186e-05
recdev1(39)     0.363395  4.55856e-05
recdev1(40)      1.41962 -1.06222e-05
recdev1(41)    -0.454712 -3.66086e-06
recdev1(42)    -0.615103  2.44569e-05
recdev1(43)      0.23981  1.13729e-05
recdev1(44)    -0.954281 -1.33684e-05
recdev1(45)  -0.00642798 -4.33939e-06
recdev1(46)     0.390482 -2.06079e-07
recdev1(47)    -0.579673 -8.75318e-06
recdev1(48)     -0.44666  1.46291e-05
recdev1(49)     -0.31694  7.55643e-06
recdev1(50)    -0.394624  3.25449e-06
recdev1(51)   -0.0664831  1.03176e-05
recdev1(52)     0.332887  1.08448e-05
recdev1(53)    -0.523999 -2.82242e-05
recdev1(54)     0.296378 -1.42855e-05
recdev1(55)    -0.292131 -2.51778e-05
recdev1(56)    0.0567201  1.20182e-05
recdev1(57)     0.786225 -1.81233e-06
recdev1(58)     0.413173 -2.29403e-06
recdev1(59)    -0.341632  1.05985e-05
recdev1(60)     0.687255  3.47377e-06
recdev1(61)     0.854949 -8.42828e-06
recdev1(62)    -0.356086 -1.18391e-05
recdev1(63)     0.462591 -5.15562e-06
recdev1(64)    -0.967332  2.49982e-05
recdev1(65)       1.0351  8.46562e-06
recdev1(66)    -0.286145 -4.49498e-05
recdev1(67)      1.66431  4.78772e-06
recdev1(68)      1.25037  7.19175e-06
recdev1(69)     -0.66392 -1.75022e-05
recdev1(70)    -0.638712 -2.03514e-05
recdev1(71)    -0.240032  1.99607e-05
recdev1(72)    -0.535504 -3.41207e-05
recdev1(73)     0.276635  8.48001e-06
recdev1(74)     -0.51668  1.07174e-05
recdev1(75)    -0.622318 -1.06656e-05
recdev1(76)   -0.0892475  9.47478e-06
recdev1(77)    -0.559856 -7.90662e-06
recdev1(78)     -1.00955 -1.64666e-05
recdev1(79)   -0.0373372  2.22305e-05
recdev1(80)     0.549907 -1.55491e-05
recdev1(81)     0.187483  9.89132e-06
recdev1(82)     0.613281  3.21415e-06
recdev1(83)    -0.276544  2.61292e-06
recdev1(84)   -0.0442744  1.50341e-05
recdev1(85)     0.675938  2.05956e-06
recdev1(86)     0.167816 -4.86096e-06
recdev1(87)     0.165356  1.34316e-05
recdev1(88)    -0.287628 -1.56761e-05
recdev1(89)    -0.711899  2.28488e-05
recdev1(90)    -0.577958  6.72598e-06
recdev1(91)     0.595551   6.1324e-06
recdev1(92)    -0.652183  5.71331e-06
recdev1(93)    -0.456966  1.88033e-06
recdev1(94)    -0.219453  4.75359e-06
recdev1(95)      1.81522  3.86723e-06
recdev1(96)     0.307482  5.88918e-06
Fcast_recruitments(97)     0.277871  1.28237e-06
Fcast_recruitments(98)   -0.0173918 -2.08153e-06
