ParName   Value   Gradient
SR_parm[1]      19.9998  1.63702e-07
recdev_early(-28)    0.0484528  1.69968e-06
recdev_early(-27)    0.0522753  1.92164e-06
recdev_early(-26)    0.0563805  2.05454e-06
recdev_early(-25)    0.0607821  1.57006e-06
recdev_early(-24)    0.0654908  3.94216e-07
recdev_early(-23)    0.0705176 -1.12903e-06
recdev_early(-22)    0.0758693 -2.46933e-06
recdev_early(-21)    0.0815424 -2.98247e-06
recdev_early(-20)    0.0875301 -1.69421e-06
recdev_early(-19)    0.0938075  1.96372e-06
recdev_early(-18)     0.100335   7.0734e-06
recdev_early(-17)     0.107061  1.13598e-05
recdev_early(-16)     0.113898  1.16864e-05
recdev_early(-15)     0.120724  6.28482e-06
recdev_early(-14)     0.129499 -4.61243e-06
recdev_early(-13)     0.138172  -6.1744e-06
recdev_early(-12)     0.146426  9.55705e-06
recdev_early(-11)     0.153842  2.01548e-05
recdev_early(-10)     0.159897  3.48503e-06
recdev_early(-9)     0.163974 -6.77497e-06
recdev_early(-8)     0.165441  6.81452e-06
recdev_early(-7)     0.163838 -2.31439e-06
recdev_early(-6)     0.159201 -9.77262e-06
recdev_early(-5)     0.152333  1.06756e-05
recdev_early(-4)     0.144591  1.63881e-05
recdev_early(-3)      0.13668  2.71457e-06
recdev_early(-2)     0.127317 -9.17605e-06
recdev_early(-1)     0.113872  2.31302e-06
recdev_early(0)    0.0940657  1.35125e-05
recdev1(1)      5.00033  4.96143e-06
recdev1(2)     0.109996  2.75116e-05
recdev1(3)    0.0620602 -2.95994e-05
recdev1(4)   0.00491245  1.58087e-05
recdev1(5)    -0.062403 -6.57117e-06
recdev1(6)    -0.139936  6.53856e-07
recdev1(7)    -0.224111  6.55641e-06
recdev1(8)    -0.311038  1.36437e-05
recdev1(9)     -0.39813  5.20085e-06
recdev1(10)    -0.483059  4.81864e-05
recdev1(11)     -0.56311 -4.73163e-05
recdev1(12)    -0.634791  1.72032e-05
recdev1(13)    -0.693467 -4.58046e-05
recdev1(14)    -0.732684 -2.43872e-05
recdev1(15)    -0.743261  2.84042e-05
recdev1(16)      -0.7121  3.31796e-06
recdev1(17)    -0.621702 -1.06652e-05
recdev1(18)    -0.456896  -5.2395e-06
recdev1(19)    -0.249488  1.46407e-05
recdev1(20)    -0.158551 -5.92245e-06
recdev1(21)    -0.101917 -3.67026e-06
recdev1(22)     0.706807  3.02586e-06
recdev1(23)      0.31782  -4.3105e-06
recdev1(24)     0.492942 -1.45119e-05
recdev1(25)     0.466194  1.20576e-05
recdev1(26)     -0.35511   1.8776e-05
recdev1(27)    0.0268404 -2.44809e-05
recdev1(28)   -0.0380477 -2.90651e-06
recdev1(29)     -0.72951  1.70464e-05
recdev1(30)    -0.314667  6.99364e-06
recdev1(31)    -0.438934 -2.61423e-05
recdev1(32)     -0.70413  1.14119e-05
recdev1(33)     -1.09708 -1.24783e-06
recdev1(34)     -1.01845  2.34733e-05
recdev1(35)    -0.625489 -1.11123e-05
recdev1(36)     0.712906 -4.42942e-06
recdev1(37)     0.282036 -2.03019e-07
recdev1(38)     0.359838    9.384e-07
recdev1(39)      1.26674 -4.64329e-06
recdev1(40)     0.435451 -1.19698e-06
recdev1(41)    -0.929619 -5.74356e-06
recdev1(42)    -0.506179  7.86779e-06
recdev1(43)    -0.129523 -1.64198e-06
recdev1(44)    -0.519676  8.79182e-07
recdev1(45)     0.584813 -4.88029e-06
recdev1(46)     0.340661  7.78995e-06
recdev1(47)     -0.37161 -6.18333e-06
recdev1(48)    -0.359494  6.99276e-06
recdev1(49)      0.64205 -9.18795e-06
recdev1(50)    -0.147687  1.60607e-05
recdev1(51)     0.478006  8.11382e-06
recdev1(52)     0.664878 -2.00409e-05
recdev1(53)     0.719811  1.58771e-05
recdev1(54)     0.461134 -1.13419e-05
recdev1(55)     0.156584 -4.42321e-06
recdev1(56)      1.39328 -4.93479e-06
recdev1(57)     0.873174  1.02748e-05
recdev1(58)    -0.344733 -2.56386e-05
recdev1(59)    -0.356308 -2.68696e-05
recdev1(60)      1.87698  5.29617e-06
recdev1(61)     0.460147  -1.7266e-05
recdev1(62)   -0.0335294  1.27461e-05
recdev1(63)  -0.00738196 -3.14895e-05
recdev1(64)      1.28302  7.83868e-06
recdev1(65)      1.18372 -9.87447e-06
recdev1(66)     0.992279  3.89495e-06
recdev1(67)      1.80108  1.23892e-06
recdev1(68)    -0.902559 -1.62436e-05
recdev1(69)     -0.89805  1.58394e-05
recdev1(70)     -0.42783 -1.83682e-05
recdev1(71)    -0.595326 -5.19055e-06
recdev1(72)    -0.258416  1.28457e-05
recdev1(73)    -0.288202 -1.89824e-05
recdev1(74)    -0.407662 -8.97861e-06
recdev1(75)     0.456475  7.40617e-06
recdev1(76)    -0.224821   6.7638e-06
recdev1(77)    -0.963585 -3.48422e-05
recdev1(78)    -0.481674 -8.67745e-06
recdev1(79)     0.578849  1.04351e-05
recdev1(80)     0.943431 -5.35792e-06
recdev1(81)    -0.671946  7.38238e-06
recdev1(82)    -0.271261 -8.50956e-06
recdev1(83)    -0.982187  6.27184e-05
recdev1(84)     0.449404  -1.9274e-05
recdev1(85)     0.683134   7.1436e-06
recdev1(86)    -0.650368  6.51194e-06
recdev1(87)    -0.461234 -2.40421e-06
recdev1(88)    -0.654889 -1.63088e-05
recdev1(89)     -0.87905    3.582e-05
recdev1(90)    -0.848763  -3.9194e-05
recdev1(91)    -0.127747   5.0113e-06
recdev1(92)     -1.07335  2.79086e-05
recdev1(93)     -0.29464 -2.74439e-05
recdev1(94)      1.19492  8.47095e-06
recdev1(95)     0.811802 -3.20898e-06
recdev1(96)     -0.59715 -7.22646e-06
Fcast_recruitments(97)   0.00134829 -2.23281e-06
Fcast_recruitments(98)   -0.0955044  -4.9374e-06
