ParName   Value   Gradient
SR_parm[1]      10.2277  0.000205291
recdev_early(-28)   0.00634181  3.51227e-07
recdev_early(-27)   0.00683913  1.94321e-07
recdev_early(-26)   0.00737556  1.64181e-08
recdev_early(-25)   0.00795295 -1.80773e-07
recdev_early(-24)   0.00857506 -3.95082e-07
recdev_early(-23)   0.00924353 -6.21875e-07
recdev_early(-22)   0.00996514 -8.56693e-07
recdev_early(-21)    0.0107416 -1.09087e-06
recdev_early(-20)    0.0115802 -1.31524e-06
recdev_early(-19)    0.0124817 -1.51577e-06
recdev_early(-18)     0.013449 -1.67677e-06
recdev_early(-17)    0.0144874  -1.7809e-06
recdev_early(-16)    0.0156038 -1.80853e-06
recdev_early(-15)    0.0168003 -1.73848e-06
recdev_early(-14)    0.0183491 -1.50713e-06
recdev_early(-13)    0.0200368 -1.08339e-06
recdev_early(-12)    0.0218707  -4.5035e-07
recdev_early(-11)    0.0238616   3.9056e-07
recdev_early(-10)    0.0260251  1.41413e-06
recdev_early(-9)    0.0283744  2.56072e-06
recdev_early(-8)    0.0309213  3.73106e-06
recdev_early(-7)    0.0336839  4.79038e-06
recdev_early(-6)    0.0366865  5.57181e-06
recdev_early(-5)    0.0399642  5.88589e-06
recdev_early(-4)    0.0435802  5.53948e-06
recdev_early(-3)    0.0476413  4.37636e-06
recdev_early(-2)    0.0522934  2.39878e-06
recdev_early(-1)    0.0577095 -3.09859e-08
recdev_early(0)    0.0640916 -2.02261e-06
recdev1(1)    0.0860252  -3.4685e-06
recdev1(2)    0.0950522  6.88095e-07
recdev1(3)     0.106032     1.73e-06
recdev1(4)      0.11949  -5.4351e-07
recdev1(5)     0.136067 -1.07854e-06
recdev1(6)     0.156507 -5.43186e-07
recdev1(7)     0.181574 -8.86462e-08
recdev1(8)     0.211844 -1.65876e-06
recdev1(9)     0.247176  2.07037e-06
recdev1(10)     0.285573 -6.86758e-07
recdev1(11)     0.320993   1.2464e-06
recdev1(12)     0.340525 -3.26669e-07
recdev1(13)     0.325284  2.39184e-07
recdev1(14)     0.262777 -1.41262e-06
recdev1(15)     0.162924 -3.32445e-06
recdev1(16)    0.0564423 -1.03406e-08
recdev1(17)     -0.01811  3.15461e-06
recdev1(18)   -0.0294901  1.97845e-06
recdev1(19)   -0.0072577 -3.00585e-06
recdev1(20)    -0.147173  4.06837e-06
recdev1(21)    -0.478529 -2.23549e-06
recdev1(22)    -0.513977  3.69445e-06
recdev1(23)     0.547319  1.67935e-06
recdev1(24)     0.269195  1.88706e-06
recdev1(25)     0.633663  4.38235e-06
recdev1(26)     0.240799   9.2737e-07
recdev1(27)    -0.241088  6.91685e-07
recdev1(28)     0.391678  4.05155e-06
recdev1(29)     0.148651  1.17505e-06
recdev1(30)    -0.490686 -1.21074e-06
recdev1(31)    0.0574724  4.10193e-06
recdev1(32)    -0.283116  6.03175e-07
recdev1(33)    -0.842017 -3.76677e-06
