ParName   Value   Gradient
SR_parm[1]      10.0876 -8.72079e-05
recdev_early(-8)  0.000387274 -3.61564e-07
recdev_early(-7)  0.000417774 -3.86042e-07
recdev_early(-6)  0.000449793  -4.1097e-07
recdev_early(-5)  0.000483305  -4.3663e-07
recdev_early(-4)  0.000518415 -4.62688e-07
recdev_early(-3)  0.000555443 -4.89297e-07
recdev_early(-2)  0.000594832 -5.16467e-07
recdev_early(-1)  0.000636935 -5.44079e-07
recdev_early(0)  0.000681962 -5.71871e-07
recdev_early(1)  0.000730087 -5.97323e-07
recdev_early(2)  0.000781422 -6.23261e-07
recdev_early(3)  0.000836223 -6.47695e-07
recdev_early(4)    0.0008947 -6.69935e-07
recdev_early(5)  0.000957067 -6.88954e-07
recdev_early(6)   0.00102354 -7.03574e-07
recdev_early(7)   0.00109433 -7.12247e-07
recdev_early(8)   0.00116965 -7.13091e-07
recdev_early(9)   0.00124966  -7.0375e-07
recdev_early(10)   0.00133452 -6.81364e-07
recdev_early(11)   0.00142434 -6.42443e-07
recdev_early(12)   0.00151915 -5.82846e-07
recdev_early(13)   0.00161895 -4.97787e-07
recdev_early(14)   0.00172362 -3.82018e-07
recdev_early(15)   0.00183294  -2.3044e-07
recdev_early(16)   0.00194654 -3.94249e-08
recdev_early(17)   0.00206383   1.9211e-07
recdev_early(18)   0.00218397  4.63049e-07
recdev_early(19)   0.00230585  7.71886e-07
recdev_early(20)   0.00242812  1.11661e-06
recdev1(21)   0.00538662 -2.06128e-06
recdev1(22)   0.00550609 -2.04601e-06
recdev1(23)   0.00562329 -2.00271e-06
recdev1(24)   0.00573919 -1.93437e-06
recdev1(25)   0.00585562 -1.84515e-06
recdev1(26)   0.00597338 -1.73929e-06
recdev1(27)   0.00609321 -1.62024e-06
recdev1(28)   0.00621292 -1.48793e-06
recdev1(29)   0.00633232 -1.34251e-06
recdev1(30)   0.00645097 -1.18375e-06
recdev1(31)   0.00656825 -1.01194e-06
recdev1(32)   0.00668326 -8.28582e-07
recdev1(33)   0.00679472 -6.36903e-07
recdev1(34)   0.00690071 -4.42572e-07
recdev1(35)   0.00699922 -2.54151e-07
recdev1(36)   0.00708757 -8.24269e-08
recdev1(37)   0.00716373   6.1477e-08
recdev1(38)   0.00722605  1.69081e-07
recdev1(39)    0.0072749   2.3772e-07
recdev1(40)   0.00731176  2.71764e-07
recdev1(41)   0.00733919  2.80842e-07
recdev1(42)   0.00735959  2.75399e-07
recdev1(43)   0.00737406  2.61404e-07
recdev1(44)   0.00738182  2.37994e-07
recdev1(45)   0.00738115  2.00749e-07
recdev1(46)   0.00737137  1.48673e-07
recdev1(47)   0.00735362  8.64569e-08
recdev1(48)   0.00733038  2.17415e-08
recdev1(49)   0.00730502  -3.8298e-08
recdev1(50)   0.00728199 -8.88963e-08
recdev1(51)   0.00726767 -1.28411e-07
recdev1(52)   0.00727233 -1.57726e-07
recdev1(53)   0.00731228 -1.81397e-07
recdev1(54)   0.00741266 -2.08925e-07
recdev1(55)   0.00761225 -2.53419e-07
recdev1(56)   0.00795834 -3.58467e-07
recdev1(57)    0.0085407 -5.29072e-07
recdev1(58)   0.00949343 -7.57334e-07
recdev1(59)    0.0109995   -1.097e-06
recdev1(60)    0.0133294 -1.74136e-06
recdev1(61)    0.0168904  -2.8887e-06
recdev1(62)    0.0223036 -3.01635e-06
recdev1(63)    0.0305462  3.15041e-06
recdev1(64)    0.0430988 -1.31103e-06
recdev1(65)    0.0621713  1.66451e-06
recdev1(66)    0.0909067  2.91373e-06
recdev1(67)     0.133446  -2.7111e-06
recdev1(68)     0.194216  4.67991e-06
recdev1(69)     0.273475 -3.11418e-06
recdev1(70)     0.348009 -1.48041e-06
recdev1(71)     0.332376 -3.21523e-06
recdev1(72)     0.159636 -2.15337e-06
recdev1(73)   -0.0670271 -4.84722e-08
recdev1(74)    -0.193895  2.19639e-06
recdev1(75)   -0.0989527  3.40679e-07
recdev1(76)    -0.073422 -5.04853e-07
recdev1(77)    -0.518094  3.18479e-06
recdev1(78)    -0.719302  2.92307e-07
recdev1(79)    -0.734692   2.7112e-06
recdev1(80)     0.796443  4.33684e-06
recdev1(81)   -0.0465642  1.90006e-06
recdev1(82)   0.00438176  1.78696e-06
recdev1(83)    -0.962553  1.83433e-06
recdev1(84)    -0.705533  1.77244e-06
recdev1(85)      1.09675  1.93893e-06
recdev1(86)     0.120734  -1.8793e-07
recdev1(87)    -0.559157  2.59401e-06
recdev1(88)    -0.609818  1.04393e-06
recdev1(89)    -0.393481  5.32267e-07
recdev1(90)    -0.262123  5.56852e-07
recdev1(91)   -0.0997415  2.11779e-06
recdev1(92)     0.295221  1.02696e-07
recdev1(93)    -0.202518  2.54342e-06
recdev1(94)    -0.240418  6.97023e-08
recdev1(95)      1.54351  2.37671e-06
recdev1(96)     0.633317  1.48093e-06
Fcast_recruitments(97)     0.517569 -1.74993e-06
Fcast_recruitments(98)    -0.248332  8.27998e-07
Fcast_recruitments(99)   -0.0853097 -1.15514e-06
Fcast_recruitments(100)  -0.00757607  3.64835e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      38.7638 -1.93512e-05
selparm[3]      4.78759  2.94134e-05
