ParName   Value   Gradient
SR_parm[1]      10.1481  0.000859108
recdev_early(-28)     0.115383  3.37889e-06
recdev_early(-27)     0.127697   2.5103e-06
recdev_early(-26)     0.141428  2.12891e-06
recdev_early(-25)      0.15673   2.0298e-06
recdev_early(-24)     0.173743  1.85024e-06
recdev_early(-23)     0.192578  2.93406e-06
recdev_early(-22)     0.213263  1.01807e-06
recdev_early(-21)     0.235663  1.45247e-06
recdev_early(-20)     0.259327  3.54339e-06
recdev_early(-19)     0.283227  4.08559e-06
recdev_early(-18)     0.305337  3.35105e-06
recdev_early(-17)     0.322042  5.38209e-06
recdev_early(-16)     0.327565  -2.2607e-06
recdev_early(-15)     0.314078  6.27446e-06
recdev_early(-14)     0.273453  5.42414e-06
recdev_early(-13)     0.200539  3.17211e-06
recdev_early(-12)    0.0954974 -1.88049e-06
recdev_early(-11)   -0.0363345 -7.53454e-07
recdev_early(-10)    -0.181974 -5.76175e-07
recdev_early(-9)    -0.331968  8.53318e-07
recdev_early(-8)     -0.47716  1.75277e-07
recdev_early(-7)    -0.604885 -1.62221e-06
recdev_early(-6)    -0.694072 -3.79942e-06
recdev_early(-5)    -0.697982 -1.55008e-07
recdev_early(-4)    -0.484937   6.3541e-06
recdev_early(-3)     0.617199  1.47442e-05
recdev_early(-2)      0.26395  3.20294e-05
recdev_early(-1)    -0.502594  9.05651e-06
recdev_early(0)       1.1052 -5.75136e-06
recdev1(1)     0.482773  -2.3603e-07
recdev1(2)    -0.281932 -6.21946e-06
recdev1(3)     0.514472  -5.7785e-07
recdev1(4)      0.54724 -7.09235e-06
recdev1(5)     0.486202 -6.80165e-06
recdev1(6)     0.390741 -2.45209e-05
recdev1(7)     0.262056 -1.52733e-05
recdev1(8)    -0.198808 -1.01318e-05
recdev1(9)    -0.393893 -1.53674e-05
recdev1(10)    -0.491779 -5.07343e-06
recdev1(11)    -0.623577 -1.29967e-05
recdev1(12)    -0.442191 -4.77144e-06
recdev1(13)    -0.803728  -6.0811e-06
recdev1(14)      1.55348  1.37583e-05
recdev1(15)     0.752813  7.02019e-06
recdev1(16)    -0.710659 -4.74378e-06
