ParName   Value   Gradient
SR_parm[1]      11.7111  0.000247665
recdev_early(-28)    -0.197147  -1.5083e-05
recdev_early(-27)     -0.51988 -6.36087e-06
recdev_early(-26)    -0.776468 -5.34714e-06
recdev_early(-25)    -0.999651 -5.76305e-06
recdev_early(-24)     -1.20208  -4.0347e-06
recdev_early(-23)     -1.38983 -1.77169e-06
recdev_early(-22)     -1.56606 -1.69849e-06
recdev_early(-21)     -1.73243 -6.58439e-07
recdev_early(-20)     -1.88964 -1.84687e-06
recdev_early(-19)     -2.03776 -1.23305e-06
recdev_early(-18)      -2.1763 -2.37555e-06
recdev_early(-17)     -2.30428 -3.08731e-06
recdev_early(-16)     -2.42017 -5.50507e-07
recdev_early(-15)      -2.5218  2.11455e-06
recdev_early(-14)     -2.61663  9.14629e-07
recdev_early(-13)     -2.69028 -2.22879e-08
recdev_early(-12)     -2.73701 -7.13811e-07
recdev_early(-11)     -2.74873 -4.76739e-07
recdev_early(-10)     -2.71393 -3.80626e-07
recdev_early(-9)       -2.616  1.50724e-06
recdev_early(-8)     -2.43147  2.35333e-06
recdev_early(-7)     -2.12957  2.84967e-06
recdev_early(-6)     -1.67941  1.03028e-05
recdev_early(-5)     -1.06914  2.06663e-05
recdev_early(-4)    -0.345641  4.81787e-05
recdev_early(-3)    -0.604316  3.50252e-05
recdev_early(-2)     -1.24168  1.73501e-05
recdev_early(-1)    -0.497933  2.97429e-05
recdev_early(0)    -0.158937  3.06316e-05
recdev1(1)     -1.28091  3.04558e-06
recdev1(2)     -1.10692  1.37239e-06
recdev1(3)    -0.303834  6.09299e-07
recdev1(4)    -0.549239  8.23524e-07
recdev1(5)    -0.672385 -1.85191e-06
recdev1(6)    -0.856562 -7.12476e-07
recdev1(7)     -1.19823 -1.27987e-06
recdev1(8)      -1.5509 -3.01595e-06
recdev1(9)     -1.57673 -1.97055e-06
recdev1(10)     -1.55685 -8.27765e-07
recdev1(11)     -1.41763  -2.7276e-06
recdev1(12)      -1.3453 -5.06324e-07
recdev1(13)     0.306059   2.0403e-06
recdev1(14)     0.357112  9.58754e-06
recdev1(15)     -1.82724  1.14896e-07
recdev1(16)     -2.19754  2.40976e-07
recdev1(17)     -1.74694 -1.31751e-06
recdev1(18)    -0.968358 -8.11159e-08
recdev1(19)    -0.609361  2.38591e-06
recdev1(20)      -1.1928  1.28721e-06
recdev1(21)    -0.955184  6.01211e-07
recdev1(22)     -1.09658  2.26619e-06
recdev1(23)    -0.287772  1.10145e-05
recdev1(24)    -0.242236   1.0421e-05
recdev1(25)    -0.628876  7.31438e-06
recdev1(26)    -0.576025  8.74116e-06
recdev1(27)     -1.71651  -1.3745e-06
recdev1(28)    -0.856323  2.10572e-06
recdev1(29)     -1.10951  3.59114e-06
recdev1(30)    -0.937233  5.72797e-06
recdev1(31)     -1.23151  2.05598e-06
recdev1(32)     -1.61375  4.18094e-06
recdev1(33)     -1.61176  2.96016e-06
recdev1(34)     -1.72858  2.66593e-06
recdev1(35)     -1.06975  5.38153e-06
recdev1(36)    -0.234446  8.84168e-06
recdev1(37)    -0.531813  4.52053e-06
recdev1(38)    -0.530195  5.60682e-06
recdev1(39)     0.723192  1.91839e-05
recdev1(40)    -0.348161  5.52468e-06
recdev1(41)     -2.11905  1.37966e-07
recdev1(42)     -1.36486  2.17777e-08
recdev1(43)    -0.217877  1.78573e-06
recdev1(44)     -1.64428 -1.47749e-06
recdev1(45)    -0.277136  7.31177e-08
recdev1(46)   -0.0237821  2.11478e-06
recdev1(47)     -1.50209 -1.50083e-06
recdev1(48)    -0.995425 -2.14683e-06
recdev1(49)   -0.0563491 -1.03808e-06
recdev1(50)     -0.41476 -2.54357e-06
recdev1(51)    0.0876819 -1.75862e-06
recdev1(52)    0.0140957 -3.96406e-06
recdev1(53)    0.0120001 -3.52715e-06
recdev1(54)     0.506683 -5.27328e-06
recdev1(55)    -0.200158 -1.23009e-06
recdev1(56)     0.926193 -4.68604e-06
recdev1(57)     0.970488 -5.84528e-06
recdev1(58)    0.0403621 -2.74239e-06
recdev1(59)     0.570382 -1.46238e-06
recdev1(60)      1.49782 -3.02312e-06
recdev1(61)     0.785627 -4.97322e-06
recdev1(62)     0.644023  -3.3969e-06
recdev1(63)     0.259899 -1.40775e-06
recdev1(64)      1.03274  1.18204e-07
recdev1(65)       1.6697 -4.11988e-06
recdev1(66)      1.41379 -5.16688e-06
recdev1(67)      2.39505  5.89212e-08
recdev1(68)     0.107336 -2.15355e-06
recdev1(69)    -0.587555 -2.05642e-06
recdev1(70)    -0.505455 -3.04366e-06
recdev1(71)     0.570483 -4.03054e-06
recdev1(72)      1.19818 -5.55903e-06
recdev1(73)     0.598413 -5.23187e-06
recdev1(74)     0.629596 -3.85512e-06
recdev1(75)     0.761935  -5.1473e-06
recdev1(76)      1.16151 -4.36023e-06
recdev1(77)      0.18575 -1.29724e-06
recdev1(78)     0.241067 -2.16525e-06
recdev1(79)      2.11337 -3.99987e-06
recdev1(80)      1.94835 -3.73124e-06
recdev1(81)     0.999133 -4.10227e-06
recdev1(82)       1.6861 -5.19615e-06
recdev1(83)   -0.0992653   1.7002e-07
recdev1(84)      2.02563 -3.56418e-06
recdev1(85)      2.08144 -2.45573e-06
recdev1(86)      1.68476 -9.91481e-07
recdev1(87)      1.42334 -1.02546e-06
recdev1(88)      0.93818 -4.96559e-07
recdev1(89)      1.03816 -4.44075e-07
recdev1(90)      1.75228  4.31027e-06
recdev1(91)      2.17365  6.96286e-06
recdev1(92)      1.25565  3.40104e-06
recdev1(93)       1.7944  5.71189e-07
recdev1(94)      3.48624  1.53073e-06
recdev1(95)      3.20234 -9.83543e-06
recdev1(96)   0.00180786  -5.4187e-06
Fcast_recruitments(97)       2.0922 -5.12058e-06
Fcast_recruitments(98)     0.937047 -4.19317e-06
Fcast_recruitments(99)    0.0651143 -3.66908e-06
Fcast_recruitments(100)    0.0231265   2.4211e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
