ParName   Value   Gradient
recdev_early(-28)     0.216749  4.03573e-06
recdev_early(-27)     0.240008 -1.30811e-05
recdev_early(-26)     0.265928  -1.8643e-06
recdev_early(-25)     0.294785  1.28652e-05
recdev_early(-24)     0.326845  9.53591e-06
recdev_early(-23)     0.362308  -2.7911e-06
recdev_early(-22)     0.401218  7.47314e-06
recdev_early(-21)      0.44324  1.01469e-05
recdev_early(-20)     0.487263    9.393e-06
recdev_early(-19)     0.530598  7.18755e-06
recdev_early(-18)     0.567619  2.57683e-06
recdev_early(-17)     0.588387 -6.46884e-06
recdev_early(-16)     0.580105  -1.3696e-05
recdev_early(-15)     0.534396 -1.33585e-05
recdev_early(-14)     0.453304 -1.48356e-06
recdev_early(-13)     0.345244  6.15078e-06
recdev_early(-12)     0.218543  1.36732e-05
recdev_early(-11)    0.0794344  9.69392e-06
recdev_early(-10)   -0.0655118  6.66503e-07
recdev_early(-9)     -0.20705 -2.66328e-06
recdev_early(-8)    -0.341286 -4.77136e-06
recdev_early(-7)    -0.460451  4.74782e-06
recdev_early(-6)    -0.547926  4.78388e-06
recdev_early(-5)    -0.560161 -1.01306e-05
recdev_early(-4)    -0.367191  1.23508e-05
recdev_early(-3)     0.759569 -1.31948e-07
recdev_early(-2)     0.396487  3.77459e-06
recdev_early(-1)    -0.395774  1.59178e-07
recdev_early(0)      1.27956  4.13633e-06
recdev1(1)     0.630255 -2.54208e-06
recdev1(2)    -0.258037 -2.75851e-06
recdev1(3)     0.689725 -1.09579e-06
recdev1(4)     0.674455 -5.85828e-07
recdev1(5)     0.628912 -1.92152e-06
recdev1(6)     0.520774 -1.58436e-06
recdev1(7)     0.414266 -3.47176e-06
recdev1(8)   -0.0863426  -2.7176e-06
recdev1(9)    -0.268891 -4.42462e-06
recdev1(10)    -0.354741 -4.36951e-06
recdev1(11)    -0.537934 -1.85601e-06
recdev1(12)    -0.262845 -3.89486e-06
recdev1(13)    -0.894493 -1.36478e-06
recdev1(14)      1.70489  1.37923e-05
recdev1(15)     0.901908  6.61105e-06
recdev1(16)    -0.760781 -1.55635e-05
recdev1(17)    -0.406742  3.87984e-06
recdev1(18)    -0.389337 -6.08051e-06
recdev1(19)     0.585488  6.51822e-06
recdev1(20)    -0.102428 -1.90863e-06
recdev1(21)     0.161014  2.61413e-06
recdev1(22)     -0.05581  -1.3584e-06
recdev1(23)    -0.091809  2.52418e-06
recdev1(24)      1.06666   1.4952e-05
recdev1(25)    -0.231202  3.97085e-06
recdev1(26)      1.15507   1.9326e-05
recdev1(27)    -0.933942  3.52646e-06
recdev1(28)     0.380345  6.35848e-06
recdev1(29)    0.0818252  3.93022e-06
recdev1(30)     0.133023  3.55127e-06
recdev1(31)     0.258507  5.45216e-06
recdev1(32)    -0.413123  2.59986e-07
recdev1(33)    -0.331018  1.53306e-06
recdev1(34)    -0.824332 -2.08889e-06
recdev1(35)    -0.854354 -4.19725e-07
recdev1(36)     0.189976  6.91572e-06
recdev1(37)     0.330287  9.14934e-06
recdev1(38)   0.00868506  6.04562e-06
recdev1(39)     0.692544  1.73763e-05
recdev1(40)      1.61985  4.76223e-05
recdev1(41)    -0.584014  1.46686e-06
recdev1(42)     -1.27959 -2.75359e-06
recdev1(43)     0.731976  1.40713e-05
recdev1(44)    -0.544749  2.22379e-06
recdev1(45)    -0.587619  -1.7902e-06
recdev1(46)     0.790938  1.68407e-05
recdev1(47)    -0.298585  3.25289e-06
recdev1(48)    -0.913239 -5.20462e-06
recdev1(49)    0.0875425  3.42543e-06
recdev1(50)    -0.135229  4.01787e-07
recdev1(51)    -0.033688  2.18632e-06
recdev1(52)     0.269698  5.90949e-06
recdev1(53)    -0.328209  2.31847e-07
recdev1(54)     0.475061  4.19332e-06
recdev1(55)    -0.210881 -2.17366e-06
recdev1(56)      0.21983 -3.97627e-07
recdev1(57)     0.843122  6.23613e-06
recdev1(58)     0.305777 -4.38238e-07
recdev1(59)    -0.291967  -3.2108e-06
recdev1(60)     0.884765  2.61165e-06
recdev1(61)     0.760103  6.97667e-07
recdev1(62)     0.402529 -1.40155e-06
recdev1(63)     0.146502 -2.65846e-06
recdev1(64)    -0.530437 -6.39312e-06
recdev1(65)       1.0517  1.31124e-07
recdev1(66)    -0.537453 -8.12835e-06
recdev1(67)      1.72115  3.58512e-06
recdev1(68)      1.18855  -1.4768e-06
recdev1(69)    -0.246491 -9.29086e-07
recdev1(70)    -0.805246 -1.20164e-05
recdev1(71)    -0.612678 -1.52534e-06
recdev1(72)      0.16918  -8.8957e-06
recdev1(73)    -0.255875 -5.54734e-06
recdev1(74)    -0.320121 -9.32331e-06
recdev1(75)    -0.781506  1.03707e-06
recdev1(76)   -0.0895545 -6.61016e-06
recdev1(77)    -0.744513  1.24086e-06
recdev1(78)     -1.15356 -1.51251e-05
recdev1(79)    -0.389817 -2.50728e-06
recdev1(80)     0.664358 -6.56539e-06
recdev1(81)    -0.333016 -5.05705e-06
recdev1(82)     0.359944 -6.25252e-06
recdev1(83)     -1.01834  -3.4149e-06
recdev1(84)     -0.14587 -6.84809e-06
recdev1(85)     0.374984 -6.24305e-06
recdev1(86)     0.150597 -6.04312e-06
recdev1(87)    0.0897449 -5.17787e-06
recdev1(88)    -0.578463 -5.73377e-06
recdev1(89)    -0.790594 -5.69761e-06
recdev1(90)     -0.82798 -5.54732e-06
recdev1(91)  0.000494389 -5.18845e-06
recdev1(92)    -0.706363 -5.95847e-06
recdev1(93)    -0.428775 -5.91719e-06
recdev1(94)     -0.38824 -5.99999e-06
recdev1(95)      1.45152  -4.3613e-06
