ParName   Value   Gradient
SR_parm[1]      10.5203  6.09046e-05
recdev_early(-28)     0.133714 -5.61864e-08
recdev_early(-27)      4.86066 -1.01974e-06
recdev_early(-26)   -0.0627381   -1.168e-07
recdev_early(-25)    -0.170083  1.40799e-07
recdev_early(-24)    -0.281302   6.8005e-08
recdev_early(-23)    -0.395022 -1.73088e-07
recdev_early(-22)    -0.510006 -6.40354e-08
recdev_early(-21)    -0.625074  5.42164e-08
recdev_early(-20)     -0.73904  3.82365e-08
recdev_early(-19)    -0.850647  8.66088e-08
recdev_early(-18)    -0.958493 -5.95987e-08
recdev_early(-17)     -1.06096 -7.32018e-08
recdev_early(-16)     -1.15608  1.11633e-07
recdev_early(-15)     -1.24144  1.20532e-07
recdev_early(-14)      -1.3221  1.10198e-07
recdev_early(-13)     -1.38598   3.4459e-07
recdev_early(-12)     -1.42715  1.02166e-07
recdev_early(-11)      -1.4371  1.75014e-07
recdev_early(-10)     -1.40323   3.4593e-07
recdev_early(-9)     -1.30617  5.40194e-07
recdev_early(-8)     -1.11528  9.17516e-07
recdev_early(-7)    -0.781872  5.76093e-07
recdev_early(-6)    -0.237618  6.72588e-07
recdev_early(-5)     0.458334  3.12762e-06
recdev_early(-4)       1.9492  1.65777e-05
recdev_early(-3)     0.821359  4.11756e-06
recdev_early(-2)     0.317281  4.22891e-06
recdev_early(-1)      1.38175   6.0134e-06
recdev_early(0)      1.62194  4.51101e-06
recdev1(1)   -0.0386493  1.06512e-06
recdev1(2)     0.230618 -1.15166e-08
recdev1(3)      1.15149 -7.12805e-07
recdev1(4)     0.778475 -4.48491e-07
recdev1(5)     0.681729  -1.0463e-06
recdev1(6)     0.468644 -3.39817e-07
recdev1(7)    0.0984282   3.2382e-08
recdev1(8)    -0.312906  7.45553e-08
recdev1(9)    -0.319994 -3.10699e-07
recdev1(10)    -0.326175  6.66782e-08
recdev1(11)    -0.158368 -1.55377e-07
recdev1(12)    -0.256066 -4.26059e-07
recdev1(13)      1.56603  -3.1432e-07
recdev1(14)      1.55547 -6.06894e-07
recdev1(15)    -0.867146 -9.28607e-08
recdev1(16)     -1.22339  1.07736e-07
recdev1(17)    -0.712395  1.61617e-07
recdev1(18)     0.111744 -1.65025e-07
recdev1(19)     0.481682 -4.38721e-08
recdev1(20)    -0.239969 -2.42559e-07
recdev1(21)     0.106568  1.14986e-07
recdev1(22)    -0.165493  9.59175e-08
recdev1(23)     0.740179   1.0984e-07
recdev1(24)     0.742455  6.82417e-07
recdev1(25)     0.297704  2.37577e-07
recdev1(26)     0.399822  2.07322e-07
recdev1(27)    -0.964936 -7.38047e-07
recdev1(28)    0.0894388  2.21689e-07
recdev1(29)    -0.262767  3.14447e-07
recdev1(30)   -0.0448315 -9.93821e-08
recdev1(31)    -0.379947 -4.53092e-09
recdev1(32)    -0.802668  -4.2539e-08
recdev1(33)    -0.786716  8.00534e-09
recdev1(34)    -0.969869  1.04755e-07
recdev1(35)    -0.291893  8.39241e-08
recdev1(36)     0.549777  4.23168e-07
recdev1(37)     0.186298  2.79634e-07
recdev1(38)      0.14251  1.59764e-07
recdev1(39)      1.38086   1.0158e-06
recdev1(40)     0.183727   2.5483e-07
recdev1(41)     -1.67687  5.33019e-08
recdev1(42)    -0.919119 -8.63894e-08
recdev1(43)     0.228916 -4.41706e-07
recdev1(44)     -1.30865  3.46335e-07
recdev1(45)     0.119465 -2.60068e-07
recdev1(46)     0.313243  7.48797e-08
recdev1(47)     -1.23154  2.37021e-07
recdev1(48)    -0.727796 -3.27972e-08
recdev1(49)     0.176212  5.37762e-07
recdev1(50)    -0.255451  3.15602e-07
recdev1(51)     0.215029   5.3345e-07
recdev1(52)    0.0490003  3.11934e-07
recdev1(53)    0.0228367  -5.4079e-07
