ParName   Value   Gradient
SR_parm[1]      10.0309  -8.6478e-05
recdev_early(-28)    0.0198203  7.25427e-06
recdev_early(-27)    0.0217059  6.66879e-06
recdev_early(-26)    0.0237716  5.78504e-06
recdev_early(-25)    0.0260307  4.57325e-06
recdev_early(-24)    0.0285015  3.02577e-06
recdev_early(-23)    0.0312084   1.1732e-06
recdev_early(-22)     0.034167 -8.82759e-07
recdev_early(-21)    0.0374019 -2.95865e-06
recdev_early(-20)     0.040938 -4.76586e-06
recdev_early(-19)    0.0448004 -5.91365e-06
recdev_early(-18)    0.0490148 -5.95746e-06
recdev_early(-17)    0.0536081 -4.51313e-06
recdev_early(-16)    0.0586044 -1.46629e-06
recdev_early(-15)    0.0640354  2.76794e-06
recdev_early(-14)    0.0699224  7.00864e-06
recdev_early(-13)    0.0762891  9.37221e-06
recdev_early(-12)    0.0831546  7.93071e-06
recdev_early(-11)    0.0905256  2.15857e-06
recdev_early(-10)    0.0983979 -5.37866e-06
recdev_early(-9)     0.106754 -8.86269e-06
recdev_early(-8)      0.11555 -2.88739e-06
recdev_early(-7)     0.124717   1.0443e-05
recdev_early(-6)     0.134154  1.82478e-05
recdev_early(-5)     0.143734  7.80909e-06
recdev_early(-4)     0.153328 -1.27639e-05
recdev_early(-3)     0.162832 -1.46802e-05
recdev_early(-2)     0.172102  1.03746e-05
recdev_early(-1)     0.180852  2.08523e-05
recdev_early(0)     0.188635 -5.83047e-06
recdev1(1)     0.244378  9.79532e-08
recdev1(2)     0.248655 -4.05577e-06
recdev1(3)     0.249507   2.3646e-05
recdev1(4)     0.245919 -1.40416e-05
recdev1(5)     0.236967  2.77443e-05
recdev1(6)     0.221929 -1.50454e-05
recdev1(7)     0.200518   1.4876e-05
recdev1(8)     0.172937  2.68106e-06
recdev1(9)     0.139932  -6.4805e-06
recdev1(10)     0.102621  1.44428e-05
recdev1(11)    0.0621857 -5.23622e-06
recdev1(12)    0.0194827 -1.14919e-05
recdev1(13)    -0.024944 -8.31046e-06
recdev1(14)   -0.0696814  7.29264e-06
recdev1(15)    -0.113289 -2.98727e-06
recdev1(16)    -0.147475  1.06574e-05
recdev1(17)    -0.150604  1.60269e-06
recdev1(18)    -0.084122 -2.69506e-05
recdev1(19)    0.0781243  6.67319e-07
recdev1(20)     0.118172  1.82668e-05
recdev1(21)    -0.304321 -9.54044e-07
recdev1(22)     -0.69053  2.29527e-06
recdev1(23)    -0.243939 -1.34368e-05
recdev1(24)    -0.409086  1.14507e-05
recdev1(25)    -0.848365   1.6262e-05
recdev1(26)      1.46983 -4.44326e-06
recdev1(27)    -0.362758  2.29984e-06
recdev1(28)     0.177279  1.08805e-05
recdev1(29)    -0.965363 -6.38567e-06
recdev1(30)     -1.01475 -6.83769e-05
recdev1(31)      1.75281 -6.65527e-06
recdev1(32)     0.542327  4.11994e-05
recdev1(33)     0.534341 -3.29427e-05
recdev1(34)     0.457881 -4.80293e-07
