ParName   Value   Gradient
SR_parm[1]      10.1858 -2.61995e-05
recdev_early(-28)    0.0317376  2.94983e-06
recdev_early(-27)    0.0342824  1.26704e-05
recdev_early(-26)    0.0370325  1.84859e-05
recdev_early(-25)    0.0400003  1.96082e-05
recdev_early(-24)    0.0432029  1.57623e-05
recdev_early(-23)    0.0466637  7.40916e-06
recdev_early(-22)     0.050396 -4.01482e-06
recdev_early(-21)    0.0544218 -1.60956e-05
recdev_early(-20)     0.058763 -2.56955e-05
recdev_early(-19)    0.0634403 -2.96373e-05
recdev_early(-18)    0.0684739 -2.58213e-05
recdev_early(-17)    0.0738836 -1.45062e-05
recdev_early(-16)    0.0796851  8.13382e-07
recdev_early(-15)    0.0858985  1.38242e-05
recdev_early(-14)    0.0940139   1.6852e-05
recdev_early(-13)     0.102838  1.92839e-06
recdev_early(-12)     0.112413 -1.97391e-05
recdev_early(-11)     0.122769 -2.52193e-05
recdev_early(-10)     0.133922 -3.78257e-06
recdev_early(-9)     0.145872  2.08672e-05
recdev_early(-8)     0.158583  1.23782e-05
recdev_early(-7)     0.171994 -1.86007e-05
recdev_early(-6)      0.18601  -1.6535e-05
recdev_early(-5)     0.200513  1.71312e-05
recdev_early(-4)       0.2154  1.03304e-05
recdev_early(-3)      0.23066 -2.36959e-05
recdev_early(-2)     0.246291  -2.5754e-06
recdev_early(-1)     0.262107  4.91381e-06
recdev_early(0)     0.277687 -2.74429e-05
recdev1(1)     0.376367 -1.65535e-05
recdev1(2)     0.390592   1.6451e-05
recdev1(3)     0.401547 -2.79075e-06
recdev1(4)     0.407614 -2.00683e-05
recdev1(5)     0.407059  1.79152e-05
recdev1(6)     0.398316 -2.42845e-05
recdev1(7)     0.380408  1.38784e-07
recdev1(8)      0.35318  1.37343e-05
recdev1(9)     0.317396  1.63486e-05
recdev1(10)      0.27448  8.70627e-06
recdev1(11)     0.226026  2.92017e-06
recdev1(12)     0.173243  1.48978e-05
recdev1(13)     0.116643  3.20757e-05
recdev1(14)    0.0565513 -3.52238e-05
recdev1(15)  -0.00457661 -1.26871e-05
recdev1(16)   -0.0573531  -5.7681e-06
recdev1(17)   -0.0789657  -3.5081e-06
recdev1(18)   -0.0304671 -5.58813e-07
recdev1(19)     0.111535  1.79788e-05
recdev1(20)     0.124357  -1.1809e-05
recdev1(21)    -0.310327  1.20259e-06
recdev1(22)     -0.70689  3.69044e-07
recdev1(23)     -0.29143  5.78449e-07
recdev1(24)    -0.465505 -2.32897e-06
recdev1(25)    -0.892013 -2.40915e-06
recdev1(26)      1.36116 -1.49288e-06
recdev1(27)    -0.417645 -4.30924e-06
recdev1(28)    0.0695487  5.45971e-07
recdev1(29)     -1.02654  2.29895e-06
recdev1(30)     -1.06668  4.42455e-06
recdev1(31)      1.64725 -2.96244e-06
recdev1(32)      0.46974   1.7343e-06
recdev1(33)     0.435963 -8.78238e-07
recdev1(34)     0.357795 -3.71066e-06
