ParName   Value   Gradient
SR_parm[1]      10.2018  -0.00013832
recdev_early(10)   -0.0011187 -1.11555e-06
recdev_early(11)  -0.00119712 -1.11007e-06
recdev_early(12)  -0.00127981 -9.47988e-07
recdev_early(13)   -0.0013667 -8.50559e-07
recdev_early(14)   -0.0014576 -1.16807e-06
recdev_early(15)  -0.00155206 -1.38556e-06
recdev_early(16)   -0.0016496 -1.29052e-06
recdev_early(17)  -0.00174978  -1.3067e-06
recdev_early(18)  -0.00185212  -1.4866e-06
recdev_early(19)  -0.00195616 -1.79527e-06
recdev_early(20)  -0.00206138 -1.75715e-06
recdev_early(21)  -0.00216741 -1.53259e-06
recdev_early(22)    -0.002274  -1.8248e-06
recdev_early(23)  -0.00238088 -1.99274e-06
recdev_early(24)  -0.00248788 -1.91334e-06
recdev_early(25)  -0.00259478 -1.95522e-06
recdev_early(26)  -0.00270118 -1.94107e-06
recdev_early(27)  -0.00280652 -1.96124e-06
recdev_early(28)  -0.00290812 -2.32367e-06
recdev_early(29)   -0.0030049 -2.07325e-06
recdev_early(30)  -0.00309591  -2.3253e-06
recdev_early(31)  -0.00318004 -2.37763e-06
recdev_early(32)  -0.00325624 -2.38268e-06
recdev_early(33)  -0.00332353  -2.5333e-06
recdev_early(34)  -0.00338085 -2.61223e-06
recdev_early(35)  -0.00342675 -2.47636e-06
recdev_early(36)  -0.00345931 -2.51444e-06
recdev_early(37)  -0.00347635 -2.67583e-06
recdev_early(38)  -0.00347603 -2.46888e-06
recdev1(39)    -0.022612  -1.7411e-06
recdev1(40)   -0.0225754 -1.65618e-06
recdev1(41)   -0.0225212 -1.82352e-06
recdev1(42)   -0.0224501 -1.74356e-06
recdev1(43)   -0.0223631 -1.68021e-06
recdev1(44)   -0.0222609 -1.40592e-06
recdev1(45)   -0.0221444 -1.59186e-06
recdev1(46)   -0.0220155 -1.30855e-06
recdev1(47)   -0.0218765 -1.26039e-06
recdev1(48)   -0.0217297 -1.20536e-06
recdev1(49)   -0.0215773 -1.13204e-06
recdev1(50)   -0.0214209 -9.87753e-07
recdev1(51)   -0.0212613 -7.86141e-07
recdev1(52)   -0.0211005 -9.53082e-07
recdev1(53)   -0.0209422 -4.35983e-07
recdev1(54)   -0.0207919 -4.80649e-07
recdev1(55)   -0.0206535 -2.34204e-07
recdev1(56)   -0.0205278 -9.62962e-08
recdev1(57)   -0.0204151  -3.9625e-08
recdev1(58)    -0.020309 -1.21655e-07
recdev1(59)   -0.0202042 -8.47265e-08
recdev1(60)   -0.0200985  1.97738e-07
recdev1(61)   -0.0199926  1.05558e-07
recdev1(62)   -0.0198901   1.0889e-07
recdev1(63)   -0.0198001  3.11173e-07
recdev1(64)   -0.0197321  3.48469e-07
recdev1(65)   -0.0196991  1.22679e-07
recdev1(66)   -0.0197136  1.30255e-07
recdev1(67)   -0.0197784  4.66393e-07
recdev1(68)   -0.0198754  5.68964e-07
recdev1(69)   -0.0199584  4.47993e-07
recdev1(70)   -0.0199543  4.80366e-07
recdev1(71)   -0.0197713  4.88033e-07
recdev1(72)   -0.0193207  4.82393e-07
recdev1(73)   -0.0185599  3.78397e-07
recdev1(74)   -0.0175573  3.32743e-07
recdev1(75)   -0.0165595  7.68651e-07
recdev1(76)   -0.0160467  4.03932e-07
recdev1(77)   -0.0167406   6.3842e-07
recdev1(78)   -0.0194899  8.27605e-07
recdev1(79)    -0.024964  9.23616e-07
recdev1(80)   -0.0331377   4.9494e-07
recdev1(81)   -0.0426375   4.5524e-07
recdev1(82)      -0.0499  6.82261e-07
recdev1(83)   -0.0493794  5.69447e-07
recdev1(84)   -0.0339479  9.91795e-07
recdev1(85)   0.00421903  6.06994e-07
recdev1(86)    0.0719678  8.37461e-07
recdev1(87)      0.16938  8.23122e-07
recdev1(88)     0.263578  7.39059e-07
recdev1(89)     0.234115  6.68552e-07
recdev1(90)   0.00374392  5.01832e-07
recdev1(91)     -0.29733  7.99354e-07
recdev1(92)    -0.532586  7.08256e-07
recdev1(93)    -0.587192  7.20956e-07
recdev1(94)    -0.298884  7.63258e-07
recdev1(95)      1.55291  9.13916e-07
recdev1(96)     0.464336  9.35879e-07
Fcast_recruitments(97)    -0.459629   2.8053e-08
Fcast_recruitments(98)    -0.520928  5.74523e-08
Fcast_recruitments(99)     0.197128  6.74935e-08
Fcast_recruitments(100)     -0.11043  1.11027e-10
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      62.6615 -4.02522e-06
selparm[3]      6.19866  3.43034e-05
