ParName   Value   Gradient
SR_parm[1]      11.7559  1.21496e-05
recdev_early(-28)    -0.515099  2.95226e-06
recdev_early(-27)    -0.620361  -7.7747e-07
recdev_early(-26)     -0.73028  9.09293e-06
recdev_early(-25)    -0.843692  9.72532e-06
recdev_early(-24)    -0.959404 -3.11875e-05
recdev_early(-23)     -1.07617  9.28487e-06
recdev_early(-22)     -1.19268  9.40181e-08
recdev_early(-21)      -1.3075 -1.43879e-05
recdev_early(-20)     -1.41902  1.21619e-05
recdev_early(-19)     -1.52537  2.79861e-06
recdev_early(-18)     -1.62436 -2.53658e-06
recdev_early(-17)     -1.71327 -2.98221e-07
recdev_early(-16)     -1.78871  1.42425e-07
recdev_early(-15)     -1.84625  2.59883e-07
recdev_early(-14)     -1.87994  9.44232e-07
recdev_early(-13)      -1.8815  1.58313e-06
recdev_early(-12)     -1.83881  1.41629e-06
recdev_early(-11)     -1.73324    1.969e-06
recdev_early(-10)     -1.53382 -4.73608e-07
recdev_early(-9)     -1.18297  9.70869e-06
recdev_early(-8)    -0.548783 -1.44213e-06
recdev_early(-7)       1.0785 -1.16635e-06
recdev_early(-6)    -0.473408  3.46853e-06
recdev_early(-5)     -1.12473  5.72942e-06
recdev_early(-4)     -1.34117  2.66207e-06
recdev_early(-3)     -1.27684 -4.46356e-06
recdev_early(-2)     -1.04943  -1.2198e-06
recdev_early(-1)     -0.88975  4.48289e-06
recdev_early(0)     -1.20477 -7.30892e-06
recdev1(1)     -1.41205  9.08162e-06
recdev1(2)     -1.36782 -2.30093e-06
recdev1(3)     0.069074 -1.25773e-06
recdev1(4)    -0.682396  7.66056e-06
recdev1(5)     -2.30525 -2.17113e-05
recdev1(6)     -2.08124 -2.96835e-05
recdev1(7)     -1.27134  1.67056e-05
recdev1(8)     -1.00684 -5.64145e-06
recdev1(9)     -1.39792 -1.52227e-06
recdev1(10)     -1.77909   8.1225e-06
recdev1(11)    -0.802093 -7.10465e-07
recdev1(12)    -0.691606 -2.17603e-06
recdev1(13)     -2.01353  9.78036e-06
recdev1(14)     -1.81871  5.12341e-06
recdev1(15)     -1.30126 -9.65163e-06
recdev1(16)    -0.553591  5.84968e-06
recdev1(17)    -0.458372 -4.53921e-06
recdev1(18)     -1.08349  3.55088e-06
recdev1(19)     -1.02072  3.37105e-06
recdev1(20)     -1.48225 -1.09127e-05
recdev1(21)     -1.17467    7.754e-06
recdev1(22)     -1.27219 -4.16571e-06
recdev1(23)     -1.35113  8.27715e-07
recdev1(24)     -1.79461 -7.25427e-07
recdev1(25)     0.165599  9.31563e-07
recdev1(26)     0.137264  5.42762e-08
recdev1(27)     -2.02318  1.61915e-06
recdev1(28)     -2.16509 -1.97463e-06
recdev1(29)     -1.78397    2.691e-06
recdev1(30)     0.227727  1.01666e-06
recdev1(31)     0.579769 -5.63509e-07
recdev1(32)     -1.53933  1.77847e-05
recdev1(33)     -1.57636 -1.30196e-05
recdev1(34)     -1.19221  3.41444e-06
recdev1(35)      -1.6507 -1.06148e-06
recdev1(36)     -1.54347  6.33705e-07
recdev1(37)      -1.5288 -2.00316e-06
recdev1(38)     0.140525  2.04455e-07
recdev1(39)    0.0983302  1.69121e-06
recdev1(40)     -1.47241  -9.2836e-06
recdev1(41)    -0.849404  4.29695e-06
recdev1(42)    0.0182765 -9.13845e-07
recdev1(43)     -0.29576  1.16813e-06
recdev1(44)     -1.67259 -3.29158e-06
recdev1(45)     0.175773  2.73449e-07
recdev1(46)     0.199165  3.02939e-07
recdev1(47)     -1.93725 -1.96312e-06
recdev1(48)     -1.65416  2.09801e-07
recdev1(49)     -1.43943  1.11997e-06
recdev1(50)      -0.9417 -7.24193e-07
recdev1(51)     0.180629  6.04264e-07
recdev1(52)     0.954953  1.72779e-07
recdev1(53)     0.681678   7.8891e-07
recdev1(54)   -0.0802368 -4.96443e-07
recdev1(55)    -0.391231  1.24467e-06
recdev1(56)    0.0292273 -1.29647e-07
recdev1(57)    -0.582822  -2.5143e-07
recdev1(58)     0.748981 -2.87134e-07
recdev1(59)     0.984864 -7.30592e-07
recdev1(60)      1.32604  -6.0907e-07
recdev1(61)      1.67474 -6.79554e-07
recdev1(62)    -0.887015  8.27808e-07
recdev1(63)     0.124172 -6.22298e-07
recdev1(64)    -0.247246  1.23401e-06
recdev1(65)    0.0748823 -1.52473e-06
recdev1(66)     0.123385  1.68436e-06
recdev1(67)      1.36022  4.54083e-08
recdev1(68)       1.4448  4.23691e-07
recdev1(69)     0.790339  1.06803e-06
recdev1(70)      0.25278 -1.98421e-06
recdev1(71)     0.353318  2.08329e-06
recdev1(72)      2.15967 -1.90187e-07
recdev1(73)      2.00303 -4.55487e-07
recdev1(74)    -0.773969  9.43767e-06
recdev1(75)       2.3487 -5.35405e-07
recdev1(76)      2.31299  1.38886e-07
recdev1(77)    -0.651741  2.85484e-06
recdev1(78)    -0.320855 -2.80839e-06
recdev1(79)      1.36725  1.35795e-06
recdev1(80)      1.96569 -2.06103e-06
recdev1(81)     0.647978  3.50174e-06
recdev1(82)      1.55398  1.67996e-06
recdev1(83)      1.59289 -6.11234e-06
recdev1(84)      2.93909  1.36564e-06
recdev1(85)      2.98412 -1.13008e-06
recdev1(86)     0.892205 -5.47289e-07
recdev1(87)      2.88113  3.22049e-07
recdev1(88)      1.57967  1.17429e-06
recdev1(89)       1.2575 -8.00089e-07
recdev1(90)     0.481144  1.53505e-07
recdev1(91)      2.12626  1.04649e-06
recdev1(92)      2.04102 -5.47795e-07
recdev1(93)       3.1198  6.60427e-07
recdev1(94)      4.11451 -1.34883e-07
recdev1(95)      3.91422  1.09147e-07
recdev1(96)      2.12373  3.82445e-07
Fcast_recruitments(97)     0.623116 -1.60514e-07
Fcast_recruitments(98)     0.191377  2.05987e-07
Fcast_recruitments(99)     0.332907 -1.49594e-07
Fcast_recruitments(100)    0.0761444 -1.98167e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]         81.5 -0.000203919
selparm[3]      6.69712 -6.25607e-05
