ParName   Value   Gradient
SR_parm[1]      10.0498  0.000354321
recdev_early(-28)    0.0601908  3.07073e-07
recdev_early(-27)    0.0663449  2.73348e-07
recdev_early(-26)    0.0731597 -1.09757e-06
recdev_early(-25)    0.0807014  4.29943e-07
recdev_early(-24)    0.0890353  1.08754e-07
recdev_early(-23)    0.0982217  8.21155e-07
recdev_early(-22)     0.108306 -2.11912e-06
recdev_early(-21)     0.119307  2.42291e-06
recdev_early(-20)     0.131192 -3.76039e-07
recdev_early(-19)     0.143849 -2.17553e-07
recdev_early(-18)     0.157041  6.88361e-07
recdev_early(-17)     0.170343  7.31736e-07
recdev_early(-16)     0.183073 -4.03008e-08
recdev_early(-15)      0.19423 -1.71962e-06
recdev_early(-14)     0.202498  1.87832e-06
recdev_early(-13)     0.206404  5.57623e-07
recdev_early(-12)     0.204801  1.10477e-07
recdev_early(-11)     0.197778  1.58551e-06
recdev_early(-10)     0.187975  2.43266e-06
recdev_early(-9)      0.18193 -5.98726e-07
recdev_early(-8)     0.190595  7.37378e-07
recdev_early(-7)     0.226881  1.33252e-06
recdev_early(-6)      2.44756  1.05223e-05
recdev_early(-5)     0.341498  1.19001e-06
recdev_early(-4)     0.418087  1.63422e-06
recdev_early(-3)     0.382515  1.88897e-06
recdev_early(-2)     0.058497  2.84243e-07
recdev_early(-1)     0.520846  1.41274e-06
recdev_early(0)     0.514829  2.06942e-06
recdev1(1)    0.0894738 -2.36098e-06
recdev1(2)   -0.0431347  -2.4013e-06
recdev1(3)  -0.00326932 -4.40102e-07
recdev1(4)      1.57629  4.12998e-07
recdev1(5)    -0.478289 -1.71081e-06
recdev1(6)    -0.716369 -1.64375e-06
recdev1(7)      -0.1333 -1.78413e-06
recdev1(8)      0.19166 -5.72748e-07
recdev1(9)     0.230573 -1.10284e-06
recdev1(10)    -0.441305 -1.54896e-06
recdev1(11)    -0.637224 -2.76224e-06
recdev1(12)     0.862904   1.9621e-06
recdev1(13)    -0.294655 -2.08739e-06
recdev1(14)    -0.646103 -4.46979e-07
recdev1(15)     -0.32548   -1.554e-06
recdev1(16)    -0.170385 -2.94584e-07
recdev1(17)       0.7708  2.64511e-06
recdev1(18)    0.0755259  8.26002e-07
recdev1(19)     0.462227  3.18577e-07
recdev1(20)    -0.322914  1.66077e-06
recdev1(21)    0.0245785  1.07336e-06
recdev1(22)    -0.247849 -1.27268e-06
recdev1(23)   -0.0716195  2.29771e-06
recdev1(24)    -0.736246 -1.20755e-06
recdev1(25)    -0.843463 -9.19601e-07
recdev1(26)      1.49983  1.44614e-05
recdev1(27)     0.351035  3.36493e-06
recdev1(28)       -0.758 -2.62915e-06
recdev1(29)    -0.677514  1.44944e-06
recdev1(30)    -0.741148   -3.343e-06
recdev1(31)      1.66381  2.00103e-05
recdev1(32)      0.96144  8.22021e-06
recdev1(33)    -0.163874  3.27259e-06
recdev1(34)      0.29869  3.52586e-06
recdev1(35)    -0.335519  1.24841e-06
recdev1(36)    -0.480514  1.05309e-06
recdev1(37)    -0.667864 -6.95657e-07
recdev1(38)    -0.484939  1.16587e-06
recdev1(39)      1.22322  1.40059e-05
recdev1(40)   -0.0571865  1.72964e-06
recdev1(41)   0.00385652  3.01939e-06
recdev1(42)     0.146777  3.30977e-06
recdev1(43)     0.891896  9.53397e-06
recdev1(44)    -0.459125  8.33526e-07
recdev1(45)    -0.691465  8.73408e-07
recdev1(46)      1.23958  1.25212e-05
recdev1(47)    -0.343985  3.09608e-06
recdev1(48)    -0.674881 -3.18183e-06
recdev1(49)     -1.01313 -3.17027e-07
recdev1(50)     -1.04407  2.54174e-07
recdev1(51)    -0.530241 -2.11737e-07
recdev1(52)     0.422419  2.49014e-06
recdev1(53)     0.828682  4.62578e-06
recdev1(54)     0.488245  2.42394e-06
recdev1(55)    -0.299668 -1.43588e-07
recdev1(56)   -0.0415808 -6.72041e-07
recdev1(57)    -0.592373 -8.59679e-07
recdev1(58)    -0.569204 -5.23506e-07
recdev1(59)     0.614697   5.1863e-07
recdev1(60)    -0.649769 -1.84084e-06
recdev1(61)      1.49348   3.7115e-06
recdev1(62)    -0.052515 -1.57224e-06
recdev1(63)    0.0846778 -1.64043e-06
recdev1(64)     -0.55723 -1.44576e-06
recdev1(65)    -0.562432 -2.50999e-06
recdev1(66)    -0.952763   -1.168e-06
recdev1(67)    -0.221408 -2.57738e-06
recdev1(68)     0.307199 -1.82309e-06
recdev1(69)     0.205295 -2.96186e-06
recdev1(70)    -0.615648 -2.23148e-06
recdev1(71)    -0.665359 -2.63868e-06
recdev1(72)    -0.390114 -2.38122e-06
recdev1(73)      1.14167 -1.13269e-06
recdev1(74)    -0.727907 -3.87103e-06
recdev1(75)    -0.197245 -1.84761e-06
recdev1(76)      1.49364 -1.95157e-06
recdev1(77)    -0.146697 -1.91638e-06
recdev1(78)    -0.910646 -3.02667e-06
recdev1(79)    -0.556615 -9.25079e-07
recdev1(80)     0.345539 -3.15919e-06
recdev1(81)    -0.291098 -1.38914e-06
recdev1(82)    -0.452702 -3.42641e-06
recdev1(83)    -0.286086 -2.46688e-06
recdev1(84)    0.0730412 -4.02486e-06
recdev1(85)      1.26042 -4.85547e-06
recdev1(86)   -0.0201603 -2.97836e-06
recdev1(87)     0.847577 -3.73533e-06
recdev1(88)     0.517732 -3.11325e-06
recdev1(89)    -0.154661 -2.93641e-06
recdev1(90)    -0.938647 -2.46507e-06
recdev1(91)    -0.475186 -3.41568e-06
recdev1(92)    -0.345173 -2.73028e-06
recdev1(93)    0.0539542 -3.22847e-06
recdev1(94)      1.05338 -3.93021e-06
recdev1(95)      1.85978 -5.53077e-06
recdev1(96)      1.25235 -2.33992e-06
Fcast_recruitments(97)    -0.131926  1.08436e-06
Fcast_recruitments(98)    -0.977164  8.58127e-07
Fcast_recruitments(99)    -0.385978 -3.35118e-07
