ParName   Value   Gradient
recdev_early(-28)     0.095668 -1.01598e-06
recdev_early(-27)     0.105049  2.78517e-07
recdev_early(-26)      0.11532  6.27911e-06
recdev_early(-25)     0.126535 -1.08434e-05
recdev_early(-24)     0.138743  1.16752e-05
recdev_early(-23)     0.151958   -6.366e-07
recdev_early(-22)     0.166165  -2.0407e-06
recdev_early(-21)     0.181284  1.43651e-06
recdev_early(-20)     0.197135 -6.38626e-07
recdev_early(-19)     0.213404  5.65079e-06
recdev_early(-18)     0.229569 -6.24115e-06
recdev_early(-17)     0.244846  8.03622e-06
recdev_early(-16)     0.258115 -3.99303e-06
recdev_early(-15)     0.267923  5.02383e-06
recdev_early(-14)     0.272578  3.67852e-06
recdev_early(-13)     0.270499 -2.20372e-06
recdev_early(-12)      0.26084  4.96189e-06
recdev_early(-11)     0.244365  8.54954e-07
recdev_early(-10)     0.224416 -1.93075e-06
recdev_early(-9)      0.20764  1.83184e-06
recdev_early(-8)     0.204093   7.6985e-06
recdev_early(-7)     0.225569  4.00209e-06
recdev_early(-6)      2.51039  4.95544e-05
recdev_early(-5)     0.333392  8.89488e-06
recdev_early(-4)     0.450207  1.39743e-05
recdev_early(-3)     0.441984  1.27089e-05
recdev_early(-2)     0.096448  7.04072e-06
recdev_early(-1)     0.563884  1.07676e-06
recdev_early(0)     0.566791 -2.43162e-06
recdev1(1)     0.122289 -9.73873e-06
recdev1(2)    0.0048825 -8.54409e-06
recdev1(3)    0.0212843 -5.38157e-06
recdev1(4)      1.62966  5.14083e-07
recdev1(5)    -0.464956 -9.46625e-06
recdev1(6)    -0.686862 -6.87962e-06
recdev1(7)    -0.084589 -2.18666e-06
recdev1(8)     0.235875  4.83266e-06
recdev1(9)     0.280565  2.48001e-06
recdev1(10)     -0.40237 -6.43989e-06
recdev1(11)    -0.615956  -1.0143e-05
recdev1(12)     0.916939 -7.25685e-07
recdev1(13)    -0.261496 -6.44438e-06
recdev1(14)    -0.608989  -1.0141e-05
recdev1(15)    -0.276635 -8.33693e-06
recdev1(16)    -0.134465  -5.4754e-06
recdev1(17)     0.822483  1.06179e-05
recdev1(18)      0.10743  2.45169e-06
recdev1(19)      0.51555  5.58115e-06
recdev1(20)     -0.29359  1.25008e-06
recdev1(21)    0.0758573 -3.26849e-06
recdev1(22)    -0.210736  -1.6367e-06
recdev1(23)   -0.0204001  1.88269e-06
recdev1(24)    -0.699669 -1.85937e-06
recdev1(25)    -0.823775 -4.48519e-06
recdev1(26)      1.54859  5.54941e-05
recdev1(27)     0.395134   1.4212e-05
recdev1(28)    -0.729053 -4.96694e-06
recdev1(29)    -0.630833 -8.17309e-07
recdev1(30)    -0.719972 -3.36452e-06
recdev1(31)      1.71105  7.83362e-05
recdev1(32)      1.00698   4.0194e-05
recdev1(33)    -0.136196   5.5398e-06
recdev1(34)     0.349766   1.6694e-05
recdev1(35)    -0.299664  6.66253e-06
recdev1(36)     -0.43648  1.04942e-06
recdev1(37)    -0.627299 -2.63047e-06
recdev1(38)    -0.454041  2.48326e-06
recdev1(39)      1.26998  6.02466e-05
recdev1(40)   -0.0262154   5.9956e-06
recdev1(41)    0.0482159  1.16408e-05
recdev1(42)     0.182818  1.38191e-05
recdev1(43)     0.936026  4.01835e-05
recdev1(44)    -0.428268  5.97849e-06
recdev1(45)    -0.669484 -2.03895e-06
recdev1(46)      1.28145  5.88583e-05
recdev1(47)    -0.318715 -4.99184e-06
recdev1(48)     -0.63772 -1.00785e-05
recdev1(49)    -0.981914 -7.68586e-06
recdev1(50)     -1.01431 -5.28666e-06
recdev1(51)    -0.499256  6.71112e-06
recdev1(52)     0.453718  1.33674e-05
recdev1(53)     0.857286  1.81279e-05
recdev1(54)     0.515944  9.01363e-06
recdev1(55)    -0.281133 -2.67761e-06
recdev1(56)   -0.0172572  5.34615e-06
recdev1(57)    -0.576738 -2.17744e-06
recdev1(58)      -0.5578 -6.73095e-07
recdev1(59)     0.632298  3.75734e-06
recdev1(60)      -0.6572 -1.11056e-05
recdev1(61)      1.50493  2.54802e-05
recdev1(62)   -0.0580658 -3.69195e-06
recdev1(63)    0.0904047 -3.83356e-06
recdev1(64)    -0.563627 -1.18514e-05
recdev1(65)    -0.564532 -7.69776e-06
recdev1(66)    -0.966243 -8.88835e-06
recdev1(67)    -0.229966 -7.47632e-06
recdev1(68)     0.293348 -5.36974e-06
recdev1(69)     0.187947 -1.17118e-05
recdev1(70)    -0.640624  -1.1325e-05
recdev1(71)    -0.689881 -1.25552e-05
recdev1(72)    -0.418882  -1.2864e-05
recdev1(73)      1.11324  -7.2742e-06
recdev1(74)    -0.775553 -9.05929e-06
recdev1(75)    -0.232734 -1.23311e-05
recdev1(76)      1.45684 -8.18631e-06
recdev1(77)    -0.194734 -8.63778e-06
recdev1(78)    -0.960249 -1.04383e-05
recdev1(79)    -0.604982 -1.32412e-05
