ParName   Value   Gradient
SR_parm[1]      10.0717 -3.55223e-05
recdev_early(-28)     0.138192  1.77991e-08
recdev_early(-27)     0.150855 -2.59711e-08
recdev_early(-26)     0.164846 -1.55341e-08
recdev_early(-25)     0.180324   4.2235e-09
recdev_early(-24)     0.197466 -9.82569e-09
recdev_early(-23)     0.216462 -1.77302e-08
recdev_early(-22)     0.237512 -1.11997e-08
recdev_early(-21)     0.260808 -9.44233e-09
recdev_early(-20)     0.286507  1.29794e-09
recdev_early(-19)      0.31468 -2.66996e-08
recdev_early(-18)      0.34521 -2.16753e-08
recdev_early(-17)     0.377621 -2.90484e-08
recdev_early(-16)     0.410778 -3.09729e-08
recdev_early(-15)     0.442406 -2.93125e-08
recdev_early(-14)     0.481526  -3.1686e-08
recdev_early(-13)     0.511457 -4.78919e-08
recdev_early(-12)      0.52198 -4.10595e-08
recdev_early(-11)      0.50333  -5.9101e-08
recdev_early(-10)     0.453701 -5.22577e-08
recdev_early(-9)     0.382313 -5.48518e-08
recdev_early(-8)     0.305467 -7.52165e-08
recdev_early(-7)     0.243273 -6.35449e-08
recdev_early(-6)      2.73583 -6.13098e-07
recdev_early(-5)     0.280158 -4.81718e-08
recdev_early(-4)     0.492634 -6.34086e-08
recdev_early(-3)     0.548403 -8.88442e-08
recdev_early(-2)     0.103329 -6.21906e-08
recdev_early(-1)     0.555899 -9.97515e-08
recdev_early(0)     0.501252 -1.16854e-07
recdev1(1)    0.0748636   1.6088e-07
recdev1(2)   -0.0663388  1.96305e-07
recdev1(3)   -0.0141924  1.73465e-07
recdev1(4)      1.55001 -1.89732e-07
recdev1(5)    -0.482751  2.19067e-07
recdev1(6)    -0.729216  2.27108e-07
recdev1(7)    -0.156517  1.57604e-07
recdev1(8)     0.170642  7.95814e-08
recdev1(9)     0.206632  1.00281e-07
recdev1(10)    -0.459018  1.42604e-07
recdev1(11)    -0.645696  1.42337e-07
recdev1(12)     0.836867  -1.5142e-07
recdev1(13)    -0.309118  1.16928e-07
recdev1(14)    -0.662582  1.32374e-07
recdev1(15)    -0.348158  1.05417e-07
recdev1(16)     -0.18631  7.86488e-08
recdev1(17)     0.746556 -2.77026e-07
recdev1(18)    0.0619766  7.76989e-09
recdev1(19)     0.437441 -2.18123e-07
recdev1(20)    -0.334946  9.75135e-08
recdev1(21)   0.00118613 -1.79915e-08
recdev1(22)    -0.263808 -3.52556e-08
recdev1(23)   -0.0948451  3.22462e-08
recdev1(24)    -0.751495  9.14915e-08
recdev1(25)    -0.849843  1.45716e-08
recdev1(26)      1.47793 -1.28377e-06
recdev1(27)     0.332203  -2.6951e-07
recdev1(28)    -0.768987  1.40148e-09
recdev1(29)    -0.697525  7.48158e-08
recdev1(30)    -0.748066  9.45453e-08
recdev1(31)      1.64303  -1.8196e-06
recdev1(32)     0.941756 -8.31248e-07
recdev1(33)    -0.174213 -6.97085e-08
recdev1(34)     0.275965 -3.20393e-07
recdev1(35)     -0.35033 -8.94308e-08
recdev1(36)    -0.499565  2.54337e-08
