ParName   Value   Gradient
SR_parm[1]      10.4482  3.99684e-05
recdev_early(-28)            5 -5.98102e-07
recdev_early(-27)   0.00559617   9.1751e-08
recdev_early(-26)   -0.0322758  1.39726e-07
recdev_early(-25)   -0.0778635   3.9401e-07
recdev_early(-24)     -0.13092 -1.38123e-07
recdev_early(-23)    -0.189514   2.6783e-07
recdev_early(-22)    -0.253226  8.72364e-08
recdev_early(-21)     -0.32076  4.07887e-07
recdev_early(-20)    -0.390549  2.40689e-07
recdev_early(-19)    -0.460753 -2.32343e-07
recdev_early(-18)    -0.529231   6.2702e-07
recdev_early(-17)    -0.593468  1.04633e-07
recdev_early(-16)    -0.650449  5.66389e-07
recdev_early(-15)     -0.69647  2.20866e-07
recdev_early(-14)    -0.726843  -5.2446e-07
recdev_early(-13)     -0.73547  1.45788e-07
recdev_early(-12)    -0.714215  3.31449e-07
recdev_early(-11)    -0.652092  2.21374e-07
recdev_early(-10)    -0.534609 -3.40076e-07
recdev_early(-9)    -0.345558 -1.36956e-07
recdev_early(-8)   -0.0847906  -3.7457e-07
recdev_early(-7)      3.31829  1.08861e-06
recdev_early(-6)    0.0794731  2.28017e-07
recdev_early(-5)   -0.0494695  3.52679e-07
recdev_early(-4)    0.0828636  3.05195e-08
recdev_early(-3)     0.573725  1.24783e-07
recdev_early(-2)     0.684982  -4.6625e-07
recdev_early(-1)     0.868941 -1.91925e-07
recdev_early(0)     0.390914 -6.64058e-07
recdev1(1)    0.0638543 -4.47113e-07
recdev1(2)   -0.0748218 -3.65279e-07
recdev1(3)      1.59975 -4.70136e-07
recdev1(4)     0.751895  4.68282e-08
recdev1(5)     -1.10087 -1.94961e-07
recdev1(6)    -0.804593  7.32036e-07
recdev1(7)     0.165849 -5.36584e-07
recdev1(8)     0.427679  6.08961e-07
recdev1(9)   -0.0217583 -2.50756e-07
recdev1(10)      -0.5475 -4.73688e-07
recdev1(11)     0.608704  3.89656e-07
recdev1(12)      0.71051 -4.48376e-07
recdev1(13)    -0.849231  9.06981e-07
recdev1(14)    -0.560454  1.23986e-08
recdev1(15)   -0.0168105 -3.66966e-07
recdev1(16)      0.74258  6.79689e-07
recdev1(17)     0.815041  2.19462e-08
recdev1(18)    0.0781845  9.43765e-07
recdev1(19)     0.212114  1.87004e-07
