ParName   Value   Gradient
SR_parm[1]      9.89814  0.000148897
recdev_early(10) -0.000237513  1.10385e-06
recdev_early(11) -0.000250045  1.08878e-06
recdev_early(12) -0.000262863   1.0736e-06
recdev_early(13) -0.000275907  1.06415e-06
recdev_early(14) -0.000289107  1.06798e-06
recdev_early(15) -0.000302391   1.0935e-06
recdev_early(16) -0.000315688  1.14879e-06
recdev_early(17) -0.000328935  1.24006e-06
recdev_early(18) -0.000342079  1.36982e-06
recdev_early(19) -0.000355086  1.53555e-06
recdev_early(20) -0.000367938  1.72903e-06
recdev_early(21) -0.000380629  1.93701e-06
recdev_early(22) -0.000393155  2.14322e-06
recdev_early(23) -0.000405503  2.33107e-06
recdev_early(24)  -0.00041764  2.48625e-06
recdev_early(25) -0.000429509  2.59864e-06
recdev_early(26) -0.000441025  2.66238e-06
recdev_early(27) -0.000452086  2.67511e-06
recdev_early(28) -0.000462238   2.6491e-06
recdev_early(29) -0.000471313  2.59685e-06
recdev_early(30) -0.000479121  2.53312e-06
recdev_early(31)  -0.00048544  2.47231e-06
recdev_early(32) -0.000490022  2.42512e-06
recdev_early(33) -0.000492604  2.39635e-06
recdev_early(34) -0.000492938   2.3849e-06
recdev_early(35)  -0.00049084  2.38645e-06
recdev_early(36) -0.000486264  2.39705e-06
recdev_early(37)  -0.00047939  2.41572e-06
recdev_early(38) -0.000470743  2.44448e-06
recdev1(39)    0.0152958  2.31324e-06
recdev1(40)    0.0153051  2.24766e-06
recdev1(41)    0.0153115  2.13025e-06
recdev1(42)    0.0153129  1.95652e-06
recdev1(43)    0.0153067  1.73314e-06
recdev1(44)    0.0152906  1.47796e-06
recdev1(45)     0.015264  1.21719e-06
recdev1(46)    0.0152284  9.80164e-07
recdev1(47)    0.0151894   7.9175e-07
recdev1(48)    0.0151571  6.64535e-07
recdev1(49)    0.0151465  5.95298e-07
recdev1(50)    0.0151761  5.67804e-07
recdev1(51)    0.0152648  5.59531e-07
recdev1(52)     0.015427  5.48696e-07
recdev1(53)    0.0156671  5.19624e-07
recdev1(54)    0.0159745  4.65742e-07
recdev1(55)    0.0163196  3.89484e-07
recdev1(56)    0.0166535  2.98523e-07
recdev1(57)    0.0169129   2.0667e-07
recdev1(58)     0.017021  1.09436e-07
recdev1(59)    0.0168947 -1.24723e-08
recdev1(60)    0.0164563 -1.91616e-07
recdev1(61)    0.0156521 -4.55389e-07
recdev1(62)    0.0144753 -7.74136e-07
recdev1(63)    0.0129852 -9.95242e-07
recdev1(64)    0.0113313 -8.69063e-07
recdev1(65)   0.00976964 -4.17583e-07
recdev1(66)   0.00865839 -3.55083e-07
recdev1(67)   0.00842896 -7.94864e-07
recdev1(68)   0.00953125  1.38661e-07
recdev1(69)    0.0123555  1.34612e-06
recdev1(70)    0.0171409 -4.16535e-07
recdev1(71)    0.0238789 -1.27821e-06
recdev1(72)    0.0322117 -4.19481e-09
recdev1(73)    0.0413346 -3.84497e-07
recdev1(74)    0.0499371 -2.57042e-07
recdev1(75)      0.05625  1.08556e-06
recdev1(76)    0.0582672 -5.25201e-07
recdev1(77)    0.0541505 -6.28505e-07
recdev1(78)    0.0427408 -2.22012e-06
recdev1(79)     0.024048  -2.1267e-06
recdev1(80) -0.000375148  -4.6065e-07
recdev1(81)   -0.0270825 -6.92449e-07
recdev1(82)   -0.0511288 -1.58879e-06
recdev1(83)   -0.0666417 -3.21489e-07
recdev1(84)   -0.0669949 -5.51311e-07
recdev1(85)    -0.044379  -1.6257e-07
recdev1(86)    0.0106384   -4.671e-07
recdev1(87)     0.104165 -5.37551e-07
recdev1(88)     0.205909  1.28781e-06
recdev1(89)     0.176091  1.04746e-06
recdev1(90)   -0.0621882  8.10211e-07
recdev1(91)    -0.329984 -8.32896e-08
recdev1(92)    -0.466481 -2.06446e-06
recdev1(93)    -0.381521 -1.88171e-06
recdev1(94)     0.151251 -5.32491e-06
Fcast_recruitments(95)      1.18175 -2.35468e-06
Fcast_recruitments(96)    -0.392735  2.27903e-07
Fcast_recruitments(97)     0.251918 -1.17358e-07
Fcast_recruitments(98)    -0.237511 -3.70544e-07
Fcast_recruitments(99)   -0.0842208 -1.03699e-06
Fcast_recruitments(100)     0.173427  -4.6272e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      48.9713  1.06156e-05
selparm[3]      5.52699 -5.30832e-05
