ParName   Value   Gradient
SR_parm[1]      10.3118 -3.10209e-05
recdev_early(-8)  0.000635844  -1.1048e-07
recdev_early(-7)  0.000678752 -1.09536e-07
recdev_early(-6)  0.000723946 -1.07171e-07
recdev_early(-5)  0.000771664 -1.03152e-07
recdev_early(-4)  0.000822116 -9.69315e-08
recdev_early(-3)   0.00087547 -8.81632e-08
recdev_early(-2)  0.000931857 -7.63105e-08
recdev_early(-1)  0.000991389 -6.08713e-08
recdev_early(0)   0.00105416 -4.12188e-08
recdev_early(1)   0.00111951 -1.63761e-08
recdev_early(2)   0.00118832   1.3699e-08
recdev_early(3)    0.0012603  4.99601e-08
recdev_early(4)   0.00133545  9.30361e-08
recdev_early(5)   0.00141376  1.43514e-07
recdev_early(6)    0.0014952  2.01891e-07
recdev_early(7)   0.00157969  2.68536e-07
recdev_early(8)   0.00166711   3.4362e-07
recdev_early(9)   0.00175727  4.27053e-07
recdev_early(10)   0.00184992  5.18399e-07
recdev_early(11)   0.00194469  6.16814e-07
recdev_early(12)   0.00204115  7.21197e-07
recdev_early(13)   0.00213878   8.3003e-07
recdev_early(14)   0.00223703  9.41567e-07
recdev_early(15)    0.0023353    1.054e-06
recdev_early(16)   0.00243296  1.16562e-06
recdev_early(17)   0.00252941  1.27464e-06
recdev_early(18)   0.00262416  1.37923e-06
recdev_early(19)   0.00271689  1.47713e-06
recdev_early(20)   0.00280746  1.56557e-06
recdev1(21)    0.0284425  5.93322e-07
recdev1(22)    0.0285329  6.76655e-07
recdev1(23)    0.0286225  7.49445e-07
recdev1(24)    0.0287101  8.08428e-07
recdev1(25)    0.0287973  8.49674e-07
recdev1(26)    0.0288816  8.70014e-07
recdev1(27)    0.0289626  8.65788e-07
recdev1(28)    0.0290399  8.32244e-07
recdev1(29)    0.0291115  7.66976e-07
recdev1(30)    0.0291769  6.67621e-07
recdev1(31)    0.0292401  5.29464e-07
recdev1(32)    0.0292996  3.52785e-07
recdev1(33)    0.0293628  1.32952e-07
recdev1(34)     0.029435 -1.29836e-07
recdev1(35)    0.0295247 -4.33569e-07
recdev1(36)    0.0296425 -7.71577e-07
recdev1(37)    0.0297953 -1.12536e-06
recdev1(38)    0.0299914 -1.46738e-06
recdev1(39)    0.0302414 -1.76148e-06
recdev1(40)    0.0305398  -1.9405e-06
recdev1(41)    0.0308719 -1.91985e-06
recdev1(42)    0.0311945 -1.60649e-06
recdev1(43)    0.0314366  -9.7206e-07
recdev1(44)    0.0314864 -1.65272e-07
recdev1(45)    0.0311882  3.55064e-07
recdev1(46)    0.0303493 -1.69115e-07
recdev1(47)    0.0287629 -2.30004e-06
recdev1(48)    0.0262536 -5.12428e-06
recdev1(49)     0.022743 -5.31428e-06
recdev1(50)    0.0183264 -3.48082e-07
recdev1(51)    0.0133411  5.06774e-06
recdev1(52)   0.00841235  3.57904e-06
recdev1(53)    0.0044626 -2.19554e-06
recdev1(54)   0.00268035 -5.50763e-06
recdev1(55)   0.00445026 -4.31726e-06
recdev1(56)    0.0112531  3.76571e-06
recdev1(57)    0.0245399  2.42505e-07
recdev1(58)    0.0457038  1.73775e-05
recdev1(59)    0.0758703  -4.2761e-06
recdev1(60)     0.115671 -1.30481e-06
recdev1(61)     0.164788 -8.49447e-07
recdev1(62)     0.221078 -5.47186e-07
recdev1(63)     0.279301 -2.28304e-07
recdev1(64)     0.327427   -4.878e-07
recdev1(65)     0.344774 -3.08031e-07
recdev1(66)     0.310453 -4.56243e-07
recdev1(67)     0.224127 -5.90829e-07
recdev1(68)     0.111531  2.57418e-06
recdev1(69)   0.00884861 -3.11218e-06
recdev1(70)   -0.0492193  1.33637e-05
recdev1(71)   -0.0427176 -1.46706e-05
recdev1(72)   -0.0325308  5.16429e-06
recdev1(73)    -0.233363 -2.01792e-07
recdev1(74)    -0.602696  1.57491e-07
recdev1(75)    -0.848546  7.81925e-08
recdev1(76)    -0.801562 -3.99212e-07
recdev1(77)    -0.433131   2.6304e-07
recdev1(78)    -0.491546  4.02733e-07
recdev1(79)    -0.461989  6.77126e-07
recdev1(80)     0.241771  4.66552e-07
recdev1(81)     0.906418  6.30125e-07
recdev1(82)     -0.14877  7.59838e-07
recdev1(83)    -0.243329  -1.8579e-07
recdev1(84)   -0.0361625  8.03526e-07
recdev1(85)     0.420804  4.61457e-07
recdev1(86)     0.377168  4.84918e-07
recdev1(87)   -0.0546365 -2.44745e-07
recdev1(88)    0.0126192  9.55054e-07
recdev1(89)   -0.0314863  1.13864e-07
recdev1(90)      0.21695  5.48296e-08
recdev1(91)    -0.234514  1.20832e-06
recdev1(92)    -0.471026   5.4028e-07
recdev1(93)    -0.228775  1.80907e-07
recdev1(94)     0.103594  1.27877e-06
Fcast_recruitments(95)      1.90549  5.19945e-07
Fcast_recruitments(96)    0.0256026  8.24033e-09
Fcast_recruitments(97)    -0.116935  1.09078e-06
Fcast_recruitments(98)   -0.0591723 -1.94436e-06
Fcast_recruitments(99)   -0.0194506 -2.71965e-07
Fcast_recruitments(100)   -0.0113601  2.24569e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.4583 -8.29869e-06
selparm[3]      4.99863  2.40207e-05
