ParName   Value   Gradient
SR_parm[1]      10.2875  0.000120805
recdev_early(-8)  -0.00134092  5.85789e-07
recdev_early(-7)  -0.00143126  6.23409e-07
recdev_early(-6)  -0.00152635  6.62732e-07
recdev_early(-5)  -0.00162668  7.03834e-07
recdev_early(-4)  -0.00173269   7.4674e-07
recdev_early(-3)   -0.0018447  7.91457e-07
recdev_early(-2)  -0.00196299  8.37946e-07
recdev_early(-1)  -0.00208779  8.86127e-07
recdev_early(0)  -0.00221931  9.35889e-07
recdev_early(1)  -0.00235614  9.86251e-07
recdev_early(2)  -0.00250016  1.03804e-06
recdev_early(3)  -0.00265078  1.09047e-06
recdev_early(4)  -0.00280803  1.14313e-06
recdev_early(5)  -0.00297191  1.19555e-06
recdev_early(6)  -0.00314236  1.24715e-06
recdev_early(7)  -0.00331924  1.29723e-06
recdev_early(8)  -0.00350229  1.34498e-06
recdev_early(9)   -0.0036911  1.38953e-06
recdev_early(10)  -0.00388512  1.42996e-06
recdev_early(11)  -0.00408366  1.46542e-06
recdev_early(12)  -0.00428585  1.49526e-06
recdev_early(13)  -0.00449072  1.51914e-06
recdev_early(14)  -0.00469714  1.53706e-06
recdev_early(15)  -0.00490397  1.54926e-06
recdev_early(16)  -0.00511009  1.55603e-06
recdev_early(17)  -0.00531451  1.55766e-06
recdev_early(18)  -0.00551655  1.55444e-06
recdev_early(19)  -0.00571599  1.54669e-06
recdev_early(20)  -0.00591308   1.5348e-06
recdev1(21)  -0.00152109 -7.14375e-09
recdev1(22)   -0.0017145  7.88787e-08
recdev1(23)  -0.00190736  1.64176e-07
recdev1(24)   -0.0020976  2.48847e-07
recdev1(25)  -0.00228822  3.33612e-07
recdev1(26)  -0.00247876  4.18818e-07
recdev1(27)  -0.00266835  5.04944e-07
recdev1(28)  -0.00285625  5.89007e-07
recdev1(29)  -0.00303972  6.71111e-07
recdev1(30)  -0.00322112  7.51883e-07
recdev1(31)  -0.00340169  8.31232e-07
recdev1(32)  -0.00358057  9.07961e-07
recdev1(33)   -0.0037586  9.80249e-07
recdev1(34)  -0.00392724  1.04494e-06
recdev1(35)  -0.00407885  1.09955e-06
recdev1(36)  -0.00419244  1.14248e-06
recdev1(37)  -0.00423986  1.17556e-06
recdev1(38)  -0.00418086  1.20619e-06
recdev1(39)   -0.0039574  1.25014e-06
recdev1(40)  -0.00350026  1.33341e-06
recdev1(41)  -0.00272845   1.4886e-06
recdev1(42)   -0.0015634  1.73377e-06
recdev1(43)  5.70268e-05  2.02159e-06
recdev1(44)    0.0021472  2.18475e-06
recdev1(45)   0.00463255  2.02452e-06
recdev1(46)   0.00729755  1.60645e-06
recdev1(47)   0.00973337  1.10609e-06
recdev1(48)    0.0113075  1.59995e-07
recdev1(49)    0.0111888 -7.09965e-07
recdev1(50)   0.00845788 -4.80586e-07
recdev1(51)   0.00231406  3.49573e-07
recdev1(52)  -0.00765411  1.04345e-06
recdev1(53)   -0.0212011  1.09257e-06
recdev1(54)   -0.0372413 -1.52763e-06
recdev1(55)   -0.0538023   1.6785e-06
recdev1(56)   -0.0681204 -1.01798e-06
recdev1(57)   -0.0769918 -2.08807e-06
recdev1(58)   -0.0766296  1.14293e-06
recdev1(59)   -0.0629058 -1.31989e-06
recdev1(60)   -0.0315083 -2.04718e-07
recdev1(61)    0.0218863 -2.83917e-07
recdev1(62)     0.101381 -5.42654e-07
recdev1(63)     0.210915 -4.47908e-08
recdev1(64)     0.353275 -1.05732e-08
recdev1(65)     0.527535  4.40838e-07
recdev1(66)     0.720707  7.24258e-07
recdev1(67)     0.843637  5.58638e-07
recdev1(68)     0.718462  3.48776e-07
recdev1(69)     0.512127  2.03527e-07
recdev1(70)     0.265742 -4.83155e-07
recdev1(71)   -0.0014114 -4.74922e-07
recdev1(72)    -0.234575 -9.14291e-07
recdev1(73)    -0.371744 -1.20721e-06
recdev1(74)    -0.364949 -1.29452e-06
recdev1(75)    -0.293348 -1.60748e-06
recdev1(76)    -0.538883 -1.39331e-06
recdev1(77)    -0.845383 -1.25124e-06
recdev1(78)    -0.660725 -1.47973e-06
recdev1(79)    -0.103956 -1.10207e-06
recdev1(80)     0.176289 -2.30287e-06
recdev1(81)     0.331119 -4.83865e-07
recdev1(82)     0.134622 -2.11659e-06
recdev1(83)    -0.377776  -6.3665e-07
recdev1(84)   -0.0797977 -2.63962e-07
recdev1(85)     0.419347  -1.9006e-06
recdev1(86)     0.206532  -7.3095e-07
recdev1(87)    0.0753648 -2.25837e-07
recdev1(88)    -0.444812 -1.89258e-06
recdev1(89)    -0.657926 -6.92485e-07
recdev1(90)    -0.318568 -7.40237e-07
recdev1(91)   -0.0262242 -1.80532e-06
recdev1(92)      0.11516  5.39837e-07
recdev1(93)    0.0512029 -2.23969e-06
recdev1(94)   -0.0194044 -6.50244e-07
Fcast_recruitments(95)      1.00511 -6.31437e-08
Fcast_recruitments(96)     0.179523 -2.18037e-07
Fcast_recruitments(97)    -0.103111  1.93414e-07
Fcast_recruitments(98)    -0.088287   3.8133e-08
Fcast_recruitments(99)   -0.0321337  1.59306e-06
Fcast_recruitments(100)   -0.0193393  3.23982e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      43.5758  1.65417e-05
selparm[3]      5.11654 -4.19203e-05
