ParName   Value   Gradient
SR_parm[1]      10.1092   0.00199297
recdev_early(-28)     0.120109  5.32491e-07
recdev_early(-27)       0.1371  2.21226e-06
recdev_early(-26)     0.155653  2.30688e-06
recdev_early(-25)     0.175658  2.19108e-06
recdev_early(-24)     0.196932  1.51341e-06
recdev_early(-23)     0.219242 -7.79213e-07
recdev_early(-22)     0.242356 -1.15127e-06
recdev_early(-21)     0.266159 -6.43432e-07
recdev_early(-20)     0.290794  8.26304e-07
recdev_early(-19)     0.316795 -4.80179e-07
recdev_early(-18)     0.345005  -3.5675e-06
recdev_early(-17)     0.375808 -6.58955e-06
recdev_early(-16)     0.406693 -8.19589e-06
recdev_early(-15)     0.426656  -1.2992e-05
recdev_early(-14)     0.409547 -2.17535e-05
recdev_early(-13)     0.324026 -2.34795e-05
recdev_early(-12)      0.16678 -2.24563e-05
recdev_early(-11)   -0.0316928 -1.94142e-05
recdev_early(-10)    -0.225931 -1.50424e-05
recdev_early(-9)    -0.389006 -8.36572e-06
recdev_early(-8)    -0.501728  1.38133e-07
recdev_early(-7)     -0.56281  4.38384e-06
recdev_early(-6)    -0.599949  7.11564e-06
recdev_early(-5)      -0.6155  1.54181e-05
recdev_early(-4)     -0.42939  1.75495e-05
recdev_early(-3)      0.64656  3.10739e-05
recdev_early(-2)     0.261639  1.80344e-05
recdev_early(-1)     -0.28811  1.08368e-05
recdev_early(0)      1.06937  5.76999e-05
recdev1(1)     0.473582  1.86789e-05
recdev1(2)    -0.127821 -1.77898e-06
recdev1(3)     0.447367  4.27323e-06
recdev1(4)     0.581064  7.26875e-06
recdev1(5)     0.472778  1.26904e-05
recdev1(6)     0.409893  3.21932e-06
recdev1(7)     0.237878  5.11753e-06
recdev1(8)    -0.174985  1.80058e-06
recdev1(9)    -0.388301 -1.48846e-06
recdev1(10)    -0.506826 -4.37611e-06
recdev1(11)    -0.569618 -6.13196e-06
recdev1(12)      -0.5404  -6.8401e-06
recdev1(13)    -0.551528 -6.22176e-06
recdev1(14)      1.53919  7.42265e-05
recdev1(15)     0.714738  2.51014e-05
recdev1(16)    -0.514476  1.92791e-06
recdev1(17)    -0.602293 -3.09217e-06
recdev1(18)     -0.35912 -2.01661e-06
recdev1(19)     0.336123   3.2765e-06
recdev1(20)   -0.0498231  4.78625e-06
recdev1(21)     -0.03787  1.21815e-05
recdev1(22)    -0.166985  4.96058e-06
recdev1(23)   -0.0457278  1.86347e-06
recdev1(24)      0.81646  2.34107e-05
recdev1(25)     0.119833  5.61543e-06
recdev1(26)     0.858944  1.09908e-05
recdev1(27)    -0.331928 -7.92427e-06
recdev1(28)    0.0827839   6.0816e-06
recdev1(29)    0.0459713  2.26306e-05
recdev1(30)    0.0315652  2.65857e-05
recdev1(31)    0.0645797   4.2266e-05
recdev1(32)    -0.390916  2.59314e-05
recdev1(33)    -0.560963  1.20735e-05
recdev1(34)     -0.86404  2.28499e-06
recdev1(35)    -0.808991  1.10637e-05
