ParName   Value   Gradient
SR_parm[1]      10.1569  8.12579e-05
recdev_early(-28)      0.10336 -7.31278e-07
recdev_early(-27)     0.129172 -2.01505e-06
recdev_early(-26)     0.158859    -9.64e-08
recdev_early(-25)     0.192748 -1.44337e-06
recdev_early(-24)     0.231109 -1.46594e-06
recdev_early(-23)     0.274119 -2.06309e-06
recdev_early(-22)     0.321821 -2.05713e-06
recdev_early(-21)     0.374072 -1.36939e-06
recdev_early(-20)     0.430509 -3.10223e-06
recdev_early(-19)      0.49051 -2.51699e-06
recdev_early(-18)     0.552993 -2.74874e-06
recdev_early(-17)     0.615399 -2.95193e-06
recdev_early(-16)     0.669677 -1.76333e-07
recdev_early(-15)     0.692314 -3.73379e-06
recdev_early(-14)     0.673448 -3.63629e-08
recdev_early(-13)     0.554786  8.09845e-07
recdev_early(-12)     0.370186  3.94402e-06
recdev_early(-11)     0.158851  4.51345e-06
recdev_early(-10)   -0.0505348  2.53825e-06
recdev_early(-9)    -0.233795  2.38606e-06
recdev_early(-8)    -0.372559   1.5676e-06
recdev_early(-7)    -0.464827  1.35716e-07
recdev_early(-6)    -0.535442 -6.56076e-07
recdev_early(-5)    -0.581294 -3.26449e-06
recdev_early(-4)     -0.41984 -3.74369e-06
recdev_early(-3)     0.627432 -1.75535e-06
recdev_early(-2)     0.239196  2.37897e-06
recdev_early(-1)    -0.301462  3.71018e-06
recdev_early(0)      1.04675  7.16031e-06
recdev1(1)     0.459401  2.16004e-06
recdev1(2)    -0.137559  1.48186e-06
recdev1(3)     0.430054  7.13187e-06
recdev1(4)     0.566461  8.57977e-06
recdev1(5)     0.458348  7.53062e-06
recdev1(6)     0.395457  4.85945e-06
recdev1(7)     0.222656  8.57618e-07
recdev1(8)    -0.187991 -1.96752e-07
recdev1(9)    -0.402002 -3.02724e-06
recdev1(10)    -0.520487 -2.97508e-06
recdev1(11)    -0.583237 -1.92417e-06
recdev1(12)    -0.554701 -1.29854e-06
recdev1(13)    -0.555856 -1.62135e-06
recdev1(14)      1.52352  1.70821e-06
recdev1(15)     0.700931  1.10159e-06
recdev1(16)    -0.522654 -5.36708e-07
recdev1(17)    -0.614438  1.27143e-07
recdev1(18)    -0.369873  5.54137e-06
recdev1(19)      0.31944  1.22469e-05
recdev1(20)   -0.0597527  8.87431e-06
recdev1(21)   -0.0524848  9.06914e-06
recdev1(22)    -0.179967  8.15444e-06
recdev1(23)   -0.0539816  3.98055e-06
recdev1(24)     0.798912  9.01723e-06
recdev1(25)     0.117644 -8.97609e-06
recdev1(26)     0.840735  -2.7972e-05
recdev1(27)    -0.333929 -1.32965e-05
recdev1(28)     0.067326 -2.07537e-05
recdev1(29)    0.0335963 -2.27196e-05
recdev1(30)    0.0196453 -1.33881e-05
recdev1(31)    0.0504371   3.2548e-07
recdev1(32)    -0.401452  3.30039e-06
recdev1(33)    -0.574184  4.86071e-06
recdev1(34)    -0.874627  1.80465e-06
recdev1(35)    -0.817825  1.04491e-06
recdev1(36)   -0.0199646  -1.4029e-06
recdev1(37)     0.206847 -5.17841e-06
recdev1(38)   -0.0747889 -4.69108e-06
recdev1(39)     0.588462 -6.29095e-07
recdev1(40)      1.45433  6.16411e-06
recdev1(41)    -0.580746 -1.30342e-06
recdev1(42)    -0.816971  -7.4746e-07
recdev1(43)     0.454314  2.76418e-06
recdev1(44)    -0.445978   1.5452e-07
recdev1(45)    -0.542053 -1.11927e-06
recdev1(46)     0.606956 -1.53003e-06
recdev1(47)    -0.368001 -2.17911e-06
recdev1(48)    -0.736689 -2.74738e-06
recdev1(49)    -0.133579 -5.03511e-06
recdev1(50)    -0.163466 -2.35916e-06
recdev1(51)   -0.0994837 -4.53993e-06
recdev1(52)     0.121076 -5.83707e-06
recdev1(53)    -0.241147 -2.74345e-06
recdev1(54)     0.319359 -2.09614e-06
recdev1(55)    -0.154744 -4.97192e-08
recdev1(56)     0.130473  1.74276e-06
