ParName   Value   Gradient
SR_parm[1]      10.0332  0.000246986
recdev_early(-28)     0.375937 -1.67511e-07
recdev_early(-27)     0.391854 -4.19818e-07
recdev_early(-26)     0.403988 -4.03849e-07
recdev_early(-25)      0.41126 -5.04059e-07
recdev_early(-24)     0.413263 -6.91219e-07
recdev_early(-23)     0.410075 -6.88116e-07
recdev_early(-22)     0.402852 -7.29068e-07
recdev_early(-21)     0.393677 -8.19623e-07
recdev_early(-20)     0.385598 -1.02037e-06
recdev_early(-19)     0.382452 -1.09314e-06
recdev_early(-18)     0.388589  -1.1586e-06
recdev_early(-17)     0.408255 -1.39374e-06
recdev_early(-16)     0.443291 -1.53613e-06
recdev_early(-15)     0.486742   -1.651e-06
recdev_early(-14)      0.50695 -1.50251e-06
recdev_early(-13)     0.444153 -1.48642e-06
recdev_early(-12)     0.280092 -9.98575e-07
recdev_early(-11)    0.0620632 -8.26431e-07
recdev_early(-10)     -0.14665  6.54027e-08
recdev_early(-9)    -0.315311 -1.73246e-08
recdev_early(-8)    -0.426196  6.43345e-07
recdev_early(-7)    -0.481287  8.58438e-07
recdev_early(-6)     -0.51482  9.05894e-07
recdev_early(-5)    -0.535745  1.04351e-06
recdev_early(-4)    -0.362953  1.62033e-06
recdev_early(-3)     0.735992  4.50497e-06
recdev_early(-2)     0.350001  3.28221e-06
recdev_early(-1)     -0.21553   1.8257e-06
recdev_early(0)      1.16251  6.52888e-06
recdev1(1)     0.551535  1.16806e-06
recdev1(2)   -0.0487081 -1.99136e-07
recdev1(3)     0.523624  7.45199e-07
recdev1(4)     0.656649  9.75301e-07
recdev1(5)     0.546911  4.86574e-07
recdev1(6)     0.482788  1.81618e-07
recdev1(7)      0.30906  1.62632e-07
recdev1(8)    -0.103915 -4.75776e-07
recdev1(9)    -0.318465 -8.22621e-07
recdev1(10)    -0.437733 -8.75714e-07
recdev1(11)    -0.500898 -9.11203e-07
recdev1(12)    -0.472035 -8.32574e-07
recdev1(13)    -0.478015 -7.22141e-07
recdev1(14)      1.60722  6.64849e-06
recdev1(15)     0.784347  2.05365e-06
recdev1(16)    -0.442673 -6.65284e-07
recdev1(17)     -0.53282 -6.79351e-07
recdev1(18)    -0.289232 -3.02232e-07
recdev1(19)     0.401719  1.29971e-06
recdev1(20)    0.0182111   5.7798e-07
recdev1(21)    0.0270672   4.2496e-07
recdev1(22)    -0.100814  3.65392e-07
recdev1(23)    0.0229841  9.97844e-07
recdev1(24)      0.88204  4.47688e-06
recdev1(25)     0.194616  2.08113e-06
recdev1(26)     0.928047  5.44824e-06
recdev1(27)    -0.253553  6.25798e-07
recdev1(28)     0.155223  1.73737e-06
recdev1(29)     0.119923  1.63585e-06
recdev1(30)     0.105622  1.73474e-06
recdev1(31)     0.136853  1.67846e-06
recdev1(32)    -0.318574  4.13757e-07
recdev1(33)    -0.491551  4.85419e-08
recdev1(34)    -0.794408 -3.14574e-07
recdev1(35)    -0.739119 -3.33853e-07
recdev1(36)    0.0597086  1.47904e-06
recdev1(37)     0.284973  2.09423e-06
recdev1(38)   0.00151111  1.37145e-06
recdev1(39)     0.663337    3.991e-06
recdev1(40)      1.53014  1.10306e-05
recdev1(41)    -0.507805  2.95812e-07
recdev1(42)    -0.745439 -2.66042e-07
recdev1(43)      0.52592   2.9814e-06
recdev1(44)    -0.380681  1.93897e-07
recdev1(45)      -0.4776 -2.64642e-07
recdev1(46)     0.667314  2.38965e-06
recdev1(47)    -0.313004 -2.71154e-07
recdev1(48)    -0.681993 -9.60878e-07
recdev1(49)   -0.0818619 -1.04581e-07
recdev1(50)    -0.114008 -2.03845e-07
