ParName   Value   Gradient
SR_parm[1]      9.97921   -0.0043582
recdev_early(-28)  3.60533e-05  2.53121e-07
recdev_early(-27)  4.31634e-05  3.01753e-07
recdev_early(-26)  5.16753e-05  3.59082e-07
recdev_early(-25)  6.18652e-05  4.26233e-07
recdev_early(-24)  7.40636e-05  5.04162e-07
recdev_early(-23)  8.86658e-05  5.93439e-07
recdev_early(-22)  0.000106144  6.93808e-07
recdev_early(-21)  0.000127065  8.03578e-07
recdev_early(-20)  0.000152102  9.18698e-07
recdev_early(-19)  0.000182062  1.03151e-06
recdev_early(-18)  0.000217906  1.12921e-06
recdev_early(-17)  0.000260781  1.19232e-06
recdev_early(-16)   0.00031205  1.19384e-06
recdev_early(-15)   0.00037333  1.10035e-06
recdev_early(-14)  0.000446537   8.7728e-07
recdev_early(-13)   0.00053393  5.00774e-07
recdev_early(-12)  0.000638161 -2.23058e-08
recdev_early(-11)  0.000762314 -6.29671e-07
recdev_early(-10)  0.000909945 -1.18768e-06
recdev_early(-9)   0.00108508 -1.51157e-06
recdev_early(-8)   0.00129219 -1.45325e-06
recdev_early(-7)   0.00153602   -1.053e-06
recdev_early(-6)    0.0018214 -6.52718e-07
recdev_early(-5)   0.00215274 -7.60899e-07
recdev_early(-4)   0.00253353 -1.55759e-06
recdev_early(-3)   0.00296763 -2.43547e-06
recdev_early(-2)   0.00345427 -2.42278e-06
recdev_early(-1)   0.00398435 -1.59157e-06
recdev_early(0)   0.00458568 -1.36552e-06
recdev1(1)  -0.00784705   3.3198e-05
recdev1(2)  -0.00705157  3.54595e-05
recdev1(3)  -0.00614837  3.37224e-05
recdev1(4)  -0.00510748   3.2231e-05
recdev1(5)  -0.00390986  3.50519e-05
recdev1(6)  -0.00252919  3.28308e-05
recdev1(7) -0.000936427  3.10669e-05
recdev1(8)  0.000915548  3.06786e-05
recdev1(9)    0.0030714  2.90218e-05
recdev1(10)   0.00560682  2.85571e-05
recdev1(11)   0.00860819  2.79286e-05
recdev1(12)    0.0121958  2.63054e-05
recdev1(13)    0.0165645  2.38133e-05
recdev1(14)    0.0219903  2.26353e-05
recdev1(15)    0.0288773   2.0572e-05
recdev1(16)     0.037668  1.70963e-05
recdev1(17)    0.0482402   1.3695e-05
recdev1(18)    0.0569007  9.64546e-06
recdev1(19)    0.0454246  5.29007e-06
recdev1(20)   -0.0400905  5.96711e-06
recdev1(21)     -0.24534  1.12914e-05
recdev1(22)    -0.471774  1.38263e-05
recdev1(23)    -0.364202  7.82294e-06
recdev1(24)      1.10382 -8.37055e-05
recdev1(25)    -0.487416  1.00095e-05
recdev1(26)      1.12564 -0.000112307
recdev1(27)    -0.673711  8.76758e-06
recdev1(28)     0.303278 -4.52828e-05
recdev1(29)     0.390653 -6.25125e-05
recdev1(30)    -0.420081 -1.06649e-05
recdev1(31)     0.525075 -9.90143e-05
recdev1(32)    -0.205827 -3.40209e-05
recdev1(33)    -0.826811 -3.55758e-06
recdev1(34)     -0.14091 -4.97338e-05
recdev1(35)    -0.787286 -8.94595e-06
recdev1(36)    0.0959034 -7.50898e-05
recdev1(37)     0.121053  -7.2513e-05
recdev1(38)     0.200648 -7.30035e-05
recdev1(39)     0.681785 -0.000133553
recdev1(40)      1.63405 -0.000382072
recdev1(41)    -0.234011 -3.07987e-05
recdev1(42)     -1.51012   1.6929e-05
recdev1(43)     0.797152 -0.000170028
recdev1(44)     -1.17168  8.15594e-06
recdev1(45)    -0.203825 -3.70835e-05
recdev1(46)     0.859603 -0.000171541
recdev1(47)    -0.319785  -2.4298e-05
recdev1(48)     -0.59769  -5.8909e-06
recdev1(49)   0.00948244 -3.85438e-05
recdev1(50)    0.0278709 -3.28201e-05
recdev1(51)    0.0352502 -2.48236e-05
recdev1(52)     0.218589 -2.67794e-05
recdev1(53)  -0.00871381 -7.11922e-06
recdev1(54)     0.457138 -2.47724e-05
recdev1(55)    -0.174149  9.33259e-06
recdev1(56)     0.198357   2.3636e-06
recdev1(57)     0.792041 -1.79088e-05
recdev1(58)     0.271561  8.95263e-06
recdev1(59)    -0.547192  2.65441e-05
recdev1(60)     0.742604  2.72611e-06
recdev1(61)     0.752179  7.16034e-06
recdev1(62)     0.300818  1.99504e-05
recdev1(63)    0.0679535  2.47712e-05
recdev1(64)    -0.375393  3.07082e-05
recdev1(65)      1.12184  1.40195e-05
recdev1(66)    -0.409265  3.36178e-05
recdev1(67)       1.6872  9.00575e-06
recdev1(68)      1.25085  1.86526e-05
recdev1(69)    -0.801885  3.49883e-05
recdev1(70)    -0.563673  3.49056e-05
recdev1(71)    -0.696078  3.53997e-05
recdev1(72)      0.22888  3.31209e-05
recdev1(73)    -0.440068  3.56546e-05
recdev1(74)     -0.13488  3.56372e-05
recdev1(75)    -0.716878  3.61463e-05
recdev1(76)     0.122962  3.63697e-05
recdev1(77)    -0.625951  3.66893e-05
recdev1(78)     -1.64449   3.5237e-05
recdev1(79)   -0.0574068  3.75529e-05
recdev1(80)     0.804151  3.48195e-05
recdev1(81)    -0.523986  3.64671e-05
recdev1(82)     0.244867  3.63166e-05
recdev1(83)     -1.16675  3.60768e-05
recdev1(84)   -0.0459596   3.7084e-05
recdev1(85)     0.489822  3.73747e-05
recdev1(86)     0.285886  3.69649e-05
recdev1(87)    -0.032316   3.7565e-05
recdev1(88)    -0.609771  3.78885e-05
recdev1(89)    -0.598735  3.78262e-05
recdev1(90)    -0.767902  3.66509e-05
recdev1(91)    0.0114343   3.9325e-05
recdev1(92)    -0.333841  3.79999e-05
recdev1(93)    -0.225311  3.87139e-05
recdev1(94)   -0.0359882  3.65717e-05
recdev1(95)      1.58711   3.7235e-05
recdev1(96)    -0.059723  3.82879e-05
recdev1(97)    0.0503026   3.7366e-05
recdev1(98)     0.446518  3.83091e-05
Fcast_recruitments(99)    -0.499761  9.97896e-07
Fcast_recruitments(100)       0.2619 -2.12541e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.3966 -0.000273784
selparm[3]      5.14307  0.000586082
