ParName   Value   Gradient
SR_parm[1]      10.0745 -4.93472e-05
recdev_early(-28)    0.0230179  8.86685e-10
recdev_early(-27)     0.027255 -6.99849e-09
recdev_early(-26)    0.0322872   7.6254e-09
recdev_early(-25)    0.0382681  5.83854e-09
recdev_early(-24)     0.045382 -1.18564e-08
recdev_early(-23)    0.0538488 -3.63127e-09
recdev_early(-22)    0.0639307  1.46466e-08
recdev_early(-21)    0.0759367 -9.47993e-09
recdev_early(-20)    0.0902269 -4.80452e-09
recdev_early(-19)     0.107209  4.45537e-09
recdev_early(-18)     0.127321  6.89527e-09
recdev_early(-17)     0.150984 -7.81216e-09
recdev_early(-16)     0.178494 -5.82501e-09
recdev_early(-15)     0.209773 -2.43581e-09
recdev_early(-14)     0.248573 -2.80426e-09
recdev_early(-13)      0.28939 -2.99474e-09
recdev_early(-12)      0.32581 -4.46906e-09
recdev_early(-11)     0.344619 -7.59497e-09
recdev_early(-10)     0.326272 -9.34033e-09
recdev_early(-9)     0.255803 -7.93044e-09
recdev_early(-8)     0.137313 -2.32886e-09
recdev_early(-7)  -0.00667536 -8.04805e-09
recdev_early(-6)    -0.142784 -6.68769e-09
recdev_early(-5)    -0.221858 -6.46525e-09
recdev_early(-4)     -0.14756   -1.298e-08
recdev_early(-3)     0.391879 -2.71952e-08
recdev_early(-2)     0.460887 -3.77174e-08
recdev_early(-1)    -0.589576 -6.25913e-09
recdev_early(0)       1.1794  7.85434e-10
recdev1(1)     0.546191  4.01598e-07
recdev1(2)    -0.325886  4.04829e-07
recdev1(3)     0.595615  3.61839e-07
recdev1(4)     0.587696  3.75611e-07
recdev1(5)     0.541895  3.67692e-07
recdev1(6)     0.436983  3.59235e-07
recdev1(7)     0.327036  3.67163e-07
recdev1(8)    -0.157923    3.753e-07
recdev1(9)    -0.351231  3.67923e-07
recdev1(10)    -0.416613   3.7085e-07
recdev1(11)    -0.645418  3.81887e-07
recdev1(12)    -0.291528  3.51659e-07
recdev1(13)     -1.03315  3.92022e-07
recdev1(14)       1.6242 -1.99925e-07
recdev1(15)      0.84651  6.94027e-08
recdev1(16)    -0.886877  3.61035e-07
recdev1(17)    -0.439586  2.86043e-07
recdev1(18)    -0.459722  2.70619e-07
recdev1(19)     0.510772 -3.74129e-08
recdev1(20)    -0.160211  1.46632e-07
recdev1(21)    0.0956345  4.93291e-08
recdev1(22)    -0.122657  7.54897e-08
recdev1(23)    -0.129038  6.06165e-08
recdev1(24)     0.987476 -8.54294e-07
recdev1(25)     -0.24951  1.59272e-08
recdev1(26)      1.09597 -1.34925e-06
recdev1(27)     -1.11372  2.19307e-07
recdev1(28)     0.348971 -6.00115e-07
recdev1(29)   0.00730635 -4.63595e-07
recdev1(30)    0.0745336  -5.0144e-07
recdev1(31)     0.200044 -8.59484e-07
recdev1(32)    -0.484548 -1.87269e-07
recdev1(33)    -0.369847 -3.63719e-07
recdev1(34)     -0.89522 -1.10438e-07
recdev1(35)    -0.933552 -4.74578e-08
recdev1(36)     0.144887  -1.0367e-06
recdev1(37)     0.265898 -1.15124e-06
recdev1(38)   -0.0443792 -6.25696e-07
recdev1(39)     0.647377 -1.57286e-06
recdev1(40)      1.55026 -4.44656e-06
recdev1(41)    -0.500043 -2.17603e-07
recdev1(42)     -1.64419  2.37458e-07
recdev1(43)     0.700237 -1.98604e-06
recdev1(44)    -0.633522 -2.08425e-07
recdev1(45)    -0.628716 -1.81736e-07
recdev1(46)     0.730683 -1.97264e-06
recdev1(47)    -0.312857 -3.49391e-07
recdev1(48)     -1.02588  6.28963e-08
recdev1(49)    0.0593372 -6.07169e-07
recdev1(50)     -0.18662 -2.91554e-07
recdev1(51)   -0.0700792 -2.84888e-07
recdev1(52)     0.233106 -3.99548e-07
recdev1(53)    -0.360106  4.00499e-08
recdev1(54)     0.443566 -3.15489e-07
recdev1(55)    -0.239035  1.24443e-07
recdev1(56)     0.198329  3.24755e-08
recdev1(57)     0.810954 -1.74288e-07
recdev1(58)     0.282304  1.24141e-07
recdev1(59)    -0.317621   2.9675e-07
recdev1(60)     0.851225   4.3405e-08
recdev1(61)     0.729075   1.2164e-07
recdev1(62)     0.374666  2.42086e-07
recdev1(63)     0.123744  2.93777e-07
recdev1(64)    -0.552315  3.62674e-07
recdev1(65)      1.01997   1.9924e-07
recdev1(66)    -0.517241  3.80998e-07
recdev1(67)      1.68675  9.93338e-08
recdev1(68)      1.16389  2.28283e-07
