ParName   Value   Gradient
SR_parm[1]      9.98437   -0.0385595
recdev_early(-28)  0.000351558  -6.1537e-08
recdev_early(-27)  0.000414893 -8.19792e-08
recdev_early(-26)  0.000489641 -1.09302e-07
recdev_early(-25)  0.000577856 -1.45727e-07
recdev_early(-24)  0.000681963 -1.94072e-07
recdev_early(-23)  0.000804826 -2.57884e-07
recdev_early(-22)  0.000949817 -3.41483e-07
recdev_early(-21)   0.00112092 -4.49964e-07
recdev_early(-20)   0.00132281 -5.89047e-07
recdev_early(-19)   0.00156102 -7.64652e-07
recdev_early(-18)   0.00184203 -9.82101e-07
recdev_early(-17)   0.00217348 -1.24476e-06
recdev_early(-16)   0.00256428 -1.55197e-06
recdev_early(-15)    0.0030249 -1.89634e-06
recdev_early(-14)    0.0036194 -2.29282e-06
recdev_early(-13)   0.00432949 -2.67475e-06
recdev_early(-12)   0.00517678 -2.98874e-06
recdev_early(-11)   0.00618635 -3.17941e-06
recdev_early(-10)   0.00738693  -3.2226e-06
recdev_early(-9)   0.00881082 -3.18244e-06
recdev_early(-8)    0.0104933 -3.27669e-06
recdev_early(-7)    0.0124713 -3.89401e-06
recdev_early(-6)    0.0147806 -5.45985e-06
recdev_early(-5)    0.0174514 -8.06909e-06
recdev_early(-4)    0.0205005 -1.10265e-05
recdev_early(-3)    0.0239198 -1.28733e-05
recdev_early(-2)     0.027671 -1.26116e-05
recdev_early(-1)    0.0317416 -1.17455e-05
recdev_early(0)    0.0362943 -1.50074e-05
recdev1(1)    0.0522106  0.000302357
recdev1(2)    0.0580569  0.000302316
recdev1(3)    0.0647524  0.000303677
recdev1(4)    0.0724303  0.000299693
recdev1(5)    0.0812565  0.000289508
recdev1(6)    0.0914386  0.000283584
recdev1(7)     0.103212  0.000281447
recdev1(8)     0.116862  0.000268835
recdev1(9)     0.132756  0.000270924
recdev1(10)     0.151327  0.000257935
recdev1(11)     0.173081   0.00024822
recdev1(12)     0.198536   0.00023576
recdev1(13)     0.228053  0.000221104
recdev1(14)     0.261214  0.000202535
recdev1(15)      0.29523  0.000180241
recdev1(16)     0.321383  0.000155829
recdev1(17)     0.319866  0.000130689
recdev1(18)     0.261776  0.000114468
recdev1(19)     0.132234  0.000112379
recdev1(20)   -0.0454237  0.000122852
recdev1(21)    -0.206657  0.000131489
recdev1(22)    -0.221697  0.000110516
recdev1(23)    0.0286426  2.57151e-05
recdev1(24)    -0.993206  0.000204312
recdev1(25)     -1.15126  0.000199993
recdev1(26)      1.60949  -0.00152185
recdev1(27)     0.073325 -0.000120214
recdev1(28)    -0.538022  6.69565e-05
recdev1(29)    -0.579687  5.22238e-05
recdev1(30)     -1.00859  0.000136446
recdev1(31)      1.74104  -0.00262833
recdev1(32)     0.934434  -0.00114053
recdev1(33)   -0.0848212 -0.000252625
recdev1(34)     0.497157 -0.000808213
recdev1(35)    -0.240214 -0.000260374
recdev1(36)    -0.160854  -0.00034663
recdev1(37)    -0.224365 -0.000327073
recdev1(38)    -0.340778 -0.000270076
recdev1(39)      1.23677  -0.00250082
recdev1(40)    -0.171438  -0.00038257
recdev1(41)    0.0283484 -0.000533854
recdev1(42)      0.31085 -0.000826944
recdev1(43)     0.838785  -0.00159451
recdev1(44)    -0.436206 -0.000197783
recdev1(45)    -0.793958 -2.69556e-05
recdev1(46)      1.23788  -0.00223787
recdev1(47)    0.0148111  -0.00043157
recdev1(48)     -0.90427  2.76921e-05
recdev1(49)    -0.670172 -4.61176e-05
recdev1(50)     -0.96569   7.8969e-05
recdev1(51)    -0.607809  4.13785e-05
recdev1(52)     0.570237 -0.000363414
recdev1(53)      0.93638 -0.000453515
recdev1(54)     0.684483 -0.000192336
recdev1(55)    -0.415707  0.000156825
recdev1(56)      0.24611 -1.26478e-05
recdev1(57)    -0.398196  0.000168348
recdev1(58)    -0.741339  0.000233166
recdev1(59)     0.536472  7.08019e-05
recdev1(60)    -0.897532   0.00027942
recdev1(61)      1.39327 -7.07991e-05
recdev1(62)     -0.14275  0.000246561
recdev1(63)    0.0986524  0.000218861
recdev1(64)    -0.659388  0.000272921
recdev1(65)     -0.44484  0.000271486
recdev1(66)    -0.936509  0.000297783
recdev1(67)    -0.247951  0.000289935
recdev1(68)     0.406643  0.000259786
recdev1(69)     0.265403  0.000270679
recdev1(70)    -0.550326  0.000297661
recdev1(71)    -0.976108  0.000309998
recdev1(72)     -0.43546  0.000318652
recdev1(73)      1.09181  0.000260383
recdev1(74)     -1.07155  0.000311105
recdev1(75)    -0.537499  0.000317316
recdev1(76)      1.57982  0.000258149
recdev1(77)    -0.095685   0.00031721
recdev1(78)    -0.733228   0.00031786
recdev1(79)    -0.585467   0.00032259
recdev1(80)     0.276888  0.000329966
recdev1(81)     -0.09983  0.000331739
recdev1(82)    -0.592298  0.000327601
recdev1(83)    -0.652326  0.000323283
recdev1(84)    -0.135646   0.00031714
recdev1(85)      1.00056  0.000311585
recdev1(86)     0.205185  0.000313869
recdev1(87)     0.718817   0.00031048
recdev1(88)     0.624483  0.000313109
recdev1(89)    -0.270127  0.000326901
recdev1(90)       -1.199  0.000321348
recdev1(91)    -0.726742  0.000331313
recdev1(92)    -0.447822  0.000334961
recdev1(93)   -0.0717464  0.000327532
recdev1(94)     0.756248  0.000332468
recdev1(95)      1.64023  0.000309232
recdev1(96)      1.14732  0.000320914
recdev1(97)    -0.333501  0.000326425
recdev1(98)     -1.10254  0.000321193
Fcast_recruitments(99)    -0.242828  -2.0732e-06
Fcast_recruitments(100)    0.0233724   2.9646e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]       42.136  -0.00229125
selparm[3]      5.07874   0.00472032
