ParName   Value   Gradient
SR_parm[1]      10.0076   0.00401115
recdev_early(22)   0.00668531  4.33062e-05
recdev_early(23)     0.007565  4.86795e-05
recdev_early(24)   0.00850928  5.51681e-05
recdev_early(25)   0.00950108  6.17272e-05
recdev_early(26)    0.0105366  6.89548e-05
recdev_early(27)    0.0116284  7.57133e-05
recdev_early(28)    0.0127619  8.29141e-05
recdev_early(29)     0.013908  9.01467e-05
recdev_early(30)    0.0150154  9.82286e-05
recdev_early(31)    0.0160403  0.000106279
recdev_early(32)    0.0169831  0.000104717
recdev_early(33)    0.0178707  0.000117486
recdev_early(34)    0.0186825  0.000123735
recdev_early(35)    0.0193841  0.000125532
recdev_early(36)    0.0199465  0.000127592
recdev_early(37)      0.02032  0.000137315
recdev_early(38)    0.0204436  0.000129447
recdev_early(39)    0.0203035  0.000126566
recdev_early(40)    0.0199751  0.000130796
recdev_early(41)    0.0194854  0.000125173
recdev_early(42)    0.0187364  0.000126715
recdev_early(43)    0.0177293  0.000117585
recdev_early(44)    0.0165453  0.000101882
recdev_early(45)    0.0151859  9.97304e-05
recdev_early(46)    0.0136008  8.81245e-05
recdev_early(47)    0.0119553  7.65267e-05
recdev_early(48)    0.0103559  6.76026e-05
recdev_early(49)   0.00875358  5.64529e-05
recdev_early(50)   0.00728233  4.81189e-05
recdev1(51)  -0.00897333  3.45644e-05
recdev1(52)  -0.00989849  2.82245e-05
recdev1(53)   -0.0106105  2.32513e-05
recdev1(54)   -0.0112118  1.91763e-05
recdev1(55)   -0.0117936  1.53042e-05
recdev1(56)   -0.0123734  1.20093e-05
recdev1(57)    -0.012876  9.22601e-06
recdev1(58)   -0.0132653  6.38439e-06
recdev1(59)    -0.013557  4.37655e-06
recdev1(60)   -0.0137725  2.90763e-06
recdev1(61)   -0.0139526  1.76401e-06
recdev1(62)   -0.0141196  5.65542e-07
recdev1(63)   -0.0142767 -4.39215e-07
recdev1(64)   -0.0144316 -1.40371e-06
recdev1(65)   -0.0145606 -2.27399e-06
recdev1(66)   -0.0146672 -2.94145e-06
recdev1(67)   -0.0147573 -3.33381e-06
recdev1(68)   -0.0147701 -3.63478e-06
recdev1(69)   -0.0145537 -3.79392e-06
recdev1(70)   -0.0142143 -3.92308e-06
recdev1(71)    -0.015155 -3.99656e-06
recdev1(72)   -0.0201301 -4.09713e-06
recdev1(73)   -0.0269669 -4.21194e-06
recdev1(74)  -0.00652378 -4.26937e-06
recdev1(75)     0.138854 -4.25552e-06
recdev1(76)     0.682647 -3.95935e-06
recdev1(77)     0.434472 -4.16435e-06
recdev1(78)    -0.430135 -4.47328e-06
recdev1(79)    -0.547304 -4.49052e-06
recdev1(80)     0.177913 -4.44188e-06
recdev1(81)    -0.160043 -5.23558e-06
recdev1(82)    -0.683093 -4.34919e-06
recdev1(83)    -0.750001 -4.35275e-06
recdev1(84)    -0.242611 -5.19164e-06
recdev1(85)     0.921222 -6.00943e-06
recdev1(86)     0.323686 -5.40301e-06
recdev1(87)     0.738166 -5.10091e-06
recdev1(88)   -0.0558754 -4.87861e-06
recdev1(89)    -0.052255 -4.87893e-06
recdev1(90)    -0.929382 -4.61931e-06
recdev1(91)    -0.897919  -4.4893e-06
recdev1(92)    -0.682426 -4.54275e-06
recdev1(93)    -0.058342 -4.83533e-06
recdev1(94)      1.18705  -5.1395e-06
recdev1(95)      1.43737 -5.39979e-06
recdev1(96)     0.891064 -4.87191e-06
recdev1(97)    -0.326988 -4.89809e-06
recdev1(98)    -0.784654 -4.59643e-06
Fcast_recruitments(99)    -0.689858  1.10404e-07
Fcast_recruitments(100)     0.138938 -2.41624e-08
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      41.2803  0.000228005
selparm[3]      4.97761 -0.000449343
