ParName   Value   Gradient
SR_parm[1]       10.007   -0.0119011
recdev_early(-28)   0.00763388  4.69142e-07
recdev_early(-27)   0.00915008  2.50853e-07
recdev_early(-26)    0.0109694   1.3726e-06
recdev_early(-25)    0.0131527  6.68232e-07
recdev_early(-24)    0.0157739  4.25334e-07
recdev_early(-23)    0.0189213  9.98024e-07
recdev_early(-22)    0.0227013  3.21231e-07
recdev_early(-21)    0.0272413  5.17868e-07
recdev_early(-20)    0.0326932  -6.2416e-07
recdev_early(-19)    0.0392376  9.32379e-07
recdev_early(-18)    0.0470857 -7.30493e-07
recdev_early(-17)    0.0564823 -2.82199e-07
recdev_early(-16)    0.0677016  -4.7256e-07
recdev_early(-15)    0.0810377  6.46651e-07
recdev_early(-14)    0.0967785  1.36151e-06
recdev_early(-13)     0.115155     1.01e-06
recdev_early(-12)     0.136243  4.14694e-07
recdev_early(-11)     0.159809  1.38369e-06
recdev_early(-10)     0.185078  1.10972e-06
recdev_early(-9)      0.21051    1.885e-06
recdev_early(-8)      0.23388   3.0183e-06
recdev_early(-7)     0.253341  3.82824e-06
recdev_early(-6)      2.49133  2.66288e-05
recdev_early(-5)      0.27707  3.08203e-06
recdev_early(-4)     0.289451  3.72659e-06
recdev_early(-3)     0.264759  3.07137e-06
recdev_early(-2)     0.154382  4.40964e-07
recdev_early(-1)     0.539127  -1.1589e-05
recdev_early(0)     0.545433 -1.91838e-05
recdev1(1)      0.11635  9.10655e-05
recdev1(2)     0.020353   9.0057e-05
recdev1(3)   -0.0446319  9.14916e-05
recdev1(4)      1.66147  4.89552e-05
recdev1(5)    -0.566512  9.38233e-05
recdev1(6)    -0.836182  9.30078e-05
recdev1(7)   -0.0114308  9.08084e-05
recdev1(8)     0.221404   8.5394e-05
recdev1(9)     0.315648  7.83988e-05
recdev1(10)    -0.391099  9.38875e-05
recdev1(11)    -0.814424  8.66148e-05
recdev1(12)     0.973677  3.79192e-05
recdev1(13)    -0.294344   8.3913e-05
recdev1(14)     -0.68693  8.42793e-05
recdev1(15)    -0.218186  6.73465e-05
recdev1(16)    -0.172343  6.61274e-05
recdev1(17)     0.859921  9.69063e-07
recdev1(18)    0.0557046  5.15455e-05
recdev1(19)     0.573625  1.99144e-06
recdev1(20)    -0.393431  6.42685e-05
recdev1(21)     0.143119  1.47933e-05
recdev1(22)    -0.266274  4.15112e-05
recdev1(23)    0.0481543  1.82972e-06
recdev1(24)    -0.720063  4.82495e-05
recdev1(25)     -1.00197  5.86337e-05
recdev1(26)      1.57632 -0.000425598
recdev1(27)     0.449556 -7.53821e-05
recdev1(28)    -0.919281   4.0863e-05
recdev1(29)    -0.521609  6.89915e-06
recdev1(30)    -0.897627   4.2691e-05
recdev1(31)      1.73925 -0.000765852
recdev1(32)      1.02907 -0.000449048
recdev1(33)    -0.202039 -8.67629e-06
recdev1(34)     0.409848 -0.000232627
recdev1(35)    -0.333718 -6.89705e-05
recdev1(36)     -0.39659 -5.51897e-05
recdev1(37)    -0.635441 -3.90924e-05
recdev1(38)    -0.480709  -5.7743e-05
recdev1(39)      1.30161 -0.000834079
recdev1(40)   -0.0505534 -0.000128287
recdev1(41)     0.079871  -0.00017752
recdev1(42)     0.181931  -0.00021173
recdev1(43)     0.967259 -0.000527712
recdev1(44)    -0.419523 -8.83151e-05
recdev1(45)    -0.777405  1.93945e-05
recdev1(46)      1.32135 -0.000786603
recdev1(47)     -0.35375 -5.13832e-05
recdev1(48)    -0.590771 -3.62375e-05
recdev1(49)     -0.99036  1.28021e-05
recdev1(50)     -1.03004   2.7733e-05
recdev1(51)    -0.470814   -8.361e-06
recdev1(52)     0.479634 -0.000120427
recdev1(53)     0.873249  -0.00016667
recdev1(54)     0.550258 -5.23933e-05
recdev1(55)    -0.295292  3.28191e-05
recdev1(56)    0.0324898  9.87892e-06
recdev1(57)    -0.570065  5.05151e-05
recdev1(58)    -0.578115  6.78107e-05
recdev1(59)     0.690994  8.39212e-06
recdev1(60)    -0.789672  8.06801e-05
recdev1(61)      1.54846 -2.12926e-05
recdev1(62)   -0.0751495  7.57639e-05
recdev1(63)     0.155627  6.84734e-05
recdev1(64)    -0.592295  8.49572e-05
recdev1(65)    -0.475289  8.58552e-05
recdev1(66)     -1.04562     9.36e-05
recdev1(67)     -0.16007   8.2322e-05
recdev1(68)       0.3237  8.54668e-05
recdev1(69)     0.246046  8.60615e-05
recdev1(70)    -0.626012  9.35431e-05
recdev1(71)     -0.63771  9.55008e-05
recdev1(72)    -0.406498  9.75676e-05
recdev1(73)      1.18151  8.38708e-05
recdev1(74)    -0.870036  9.17838e-05
recdev1(75)    -0.155541  9.93021e-05
recdev1(76)      1.50993  8.81645e-05
recdev1(77)   -0.0960515  9.91433e-05
recdev1(78)     -1.04561  9.47882e-05
recdev1(79)    -0.539447  0.000101618
recdev1(80)     0.377246  0.000101175
recdev1(81)    -0.303151  9.75207e-05
recdev1(82)    -0.451513  9.85265e-05
recdev1(83)    -0.279033  0.000113039
recdev1(84)    0.0681798  0.000100623
recdev1(85)      1.27091  9.78104e-05
recdev1(86)   -0.0648216  0.000103709
recdev1(87)     0.858801  0.000104478
recdev1(88)     0.504327  9.49165e-05
recdev1(89)    -0.100519  0.000103599
recdev1(90)     -1.15032  0.000101074
recdev1(91)    -0.419702  0.000101002
recdev1(92)    -0.377773  0.000101453
recdev1(93)    0.0470508  0.000103372
recdev1(94)      1.04767  9.87228e-05
recdev1(95)      1.84488  9.49805e-05
recdev1(96)      1.25002  9.79408e-05
recdev1(97)    -0.102824  0.000104672
recdev1(98)     -1.21032   9.6614e-05
Fcast_recruitments(99)     -0.28933 -1.37274e-05
Fcast_recruitments(100)    0.0385187  5.50403e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.0513 -0.000626928
selparm[3]        5.104   0.00129211
