ParName   Value   Gradient
SR_parm[1]      9.99573  -0.00266552
recdev_early(-28)   0.00806944  2.07829e-07
recdev_early(-27)   0.00967319 -1.04443e-08
recdev_early(-26)    0.0115983  6.13114e-08
recdev_early(-25)    0.0139088 -8.26807e-09
recdev_early(-24)    0.0166842 -1.12953e-07
recdev_early(-23)     0.020017 -1.19559e-07
recdev_early(-22)    0.0240238 -6.07781e-08
recdev_early(-21)    0.0288399 -3.45859e-08
recdev_early(-20)    0.0346294  1.36879e-08
recdev_early(-19)    0.0415891 -5.99264e-08
recdev_early(-18)    0.0499498 -2.65542e-08
recdev_early(-17)    0.0599813  3.51832e-08
recdev_early(-16)     0.071992 -5.78932e-08
recdev_early(-15)    0.0863245 -2.29726e-07
recdev_early(-14)      0.10332 -1.94867e-07
recdev_early(-13)     0.123282    3.631e-08
recdev_early(-12)     0.146358 -2.32612e-07
recdev_early(-11)     0.172365 -3.37831e-07
recdev_early(-10)     0.200468 -1.30414e-07
recdev_early(-9)     0.228745 -2.99768e-07
recdev_early(-8)     0.253827 -4.20875e-07
recdev_early(-7)     0.271252 -3.48266e-07
recdev_early(-6)      2.45922 -4.29232e-06
recdev_early(-5)     0.272953 -6.51337e-07
recdev_early(-4)     0.256982 -6.99826e-07
recdev_early(-3)     0.193282 -8.49553e-07
recdev_early(-2)      0.11005  -6.8818e-07
recdev_early(-1)     0.606968 -8.11224e-07
recdev_early(0)     0.582907 -1.01212e-06
recdev1(1)     0.111124  2.11664e-05
recdev1(2)    0.0150003  2.10157e-05
recdev1(3)   -0.0509645   2.1252e-05
recdev1(4)      1.65509  1.42776e-05
recdev1(5)    -0.571579  2.14401e-05
recdev1(6)    -0.837463  2.12689e-05
recdev1(7)   -0.0115664  2.00744e-05
recdev1(8)     0.222105  1.89387e-05
recdev1(9)     0.318975  1.82684e-05
recdev1(10)    -0.386446  1.99115e-05
recdev1(11)    -0.811233  2.03319e-05
recdev1(12)     0.978702   1.0324e-05
recdev1(13)    -0.282534  1.81227e-05
recdev1(14)    -0.677113  1.92014e-05
recdev1(15)    -0.210073  1.74517e-05
recdev1(16)    -0.166939  1.50633e-05
recdev1(17)     0.863774    1.944e-06
recdev1(18)    0.0607616  1.10098e-05
recdev1(19)       0.5819  2.05625e-06
recdev1(20)    -0.381601  1.31703e-05
recdev1(21)     0.155405  4.67531e-06
recdev1(22)    -0.253991  9.01748e-06
recdev1(23)    0.0623328  2.34735e-06
recdev1(24)    -0.702867  1.19861e-05
recdev1(25)    -0.985054  1.37134e-05
recdev1(26)      1.59007 -9.57446e-05
recdev1(27)     0.456317 -1.99209e-05
recdev1(28)    -0.917955  1.01758e-05
recdev1(29)    -0.519321   3.9197e-06
recdev1(30)    -0.895923   8.3475e-06
recdev1(31)      1.74325 -0.000175367
recdev1(32)      1.03915 -8.70787e-05
recdev1(33)    -0.189688 -1.34399e-05
recdev1(34)     0.422842 -4.94735e-05
recdev1(35)      -0.3188 -1.35688e-05
recdev1(36)     -0.38393 -1.28865e-05
recdev1(37)    -0.623717 -7.84411e-06
recdev1(38)    -0.468889 -1.33538e-05
recdev1(39)      1.31157 -0.000183099
recdev1(40)   -0.0371176 -3.40132e-05
recdev1(41)    0.0920302 -3.92035e-05
recdev1(42)     0.191381 -4.57963e-05
recdev1(43)     0.976344 -0.000124027
recdev1(44)    -0.408744 -1.22499e-05
recdev1(45)    -0.768836 -2.11206e-06
recdev1(46)      1.33177 -0.000170141
recdev1(47)    -0.338421 -1.47305e-05
recdev1(48)    -0.577528 -6.27232e-06
recdev1(49)    -0.978857  3.15168e-06
recdev1(50)     -1.01955  5.32937e-06
recdev1(51)    -0.455519 -1.09477e-06
recdev1(52)     0.494697  -2.6241e-05
recdev1(53)     0.885697 -3.45575e-05
recdev1(54)     0.562153 -1.34101e-05
recdev1(55)    -0.282998  8.02073e-06
recdev1(56)    0.0520003  2.23905e-06
recdev1(57)    -0.544017  1.27678e-05
recdev1(58)    -0.550912  1.40442e-05
recdev1(59)     0.716217   2.5895e-06
recdev1(60)    -0.773203  1.86473e-05
recdev1(61)      1.56829 -4.93372e-06
recdev1(62)   -0.0452623  1.74546e-05
recdev1(63)     0.181197  1.53438e-05
recdev1(64)    -0.573503  1.88526e-05
recdev1(65)     -0.45989  1.84213e-05
recdev1(66)      -1.0295    2.011e-05
recdev1(67)    -0.142015  1.90156e-05
recdev1(68)     0.337241  1.74463e-05
recdev1(69)     0.250232  1.88123e-05
recdev1(70)     -0.62027  2.06276e-05
recdev1(71)     -0.63162  2.10139e-05
recdev1(72)    -0.407222  2.11233e-05
recdev1(73)      1.17826  1.73595e-05
recdev1(74)    -0.874934  2.12114e-05
recdev1(75)    -0.158757  2.19545e-05
recdev1(76)      1.50941    1.725e-05
recdev1(77)   -0.0947298  2.19629e-05
recdev1(78)     -1.04821  2.14537e-05
recdev1(79)    -0.544131  2.20596e-05
recdev1(80)     0.370174  2.18283e-05
recdev1(81)    -0.317071  2.20414e-05
