ParName   Value   Gradient
SR_parm[1]      9.96206    0.0003374
recdev_early(-28)    0.0155415  5.38773e-09
recdev_early(-27)    0.0183821  3.79077e-09
recdev_early(-26)    0.0217489  5.30936e-11
recdev_early(-25)    0.0257405  2.93649e-09
recdev_early(-24)    0.0304762 -3.08231e-09
recdev_early(-23)    0.0360951  1.20294e-08
recdev_early(-22)    0.0427668  2.48509e-09
recdev_early(-21)    0.0506869  3.43116e-09
recdev_early(-20)    0.0600858  1.84729e-09
recdev_early(-19)    0.0712295 -3.45642e-09
recdev_early(-18)    0.0844143   1.7823e-09
recdev_early(-17)    0.0999565  7.36066e-09
recdev_early(-16)     0.118162 -9.67865e-10
recdev_early(-15)     0.139266  8.07356e-09
recdev_early(-14)     0.166125  1.78942e-08
recdev_early(-13)      0.19669  8.09663e-09
recdev_early(-12)       0.2299    1.541e-08
recdev_early(-11)     0.262888  2.87715e-09
recdev_early(-10)     0.289743  2.29835e-08
recdev_early(-9)     0.300874  3.14063e-08
recdev_early(-8)     0.285766  3.11572e-08
recdev_early(-7)     0.241247   3.5151e-08
recdev_early(-6)      2.98855  5.24282e-07
recdev_early(-5)     0.134267   3.9039e-08
recdev_early(-4)     0.153375  5.09443e-08
recdev_early(-3)     0.287436  6.96524e-08
recdev_early(-2)     0.380308  8.62659e-08
recdev_early(-1)     0.627429  1.17673e-07
recdev_early(0)     0.590467  1.26774e-07
recdev1(1)      0.11846 -2.70814e-06
recdev1(2)    0.0217381 -2.70722e-06
recdev1(3)   -0.0439866 -2.71566e-06
recdev1(4)      1.66154 -1.82765e-06
recdev1(5)     -0.56423 -2.70157e-06
recdev1(6)    -0.830503 -2.68221e-06
recdev1(7)   -0.0051725 -2.52884e-06
recdev1(8)     0.228519 -2.48526e-06
recdev1(9)      0.32521 -2.29604e-06
recdev1(10)    -0.380184 -2.53493e-06
recdev1(11)    -0.804663 -2.59168e-06
recdev1(12)     0.984463 -1.24624e-06
recdev1(13)    -0.276604 -2.30052e-06
recdev1(14)    -0.671274 -2.38622e-06
recdev1(15)    -0.204587  -2.0631e-06
recdev1(16)    -0.161402 -2.05326e-06
recdev1(17)      0.86893 -2.01232e-07
recdev1(18)     0.066014 -1.43234e-06
recdev1(19)     0.586762 -2.67058e-07
recdev1(20)     -0.37632 -1.71032e-06
recdev1(21)     0.160309 -5.93172e-07
recdev1(22)    -0.248844 -1.20386e-06
recdev1(23)    0.0672154 -3.23861e-07
recdev1(24)    -0.697809 -1.51995e-06
recdev1(25)    -0.979686 -1.74017e-06
recdev1(26)      1.59461  1.18267e-05
recdev1(27)      0.46071  2.48474e-06
recdev1(28)    -0.912749 -1.33524e-06
recdev1(29)    -0.514683 -4.15934e-07
recdev1(30)     -0.89049 -1.07075e-06
recdev1(31)      1.74782  2.20385e-05
recdev1(32)      1.04343  1.08068e-05
recdev1(33)    -0.185013  1.64447e-06
recdev1(34)     0.427282  6.04118e-06
recdev1(35)    -0.313935  1.80886e-06
recdev1(36)    -0.379324  1.75018e-06
recdev1(37)    -0.619327  9.06761e-07
recdev1(38)    -0.464931  1.63762e-06
recdev1(39)      1.31455  2.33297e-05
recdev1(40)   -0.0347345  4.08902e-06
recdev1(41)    0.0937106  4.93288e-06
recdev1(42)     0.193021   5.8197e-06
recdev1(43)     0.977529  1.57215e-05
recdev1(44)    -0.407775  1.62841e-06
recdev1(45)    -0.767975   2.8785e-07
recdev1(46)      1.33178  2.16874e-05
recdev1(47)    -0.338755  1.88487e-06
recdev1(48)    -0.578483  8.42917e-07
recdev1(49)    -0.979723 -3.94549e-07
recdev1(50)      -1.0211  -6.9561e-07
recdev1(51)    -0.458536  2.31681e-07
recdev1(52)     0.489712  3.41225e-06
recdev1(53)     0.878717  4.55074e-06
recdev1(54)     0.554084  1.75394e-06
recdev1(55)    -0.290462 -9.58608e-07
recdev1(56)    0.0449512 -3.48827e-07
recdev1(57)    -0.550995 -1.58831e-06
recdev1(58)    -0.558609 -1.82452e-06
recdev1(59)     0.707168 -2.36595e-07
recdev1(60)    -0.782565 -2.39344e-06
recdev1(61)       1.5575  7.11602e-07
recdev1(62)   -0.0553865 -2.16254e-06
recdev1(63)     0.172025 -1.96088e-06
recdev1(64)    -0.580744 -2.36295e-06
recdev1(65)     -0.46705 -2.40461e-06
recdev1(66)     -1.03679 -2.48151e-06
recdev1(67)    -0.150497 -2.33256e-06
recdev1(68)     0.327705 -2.15797e-06
recdev1(69)     0.239834 -2.32101e-06
recdev1(70)    -0.630383 -2.62167e-06
recdev1(71)    -0.641228 -2.65963e-06
recdev1(72)    -0.416339 -2.67849e-06
recdev1(73)      1.16871 -2.21768e-06
recdev1(74)    -0.883504 -2.74917e-06
recdev1(75)    -0.167061 -2.71856e-06
recdev1(76)      1.50252 -2.21749e-06
recdev1(77)    -0.100533 -2.70519e-06
recdev1(78)     -1.05188 -2.72159e-06
recdev1(79)    -0.546447 -2.77759e-06
recdev1(80)     0.368512 -2.71477e-06
recdev1(81)    -0.318486 -2.81585e-06
recdev1(82)    -0.469052 -2.79202e-06
recdev1(83)    -0.301114 -2.75826e-06
recdev1(84)    0.0421841 -2.78804e-06
recdev1(85)      1.24398 -2.56481e-06
recdev1(86)   -0.0737849 -2.80011e-06
recdev1(87)      0.83105 -2.75015e-06
recdev1(88)     0.491741 -2.79373e-06
recdev1(89)    -0.128402 -2.82126e-06
recdev1(90)      -1.2033 -2.74759e-06
recdev1(91)    -0.431349 -2.82619e-06
recdev1(92)    -0.429649 -2.86166e-06
recdev1(93)   0.00571351 -2.82597e-06
recdev1(94)     0.994342 -2.77276e-06
recdev1(95)      1.74626 -2.66676e-06
recdev1(96)      1.13796 -2.75205e-06
recdev1(97)    -0.141316 -2.84195e-06
recdev1(98)     -1.25856 -2.70801e-06
Fcast_recruitments(99)    -0.433814 -1.12316e-08
Fcast_recruitments(100)    -0.292911  4.37384e-10
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.1159  1.88212e-05
selparm[3]      5.11027 -3.92972e-05
