ParName   Value   Gradient
SR_parm[1]       9.9163   0.00784534
recdev_early(41)  0.000585728  0.000204397
recdev_early(42)  0.000575589  0.000203649
recdev_early(43)  0.000559381  0.000194127
recdev_early(44)  0.000536223  0.000185799
recdev_early(45)  0.000506157  0.000182314
recdev_early(46)  0.000470065  0.000168912
recdev_early(47)   0.00043109  0.000146932
recdev_early(48)  0.000393628  0.000135824
recdev_early(49)  0.000358735  0.000125749
recdev_early(50)  0.000326441  0.000114871
recdev_early(51)  0.000296754  0.000104759
recdev_early(52)  0.000270507  9.62233e-05
recdev_early(53)   0.00024782  8.46873e-05
recdev_early(54)  0.000228435  7.64348e-05
recdev_early(55)  0.000211679  7.14308e-05
recdev_early(56)  0.000196315   6.5086e-05
recdev_early(57)  0.000182821  6.14637e-05
recdev_early(58)  0.000170574  5.82463e-05
recdev_early(59)  0.000159242  5.40581e-05
recdev_early(60)  0.000148491   5.0035e-05
recdev_early(61)  0.000137796  4.66977e-05
recdev_early(62)  0.000127182  4.33782e-05
recdev_early(63)   0.00011752  3.98725e-05
recdev_early(64)  0.000108623  3.65906e-05
recdev_early(65)  0.000100129  3.39001e-05
recdev_early(66)  9.21211e-05  3.17693e-05
recdev_early(67)  8.49145e-05  2.94896e-05
recdev_early(68)  7.82518e-05  2.62953e-05
recdev_early(69)  7.07899e-05  2.23019e-05
recdev1(70)    0.0061558   1.4506e-05
recdev1(71)   0.00614054   1.0816e-05
recdev1(72)   0.00612469  7.60421e-06
recdev1(73)   0.00611701  5.25026e-06
recdev1(74)   0.00612499  3.76546e-06
recdev1(75)   0.00614634  2.24728e-06
recdev1(76)   0.00616562  7.90318e-07
recdev1(77)   0.00615622  2.86409e-07
recdev1(78)   0.00609303  5.35616e-07
recdev1(79)    0.0059762  4.82935e-07
recdev1(80)   0.00585801 -4.62266e-07
recdev1(81)   0.00586177 -1.23609e-06
recdev1(82)   0.00616728  1.80769e-06
recdev1(83)   0.00689204 -5.10924e-06
recdev1(84)   0.00789453 -2.51474e-07
recdev1(85)   0.00855859 -1.04535e-07
recdev1(86)   0.00778064 -2.11151e-06
recdev1(87)   0.00429684 -2.07201e-06
recdev1(88)   -0.0026054  1.28197e-07
recdev1(89)   -0.0122129 -1.79296e-06
recdev1(90)   -0.0230559 -1.41413e-06
recdev1(91)   -0.0402425 -8.89401e-07
recdev1(92)   -0.0860167 -7.38307e-07
recdev1(93)    -0.155314 -2.05998e-06
recdev1(94)   -0.0896768  -3.2491e-06
recdev1(95)     0.742265 -1.08588e-05
recdev1(96)     0.097206 -1.19534e-05
recdev1(97)    -0.544857 -9.15123e-06
Fcast_recruitments(98)     0.246323 -1.89712e-06
Fcast_recruitments(99)    -0.611819 -7.74327e-07
Fcast_recruitments(100)     0.489078  2.85351e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      41.1858  0.000533989
selparm[3]      4.78875  -0.00105344
