ParName   Value   Gradient
SR_parm[1]        10.11 -7.34998e-05
recdev_early(40)  -0.00379234 -3.03178e-06
recdev_early(41)  -0.00393439 -2.54406e-06
recdev_early(42)   -0.0040638 -2.03238e-06
recdev_early(43)  -0.00416887 -1.58149e-06
recdev_early(44)  -0.00423119  -1.2109e-06
recdev_early(45)   -0.0042378 -9.23961e-07
recdev_early(46)  -0.00419078 -7.40263e-07
recdev_early(47)  -0.00410228  -6.8935e-07
recdev_early(48)  -0.00398723 -7.95585e-07
recdev_early(49)   -0.0038582 -1.03458e-06
recdev_early(50)  -0.00372045 -1.32327e-06
recdev_early(51)  -0.00357821 -1.57042e-06
recdev_early(52)   -0.0034416  -1.7174e-06
recdev_early(53)  -0.00331838  -1.7575e-06
recdev_early(54)  -0.00320773 -1.71427e-06
recdev_early(55)   -0.0031041  -1.6077e-06
recdev_early(56)  -0.00300201 -1.45893e-06
recdev_early(57)  -0.00290486  -1.2813e-06
recdev_early(58)  -0.00281015  -1.1114e-06
recdev_early(59)   -0.0027164 -9.88505e-07
recdev_early(60)  -0.00261951 -9.27344e-07
recdev_early(61)  -0.00251375 -9.17756e-07
recdev_early(62)  -0.00240051 -9.46778e-07
recdev_early(63)  -0.00229108 -9.77612e-07
recdev_early(64)  -0.00218147 -9.49994e-07
recdev_early(65)  -0.00206443 -8.23023e-07
recdev_early(66)  -0.00193986 -6.51698e-07
recdev_early(67)  -0.00181313 -5.28493e-07
recdev_early(68)  -0.00168457 -5.00164e-07
recdev1(69)  -0.00584087  3.61924e-07
recdev1(70)  -0.00567379  5.18675e-07
recdev1(71)  -0.00547444  5.29114e-07
recdev1(72)  -0.00527703  4.08599e-07
recdev1(73)  -0.00514459   2.4732e-07
recdev1(74)  -0.00512135  1.66318e-07
recdev1(75)  -0.00517997  2.14921e-07
recdev1(76)  -0.00520426   3.5455e-07
recdev1(77)  -0.00501536   4.9136e-07
recdev1(78)  -0.00446206  3.60782e-07
recdev1(79)  -0.00357219 -3.42362e-07
recdev1(80)  -0.00273184 -8.98754e-07
recdev1(81)  -0.00281081 -1.35966e-06
recdev1(82)  -0.00503029 -1.93547e-06
recdev1(83)   -0.0100801 -6.46806e-07
recdev1(84)   -0.0166394 -1.50095e-07
recdev1(85)   -0.0200412 -2.91426e-06
recdev1(86)   -0.0125861  1.41018e-06
recdev1(87)    0.0136388 -5.78185e-07
recdev1(88)    0.0605025 -3.67105e-08
recdev1(89)     0.110368 -2.22938e-07
recdev1(90)      0.10927 -1.13134e-07
recdev1(91)   0.00401195 -5.91373e-07
recdev1(92)    -0.159409  1.37454e-07
recdev1(93)    -0.236003 -1.14007e-07
recdev1(94)    0.0111662  3.21562e-07
recdev1(95)      1.40498   5.3918e-07
recdev1(96)    -0.391933 -2.19441e-07
recdev1(97)    -0.800704  2.88947e-07
Fcast_recruitments(98)     0.301077  4.08956e-08
Fcast_recruitments(99)    -0.134822 -3.42155e-07
Fcast_recruitments(100)  -0.00908423 -1.04974e-06
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      40.8069 -6.25413e-06
selparm[3]      4.60383  1.29088e-05
