ParName   Value   Gradient
SR_parm[1]      10.0834  0.000788185
recdev_early(-28)      0.08032  5.16346e-08
recdev_early(-27)    0.0952538  5.37086e-08
recdev_early(-26)     0.112995  5.87191e-08
recdev_early(-25)     0.134115  6.55904e-08
recdev_early(-24)     0.159302  8.57341e-08
recdev_early(-23)     0.189391  7.91051e-08
recdev_early(-22)     0.225415   7.8544e-08
recdev_early(-21)      0.26864  1.12379e-07
recdev_early(-20)     0.320604  1.16749e-07
recdev_early(-19)     0.383145   1.2114e-07
recdev_early(-18)     0.458286  1.55351e-07
recdev_early(-17)     0.547628  2.12638e-07
recdev_early(-16)      0.64939  3.61127e-07
recdev_early(-15)     0.743643  4.55381e-07
recdev_early(-14)     0.800189  6.07485e-07
recdev_early(-13)     0.680868  5.42036e-07
recdev_early(-12)     0.487323  3.88776e-07
recdev_early(-11)     0.281627  3.63109e-07
recdev_early(-10)    0.0793653  3.32635e-07
recdev_early(-9)    -0.111824  3.37949e-07
recdev_early(-8)    -0.285274   2.1409e-07
recdev_early(-7)    -0.433443  2.07484e-07
recdev_early(-6)     -0.54445  4.76416e-08
recdev_early(-5)    -0.584748  4.81659e-08
recdev_early(-4)    -0.431013 -4.27186e-08
recdev_early(-3)      0.73431 -3.12027e-08
recdev_early(-2)     0.326832 -5.42155e-08
recdev_early(-1)    -0.613165 -3.41625e-08
recdev_early(0)      1.16762  1.08648e-06
recdev1(1)     0.531137  -5.7807e-06
recdev1(2)    -0.310038 -6.56095e-06
recdev1(3)     0.578727 -5.28749e-06
recdev1(4)     0.582385  -5.4665e-06
recdev1(5)     0.532264 -5.44584e-06
recdev1(6)     0.430008 -4.99711e-06
recdev1(7)      0.31538 -5.15851e-06
recdev1(8)    -0.164412 -5.73167e-06
recdev1(9)    -0.357088 -5.59222e-06
recdev1(10)    -0.435502 -5.66412e-06
recdev1(11)    -0.629631 -5.61197e-06
recdev1(12)    -0.332955 -4.86704e-06
recdev1(13)     -0.95019 -5.84753e-06
recdev1(14)      1.61044  7.88479e-06
recdev1(15)     0.827661  9.89612e-07
recdev1(16)    -0.818127 -5.05792e-06
recdev1(17)    -0.476464 -4.27662e-06
recdev1(18)    -0.442566 -3.99752e-06
recdev1(19)     0.492468  1.68057e-06
recdev1(20)    -0.151298 -1.39981e-06
recdev1(21)    0.0809563  7.98235e-07
recdev1(22)    -0.129548 -3.54456e-07
recdev1(23)    -0.126218  4.82436e-07
recdev1(24)     0.971173  1.63689e-05
recdev1(25)    -0.209773  9.90949e-07
recdev1(26)      1.06882  2.35704e-05
recdev1(27)    -0.957393 -2.13875e-06
recdev1(28)     0.313355  1.04865e-05
recdev1(29)     0.014465  7.26277e-06
recdev1(30)    0.0669844  9.25529e-06
recdev1(31)     0.185371  1.23605e-05
recdev1(32)    -0.476071   3.7299e-06
recdev1(33)    -0.391732  5.28206e-06
recdev1(34)    -0.896633   5.7031e-07
recdev1(35)    -0.929151  3.65675e-07
recdev1(36)     0.129451  1.28398e-05
recdev1(37)     0.257487  1.53521e-05
recdev1(38)   -0.0507014  8.92086e-06
recdev1(39)     0.638688  2.34829e-05
recdev1(40)      1.54337  6.39542e-05
recdev1(41)     -0.54193  2.22346e-06
recdev1(42)     -1.41726 -3.04007e-06
recdev1(43)     0.674773  2.35778e-05
recdev1(44)    -0.600957  1.99426e-06
recdev1(45)    -0.631374  1.92142e-06
recdev1(46)     0.721445  2.64028e-05
recdev1(47)    -0.327827  4.44209e-06
recdev1(48)    -0.998479 -1.23832e-06
recdev1(49)    0.0417261  7.25275e-06
recdev1(50)    -0.188135  3.28115e-06
recdev1(51)   -0.0775596  3.46808e-06
recdev1(52)     0.221859  5.69475e-06
recdev1(53)    -0.357709  -2.8129e-07
recdev1(54)     0.432645  4.49883e-06
recdev1(55)    -0.236593 -2.21771e-06
recdev1(56)      0.19225 -7.53093e-07
recdev1(57)     0.807764  3.26121e-06
recdev1(58)     0.276108 -1.46845e-06
recdev1(59)    -0.307529 -4.21537e-06
recdev1(60)     0.849289  3.84404e-07
recdev1(61)     0.730757 -1.02675e-06
recdev1(62)      0.37741 -3.29549e-06
recdev1(63)     0.119778 -4.33201e-06
recdev1(64)    -0.521238 -5.72175e-06
recdev1(65)      1.01642 -3.04045e-06
recdev1(66)    -0.477937 -5.85177e-06
recdev1(67)      1.68988  3.31816e-07
recdev1(68)      1.17321 -2.72667e-06
recdev1(69)    -0.238083 -5.84992e-06
recdev1(70)    -0.817324 -6.11254e-06
recdev1(71)    -0.605801 -6.09106e-06
recdev1(72)     0.158385 -5.93643e-06
recdev1(73)    -0.219579 -6.37398e-06
recdev1(74)    -0.314279 -6.74127e-06
recdev1(75)      -0.7489 -6.54474e-06
recdev1(76)   -0.0582955 -6.63842e-06
recdev1(77)    -0.641096 -6.62928e-06
recdev1(78)     -1.25259 -6.66744e-06
recdev1(79)    -0.310583 -6.55334e-06
recdev1(80)     0.743182 -5.82779e-06
recdev1(81)    -0.394186  -6.2282e-06
recdev1(82)     0.489162 -5.93786e-06
recdev1(83)     -1.07823 -6.47429e-06
recdev1(84)   -0.0219335  -6.4445e-06
recdev1(85)      0.47931 -6.36219e-06
recdev1(86)     0.317296 -6.60345e-06
recdev1(87)     0.170131 -6.73686e-06
recdev1(88)    -0.395694 -6.87109e-06
recdev1(89)    -0.561668 -6.77764e-06
recdev1(90)    -0.654179 -6.84219e-06
recdev1(91)     0.234586 -7.03884e-06
recdev1(92)    -0.546777 -7.01485e-06
recdev1(93)    -0.208188 -7.01431e-06
recdev1(94)   0.00773853 -7.31144e-06
recdev1(95)      1.69245 -8.41173e-06
recdev1(96)    -0.225873 -6.82709e-06
recdev1(97)     0.425135 -7.02756e-06
Fcast_recruitments(98)     0.308673 -1.30188e-07
Fcast_recruitments(99)    -0.384653  4.81549e-08
Fcast_recruitments(100)   -0.0384912  2.44444e-08
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      42.0399  6.40727e-05
selparm[3]      5.09908 -0.000148339
