ParName   Value   Gradient
SR_parm[1]      9.95871  -0.00764634
recdev_early(22)     0.013504 -9.46557e-05
recdev_early(23)    0.0148802 -0.000103879
recdev_early(24)     0.016322 -0.000113416
recdev_early(25)    0.0178276 -0.000124535
recdev_early(26)    0.0193935 -0.000136275
recdev_early(27)     0.021009 -0.000147291
recdev_early(28)    0.0226286 -0.000158244
recdev_early(29)     0.024219 -0.000169746
recdev_early(30)    0.0257363 -0.000181144
recdev_early(31)    0.0271362 -0.000191086
recdev_early(32)    0.0283904 -0.000198772
recdev_early(33)    0.0294917 -0.000206913
recdev_early(34)    0.0304348 -0.000214541
recdev_early(35)    0.0311865 -0.000219457
recdev_early(36)    0.0316846 -0.000223179
recdev_early(37)    0.0318684 -0.000224337
recdev_early(38)    0.0317036 -0.000223498
recdev_early(39)     0.031198  -0.00021823
recdev_early(40)    0.0304085 -0.000211859
recdev_early(41)    0.0294179 -0.000205519
recdev_early(42)    0.0282679 -0.000197845
recdev_early(43)      0.02692 -0.000189125
recdev_early(44)     0.025329 -0.000179309
recdev_early(45)    0.0235141 -0.000164998
recdev_early(46)    0.0215253 -0.000151045
recdev_early(47)    0.0194224 -0.000135192
recdev_early(48)    0.0173187 -0.000121012
recdev_early(49)    0.0153291 -0.000106637
recdev_early(50)    0.0134592  -9.3258e-05
recdev1(51)   0.00315495 -6.89377e-05
recdev1(52)   0.00150464 -5.76504e-05
recdev1(53)  6.15284e-05 -4.73421e-05
recdev1(54)   -0.0011167 -3.95525e-05
recdev1(55)  -0.00201966 -3.38249e-05
recdev1(56)  -0.00262462 -2.84279e-05
recdev1(57)  -0.00288526 -2.33525e-05
recdev1(58)  -0.00298499 -1.85315e-05
recdev1(59)  -0.00342393 -1.37772e-05
recdev1(60)  -0.00480382 -9.42184e-06
recdev1(61)  -0.00741112 -6.39943e-06
recdev1(62)   -0.0106327  -3.6734e-06
recdev1(63)   -0.0121339 -2.13464e-06
recdev1(64)  -0.00803501 -2.39122e-07
recdev1(65)   0.00312027  1.83889e-06
recdev1(66)    0.0146019  3.97635e-06
recdev1(67)    0.0128904  5.41739e-06
recdev1(68)   -0.0109582   6.6056e-06
recdev1(69)   -0.0517156  8.01755e-06
recdev1(70)   -0.0879654  8.46309e-06
recdev1(71)   -0.0833793   9.4779e-06
recdev1(72)    0.0135184  9.99346e-06
recdev1(73)     0.269584  9.33923e-06
recdev1(74)     0.551603  8.97244e-06
recdev1(75)     0.309295  9.57288e-06
recdev1(76)     0.963782  6.50167e-06
recdev1(77)     0.361624  8.98915e-06
recdev1(78)    -0.979555  1.14802e-05
recdev1(79)     -1.26865  1.15607e-05
recdev1(80)     0.306046  1.23691e-05
recdev1(81)    -0.361901  1.34409e-05
recdev1(82)     -0.68824   1.2208e-05
recdev1(83)     -0.47325  1.28757e-05
recdev1(84)   -0.0538601  1.29072e-05
recdev1(85)     0.904004  1.24527e-05
recdev1(86)    -0.476482  1.26869e-05
recdev1(87)      1.06852  1.20388e-05
recdev1(88)     0.339042   1.1935e-05
recdev1(89)    -0.767983  1.23688e-05
recdev1(90)    -0.686394  1.22315e-05
recdev1(91)    -0.312914  1.31165e-05
recdev1(92)    -0.698865  1.27661e-05
recdev1(93)   -0.0814775  1.34433e-05
recdev1(94)     0.384664  1.30253e-05
recdev1(95)      1.70889  1.26311e-05
recdev1(96)     0.342973  1.26863e-05
recdev1(97)    -0.417217  1.24254e-05
Fcast_recruitments(98)    -0.561888  2.95723e-07
Fcast_recruitments(99)     -0.41565 -9.68738e-09
Fcast_recruitments(100)   -0.0918892  1.18004e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
selparm[1]      46.5765 -0.000461776
selparm[3]      5.38885   0.00141678
