ParName   Value   Gradient
SR_parm[1]      10.0233    0.0130072
recdev_early(-28)    0.0261828  -5.1372e-08
recdev_early(-27)    0.0312198  7.86415e-07
recdev_early(-26)    0.0371733  1.48862e-06
recdev_early(-25)    0.0441947  1.21549e-06
recdev_early(-24)    0.0524554  2.07919e-06
recdev_early(-23)    0.0621362  1.68886e-06
recdev_early(-22)    0.0734207 -1.22557e-06
recdev_early(-21)    0.0864799  -5.2376e-07
recdev_early(-20)     0.101444  1.46774e-07
recdev_early(-19)      0.11837  3.35972e-07
recdev_early(-18)     0.137152  1.01508e-06
recdev_early(-17)     0.157423 -1.52339e-06
recdev_early(-16)     0.178416 -4.16383e-07
recdev_early(-15)     0.198788  2.33226e-06
recdev_early(-14)     0.216495  2.41113e-06
recdev_early(-13)     0.228903  1.07943e-06
recdev_early(-12)     0.233408 -5.36755e-07
recdev_early(-11)     0.228837  4.03364e-07
recdev_early(-10)     0.217332  1.66404e-06
recdev_early(-9)     0.205908  1.05613e-06
recdev_early(-8)     0.206496  -9.8347e-07
recdev_early(-7)     0.233285  -1.1664e-06
recdev_early(-6)      2.45552 -4.43241e-06
recdev_early(-5)     0.344628  3.99848e-06
recdev_early(-4)     0.451355  3.83795e-06
recdev_early(-3)     0.434244  4.00559e-06
recdev_early(-2)     0.021614  3.84963e-06
recdev_early(-1)      0.57457   1.3984e-05
recdev_early(0)     0.554449  1.77878e-05
recdev1(1)     0.101544 -0.000102357
recdev1(2)  -0.00810268 -0.000100852
recdev1(3)   -0.0405574 -9.78904e-05
recdev1(4)      1.63151 -4.16591e-05
recdev1(5)    -0.557361 -9.88785e-05
recdev1(6)    -0.812601 -9.66559e-05
recdev1(7)    -0.055964 -9.44962e-05
recdev1(8)     0.207849 -7.98436e-05
recdev1(9)     0.288713 -7.54081e-05
recdev1(10)    -0.422703 -8.75631e-05
recdev1(11)    -0.772594 -9.66749e-05
recdev1(12)     0.939583 -1.53838e-05
recdev1(13)    -0.305078 -8.08246e-05
recdev1(14)     -0.68757 -8.38541e-05
recdev1(15)    -0.254503  -7.1994e-05
recdev1(16)    -0.179865 -6.24087e-05
recdev1(17)     0.832043   3.5407e-05
recdev1(18)    0.0518566 -3.59564e-05
recdev1(19)     0.540579  1.93119e-05
recdev1(20)    -0.382452 -5.16327e-05
recdev1(21)     0.107007 -5.46938e-06
recdev1(22)    -0.267394 -3.31978e-05
recdev1(23)     0.014738  4.13542e-06
recdev1(24)    -0.739898  -5.3912e-05
recdev1(25)    -0.964585 -6.32199e-05
recdev1(26)      1.55211  0.000499356
recdev1(27)     0.417673  0.000107103
recdev1(28)    -0.869458 -4.45653e-05
recdev1(29)    -0.582881 -2.02529e-05
recdev1(30)    -0.846227 -3.60862e-05
recdev1(31)      1.71448  0.000854289
recdev1(32)      1.00763  0.000414192
recdev1(33)    -0.197138   6.6955e-05
recdev1(34)     0.376462  0.000192938
recdev1(35)    -0.337405  6.31945e-05
recdev1(36)    -0.425884  4.10372e-05
recdev1(37)    -0.651482  1.61819e-05
recdev1(38)    -0.491438  4.76212e-05
recdev1(39)      1.27766  0.000773218
recdev1(40)    -0.060755  0.000124011
recdev1(41)    0.0558752  0.000151381
recdev1(42)     0.167573  0.000174992
recdev1(43)     0.945173     0.000486
recdev1(44)    -0.439331  4.12229e-05
recdev1(45)    -0.759022 -1.64713e-06
recdev1(46)      1.29709   0.00072573
recdev1(47)    -0.355137  4.95827e-05
recdev1(48)    -0.618572   6.3517e-06
recdev1(49)     -1.00176 -3.19153e-05
recdev1(50)     -1.04157 -4.63585e-05
recdev1(51)    -0.490767 -3.47256e-06
recdev1(52)     0.461609   0.00013724
recdev1(53)     0.858323  0.000222207
recdev1(54)     0.531824  9.77252e-05
recdev1(55)    -0.297626 -2.90698e-05
recdev1(56)    0.0104807 -1.99159e-05
recdev1(57)    -0.579502 -6.16192e-05
recdev1(58)    -0.582905 -7.53613e-05
recdev1(59)     0.667553  4.05649e-06
recdev1(60)    -0.761154 -8.56073e-05
recdev1(61)       1.5302  9.22986e-05
recdev1(62)   -0.0713485 -7.39807e-05
recdev1(63)     0.131783 -6.22369e-05
recdev1(64)     -0.58202 -8.78866e-05
recdev1(65)    -0.506325 -8.74047e-05
recdev1(66)     -1.03113 -9.97701e-05
recdev1(67)    -0.183588 -8.74986e-05
recdev1(68)     0.311144 -7.24435e-05
recdev1(69)     0.227409 -7.77233e-05
recdev1(70)    -0.632598 -9.84006e-05
recdev1(71)    -0.653676 -0.000100524
recdev1(72)    -0.409667 -0.000106175
recdev1(73)      1.16188 -8.90323e-05
recdev1(74)    -0.838333 -0.000103037
