ParName   Value   Gradient
SR_parm[1]      10.0237   -0.0382584
recdev_early(-28)     0.206635  -9.8979e-07
recdev_early(-27)    -0.138387  1.26574e-06
recdev_early(-26)    -0.171028 -5.90939e-06
recdev_early(-25)    -0.208359  4.06522e-06
recdev_early(-24)    -0.171167 -5.08935e-06
recdev_early(-23)    -0.239228 -3.81124e-07
recdev_early(-22)     0.712424 -1.46829e-06
recdev_early(-21)       1.1686 -5.40677e-06
recdev_early(-20)     0.124463 -8.93761e-07
recdev_early(-19)     0.582131 -4.94131e-06
recdev_early(-18)     0.325373 -1.28429e-06
recdev_early(-17)     0.113392 -1.51185e-06
recdev_early(-16)    -0.489764 -1.44315e-06
recdev_early(-15)      0.60571 -8.14177e-06
recdev_early(-14)    -0.253791 -1.50403e-06
recdev_early(-13)     0.715188 -8.47999e-06
recdev_early(-12)     0.194745  -6.5518e-06
recdev_early(-11)     0.893806  -1.4081e-05
recdev_early(-10)    -0.196655  -4.1183e-06
recdev_early(-9)      1.11723 -2.20388e-05
recdev_early(-8)    -0.568377 -3.08111e-06
recdev_early(-7)    -0.468245 -4.42501e-06
recdev_early(-6)      2.94193 -9.93046e-05
recdev_early(-5)   -0.0603776 -9.50995e-06
recdev_early(-4)     0.580308 -2.40605e-05
recdev_early(-3)     0.695109  -2.0513e-05
recdev_early(-2)   -0.0171979 -4.17691e-06
recdev_early(-1)     0.736116 -3.09908e-05
recdev_early(0)     0.646412 -3.45602e-05
recdev1(1)    0.0113487  0.000300449
recdev1(2)      0.02405  0.000298833
recdev1(3)     -0.04629  0.000298091
recdev1(4)       1.6851  0.000143629
recdev1(5)    -0.519824  0.000293475
recdev1(6)    -0.938482  0.000301682
recdev1(7)   0.00475926  0.000273779
recdev1(8)      0.25768  0.000256431
recdev1(9)      0.33997    0.0002366
recdev1(10)    -0.464325   0.00027534
recdev1(11)    -0.833383  0.000290872
recdev1(12)     0.985713  6.75226e-05
recdev1(13)    -0.267672   0.00023292
recdev1(14)    -0.719776  0.000249763
recdev1(15)     -0.29826  0.000217172
recdev1(16)   -0.0955519  0.000180761
recdev1(17)      0.82784 -6.67611e-05
recdev1(18)     0.125926  8.87629e-05
recdev1(19)     0.607282 -8.00202e-05
recdev1(20)    -0.756927  0.000207753
recdev1(21)      0.26661 -2.75898e-05
recdev1(22)    -0.254927  9.45411e-05
recdev1(23)    0.0316787  8.22776e-07
recdev1(24)    -0.878566  0.000171565
recdev1(25)     -0.86505   0.00017084
recdev1(26)      1.56635  -0.00143788
recdev1(27)     0.398557 -0.000280916
recdev1(28)    -0.879257  0.000149462
recdev1(29)    -0.567779  5.49269e-05
recdev1(30)    -0.805376  0.000112709
recdev1(31)      1.73665  -0.00248802
recdev1(32)     0.995733   -0.0011305
recdev1(33)    -0.211845 -0.000160663
recdev1(34)     0.467575 -0.000683045
recdev1(35)    -0.391414 -0.000122784
recdev1(36)    -0.457897 -0.000101658
recdev1(37)    -0.661917 -3.86908e-05
recdev1(38)    -0.364491 -0.000184505
recdev1(39)      1.26575  -0.00221121
recdev1(40)    -0.004844 -0.000397281
recdev1(41)  0.000389185 -0.000381159
recdev1(42)     0.182717 -0.000515109
recdev1(43)     0.957203  -0.00142795
recdev1(44)    -0.456094 -0.000109839
recdev1(45)    -0.739309 -6.80676e-06
recdev1(46)      1.30841  -0.00214328
recdev1(47)    -0.456392 -0.000116819
recdev1(48)    -0.543557 -5.31377e-05
recdev1(49)     -1.06164  0.000104632
recdev1(50)    -0.975828  0.000118295
recdev1(51)    -0.400303 -2.22337e-05
recdev1(52)     0.394736 -0.000355997
recdev1(53)      0.93275 -0.000706139
recdev1(54)     0.515087 -0.000284197
recdev1(55)    -0.318145   9.9954e-05
recdev1(56)    0.0352394  4.86639e-05
recdev1(57)    -0.593184  0.000184426
recdev1(58)    -0.606309  0.000212454
recdev1(59)     0.683355 -3.26467e-05
recdev1(60)    -0.642786  0.000246657
recdev1(61)      1.52826 -0.000323691
recdev1(62)    -0.123899  0.000201288
recdev1(63)     0.128049   0.00018494
recdev1(64)    -0.604418  0.000238031
recdev1(65)    -0.361178  0.000248638
recdev1(66)     -1.20075  0.000286882
recdev1(67)    -0.154911  0.000244826
recdev1(68)     0.349003  0.000198167
recdev1(69)     0.181675  0.000230999
recdev1(70)    -0.655063   0.00028253
recdev1(71)    -0.576875  0.000298314
recdev1(72)    -0.449028  0.000276009
recdev1(73)      1.17172  0.000199482
recdev1(74)     -1.00993  0.000295611
recdev1(75)    -0.164824  0.000287185
recdev1(76)      1.48368  0.000184255
recdev1(77)   -0.0391373  0.000294645
recdev1(78)    -0.970523  0.000299698
recdev1(79)    -0.658184  0.000300566
recdev1(80)        0.401  0.000298391
recdev1(81)    -0.406448  0.000306211
recdev1(82)    -0.434151  0.000310775
recdev1(83)    -0.224247  0.000307716
recdev1(84)    0.0770383  0.000310005
recdev1(85)      1.24265  0.000284174
recdev1(86)    -0.129195  0.000306452
recdev1(87)     0.852899  0.000300486
recdev1(88)     0.470604  0.000311987
recdev1(89)    -0.119647  0.000313278
recdev1(90)     -1.23452   0.00031424
recdev1(91)    -0.455051  0.000321617
recdev1(92)    -0.260102  0.000317931
recdev1(93)   -0.0778526  0.000323589
recdev1(94)      1.05339  0.000324926
recdev1(95)      1.82981  0.000320944
recdev1(96)      1.20562  0.000321868
recdev1(97)     -0.19655  0.000319518
Fcast_recruitments(98)    -0.923418 -1.20573e-05
Fcast_recruitments(99)    -0.452699 -5.58309e-06
Fcast_recruitments(100)   -0.0943382   4.3893e-07
Fcast_recruitments(101)            0            0
Fcast_recruitments(102)            0            0
Fcast_recruitments(103)            0            0
Fcast_recruitments(104)            0            0
Fcast_recruitments(105)            0            0
Fcast_recruitments(106)            0            0
Fcast_recruitments(107)            0            0
Fcast_recruitments(108)            0            0
Fcast_recruitments(109)            0            0
Fcast_recruitments(110)            0            0
Q_parm[1]  -0.00759148  -0.00141625
selparm[1]      41.9654  -0.00262032
selparm[3]      5.09805   0.00606729
