ParName   Value   Gradient
SR_parm[1]      9.98753   -0.0243496
recdev_early(-28)     0.228152 -9.34551e-07
recdev_early(-27)    -0.113292  2.73648e-08
recdev_early(-26)    -0.142717 -2.98081e-07
recdev_early(-25)    -0.176768 -5.25347e-07
recdev_early(-24)    -0.133965  4.86632e-08
recdev_early(-23)    -0.199572  2.56872e-07
recdev_early(-22)     0.793945 -2.13653e-06
recdev_early(-21)      1.27378 -1.35514e-06
recdev_early(-20)     0.192736 -7.12581e-07
recdev_early(-19)     0.671528 -1.64859e-06
recdev_early(-18)     0.409578 -1.24668e-07
recdev_early(-17)     0.193268 -1.55536e-06
recdev_early(-16)    -0.425459 -1.38801e-06
recdev_early(-15)     0.699864  2.32507e-06
recdev_early(-14)    -0.187553 -1.38626e-07
recdev_early(-13)     0.782318 -2.30667e-06
recdev_early(-12)      0.24196  4.69949e-07
recdev_early(-11)     0.928236 -7.30375e-06
recdev_early(-10)    -0.181193  5.20888e-07
recdev_early(-9)       1.1302 -1.10776e-05
recdev_early(-8)    -0.558625  1.38505e-06
recdev_early(-7)    -0.459493 -3.06425e-06
recdev_early(-6)      2.95075 -6.16067e-05
recdev_early(-5)   -0.0524364 -5.49936e-06
recdev_early(-4)     0.588469 -6.97859e-06
recdev_early(-3)     0.703534 -8.61343e-06
recdev_early(-2)  -0.00872185 -1.50382e-05
recdev_early(-1)     0.744789 -1.36343e-05
recdev_early(0)     0.655032 -1.96468e-05
recdev1(1)    0.0184779  0.000193608
recdev1(2)    0.0311424  0.000185501
recdev1(3)   -0.0391334  0.000190954
recdev1(4)      1.69207  8.56508e-05
recdev1(5)    -0.512576  0.000183281
recdev1(6)    -0.931189  0.000192106
recdev1(7)    0.0116356  0.000181976
recdev1(8)     0.264488  0.000156385
recdev1(9)     0.346718  0.000134632
recdev1(10)    -0.457491  0.000154555
recdev1(11)    -0.826474   0.00017566
recdev1(12)     0.992197  4.55224e-05
recdev1(13)    -0.261138  0.000141914
recdev1(14)    -0.713278  0.000167431
recdev1(15)    -0.292034  0.000144446
recdev1(16)   -0.0894406  0.000127421
recdev1(17)     0.833758 -4.43145e-05
recdev1(18)      0.13183  5.81113e-05
recdev1(19)     0.612959 -5.58545e-05
recdev1(20)    -0.751042  0.000127472
recdev1(21)     0.272068 -1.64809e-05
recdev1(22)    -0.249396  6.58794e-05
recdev1(23)    0.0370842  2.27281e-05
recdev1(24)      -0.8729  0.000106741
recdev1(25)    -0.859357  0.000103635
recdev1(26)      1.57162 -0.000904734
recdev1(27)     0.403844 -0.000184588
recdev1(28)    -0.873758  9.10973e-05
recdev1(29)     -0.56274  1.37023e-05
recdev1(30)    -0.800157   7.5013e-05
recdev1(31)      1.74146  -0.00157994
recdev1(32)      1.00057 -0.000724072
recdev1(33)    -0.206956 -8.67628e-05
recdev1(34)     0.472018 -0.000473714
recdev1(35)     -0.38689 -7.65923e-05
recdev1(36)    -0.453364 -7.19111e-05
recdev1(37)    -0.657284  -3.5312e-05
recdev1(38)    -0.359991 -0.000105314
recdev1(39)      1.26978   -0.0014058
recdev1(40)  -0.00117418 -0.000273822
recdev1(41)   0.00330101 -0.000256989
recdev1(42)     0.184854 -0.000320954
recdev1(43)     0.958655 -0.000916784
recdev1(44)    -0.454759 -7.37714e-05
recdev1(45)    -0.738219 -1.48015e-05
recdev1(46)      1.30865  -0.00137525
recdev1(47)    -0.456274 -5.63098e-05
recdev1(48)     -0.54407 -2.11785e-05
recdev1(49)     -1.06258  7.41215e-05
recdev1(50)     -0.97727  6.92374e-05
recdev1(51)    -0.402238 -2.48295e-05
recdev1(52)      0.39197 -0.000230444
recdev1(53)     0.928647  -0.00045493
recdev1(54)     0.509295 -0.000184106
recdev1(55)    -0.325373  5.22689e-05
recdev1(56)    0.0269017  2.11106e-05
recdev1(57)     -0.60109  0.000117648
recdev1(58)    -0.613626  0.000132965
recdev1(59)     0.675836 -2.60364e-05
recdev1(60)    -0.650339  0.000158981
recdev1(61)       1.5192 -0.000214779
recdev1(62)    -0.133626  0.000132087
